Locus Tag	gene	0hr_r1	0hr_r2	0hr_r3	0hr (Avg)	2hr_r1	2hr_r2	2hr_r3	2hr (Avg)	4hr_r1	4hr_r2	4hr_r3	4hr (Avg)	8hr_r1	8hr_r2	8hr_r3	8hr (Avg)	16hr_r1	16hr_r2	16hr_r3	16hr (Avg)	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_0077	fixB	0	0	0	0	8.84	0	0	2.95	0	0	0	0	0	0	0	0	0	0.89	0	0.3	2.69	1.72	1	1.81
SL1344_0078	fixC	0	1.42	0	0.47	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0.95	0.75	4.38	1.68	1.32	2.46
SL1344_0079	fixX	0	0	0	0	0	0	0	0	16.91	19.6	0	12.17	0	0	0	0	0	0	2.12	0.71	6.87	2.82	5.91	5.2
SL1344_0080	yaaU	4.93	3.64	0.65	3.07	18.63	4.56	0	7.73	7.24	10.5	0	5.91	0	4.32	15.42	6.58	4.62	5	4.08	4.57	10.3	10.88	11.26	10.81
SL1344_0081		25.51	21.18	13.21	19.97	0	0	0	0	42.21	0	24.9	22.37	0	8.38	0	2.79	0	3.64	2.64	2.09	3.67	3.52	9.02	5.41
SL1344_0082		15.87	7.32	8.35	10.51	720.02	528.68	979.54	742.75	805.09	662.63	337.3	601.67	419.53	421.68	510.89	450.7	200.98	263.56	156.32	206.95	53.49	51.93	47.15	50.85
STnc470	STnc470	8.33	27.68	19.73	18.58	283.65	347.11	0	210.25	1158.31	511.42	488.11	719.28	1162.58	1752.44	1677.17	1530.73	1841.57	2539.35	2279.08	2220	972.99	1423.72	1228.04	1208.25
SL1344_0083		20.23	33.59	19.46	24.43	487.74	589.85	137.09	404.89	1255.31	1125.12	325.86	902.09	498.05	1189.84	1842.34	1176.74	697.64	756.13	626.62	693.46	283.6	302.61	239.98	275.39
SL1344_0083A		8.24	13.24	4.72	8.73	271.31	597.63	216.06	361.67	731.4	1039.51	249.01	673.31	0	272.37	802.13	358.16	224.39	309.3	363.32	299.01	122.46	59.41	179.36	120.41
SL1344_0084		5.82	2.26	0.69	2.92	8.81	22.64	0	10.48	23.13	47.65	3.03	24.6	22.3	20.41	9.38	17.36	7.1	6.65	13.51	9.09	24.01	30.88	22.66	25.85
SL1344_0085		0	9.37	0	3.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.35	3.12	0	0	0	0
SL1344_0086	yabF	6.92	8.04	6.55	7.17	0	57.63	0	19.21	18.32	5.31	5.4	9.68	22.71	10.91	27.85	20.49	5.84	4.74	3.44	4.67	3.72	3.57	4.98	4.09
SL1344_0087	kefC	2.76	1.96	6.06	3.59	0	9.84	0	3.28	13.03	4.53	4.61	7.39	0	9.32	6.34	5.22	4.43	4.49	4.57	4.5	4.24	4.64	4.66	4.51
SL1344_0088	folA	64.31	57.2	31.72	51.08	34.74	25.51	0	20.08	141.87	70.47	5.98	72.77	100.51	32.2	49.3	60.67	56.03	62.9	90.08	69.67	144.65	195.61	161.82	167.36
SL1344_0089	apaH	26.81	38.77	36.86	34.15	49.06	72.04	46.88	55.99	68.69	53.07	20.26	47.34	56.77	86.38	104.43	82.53	55.99	49.35	28.67	44.67	18.93	22.61	25.8	22.45
SL1344_0090	apaG	50.58	61.37	36.85	49.6	132.42	64.82	52.73	83.32	115.87	82.07	37.98	78.64	47.89	132.94	54.81	78.55	62.97	79.92	43.53	62.14	35.11	35.81	35.52	35.48
SL1344_0091	ksgA	43.77	47.47	44.42	45.22	101.34	96.73	48.42	82.17	35.47	123.34	27.9	62.24	109.95	108.01	89.88	102.61	79.21	63.2	38.49	60.3	34.31	23.35	31.01	29.56
SL1344_0092	pdxAa	76.38	73.88	40.83	63.7	25.24	67.95	80.39	57.86	93.25	153.58	43.43	96.75	54.76	62.37	131.32	82.82	69.93	73.62	45.47	63.01	26.2	26.21	41.19	31.2
SL1344_0093	surA	87.26	87.59	70.9	81.92	168.22	161.52	139.11	156.28	211.37	194.66	77.94	161.32	121.67	191.87	215.76	176.43	118.79	109.34	79.87	102.67	67.68	74.33	71.42	71.14
SL1344_0094	imp	78.62	96.49	61.81	78.98	179.8	157.91	122.13	153.28	146.03	203.81	66.74	138.86	145.35	155.19	182.61	161.05	66.92	85.11	44.81	65.61	51.68	50.34	44.35	48.79
SL1344_0095	djlA	18.97	12.75	14.44	15.38	20.49	37.62	24.48	27.53	11.96	24.25	7.05	14.42	0	37.98	32.72	23.57	21.61	15.46	16.47	17.85	19.77	18.62	20.9	19.77
SL1344_0096	rluA	36.73	46.2	25.03	35.99	0	9.27	15.08	8.12	0	8.54	8.69	5.74	9.13	26.33	31.35	22.27	29.76	19.05	11.07	19.96	15.81	13.52	17.46	15.6
SL1344_0097	hepA	14.89	12.15	13.89	13.65	5.73	8.41	10.26	8.13	8.35	8.71	4.93	7.33	10.35	7.3	15.24	10.96	13.85	12.67	14.64	13.72	30.05	28.9	31.87	30.27
SL1344_0098	polB	10.29	12.69	8.49	10.49	3.54	10.39	4.23	6.05	8.26	14.36	3.65	8.76	5.12	6.56	11.3	7.66	14.49	11.75	23.01	16.41	42.89	39.85	53.19	45.31
SL1344_0099		5.91	10.8	4.9	7.21	0	0	0	0	7.83	13.61	0	7.15	0	3.11	4.76	2.62	0	1.35	3.92	1.76	10.45	10.02	12.17	10.88
SL1344_0099A		0	0	0	0	0	0	0	0	0	0	47.18	15.73	0	0	50.03	16.68	52.49	0	10.3	20.93	28.11	44.08	52.93	41.7
SL1344_0100		0	0	0	0	0	0	0	0	23.17	6.71	0	9.96	0	0	0	0	7.39	7.99	5.8	7.06	28.91	21.91	17.1	22.64
SL1344_0101	araD	2.11	0	1.87	1.33	0	0	0	0	0	0	0	0	0	2.77	0	0.92	4.46	1.2	1.75	2.47	2.43	3.5	2.44	2.79
SL1344_0102	araA	0.49	0.81	1.45	0.91	0	0	13.23	4.41	0	0	0	0	0	0	0	0	0.69	1.11	2.02	1.27	4.69	4.49	4.27	4.48
SL1344_0103	araB	0	0	0	0	0	0	0	0	0	1.65	0	0.55	0	0	0	0	0.6	0.98	1.07	0.88	4.78	4.27	3.64	4.23
SL1344_0104	araC	1.74	1.44	1.03	1.4	9.85	7.23	11.76	9.61	17.23	33.29	13.56	21.36	7.12	29.66	10.48	15.75	8.55	10.9	6.47	8.64	18.33	15.02	14.28	15.88
