Locus Tag	Name	Anaerobic growth	Anaerobic shock
SL1344_0688	kdpA	0.5	0.3
SL1344_0688A	kdpF	1.5	0
SL1344_0689	ybfA	113	88.3
SL1344_0690	phrB	10.4	7.4
SL1344_0691	ybgH	5.1	6.3
SL1344_0692	ybgI	56	78.5
SL1344_0693	ybgJ	36.2	36.5
SL1344_0694	ybgK	30.3	24.9
SL1344_0695	ybgL	36.5	27.2
SL1344_0696		8	11.9
SL1344_0697	fimB	8.6	12.3
SL1344_0698		2.7	2.1
SL1344_0699		1.8	1.5
SL1344_0700		1	0.7
SL1344_0702		0.4	0.8
SL1344_0703		1	0.1
SL1344_0704		0.3	1.3
SL1344_0705		0.6	0.4
SL1344_0706		1.3	1.3
SL1344_0707		1.7	0.3
SL1344_0708		1.9	1.7
SL1344_0709		24.8	44.5
SL1344_0710	nei	15.3	18.6
SL1344_0711	abrB	14.5	12.6
SL1344_0712	gltA	81	108.2
SL1344_0713		5.3	11.1
SL1344_0714	sdhC	53.2	62.6
SL1344_0715	sdhD	42.7	64.8
SL1344_0716	sdhA	37.7	53
SL1344_0717	sdhB	67.5	109.8
SL1344_0718	sucA	61.4	75.1
SL1344_0719	sucB	88.9	102.6
SL1344_0720	sucC	62	71.2
SL1344_0721	sucD	95.7	111.6
RybD	RybD	807.1	2280.2
SL1344_0722	cydA	120.5	119.3
SL1344_0723	cydB	108.7	115.6
SL1344_0724	ybgT	222.4	285.4
SL1344_0725	ybgE	125.8	111.9
SL1344_0726	ybgC	75.9	67.7
SL1344_0727	tolQ	39.2	36.5
SL1344_0728	tolR	44.7	44.9
SL1344_0729	tolA	41	38.7
SL1344_0730	tolB	105.5	96.4
SL1344_0731	pal	283.6	284.1
SL1344_0732	ybgF	154.2	122.5
SL1344_0733	nadA	6.4	4.4
SL1344_0734	pnuC	17	21.4
SL1344_0735	ybgR	23.9	22.8
SL1344_0736	ybgS	78.8	8.1
SL1344_0737	aroG	71.1	71.6
SL1344_0738		12.3	18.3
SL1344_0739		9	16.5
SL1344_0740		13.7	63.1
SL1344_0741		3.4	9.1
SL1344_0742		0.8	0.8
SL1344_0743	dcoC	0.5	0.6
SL1344_0744	dcoA	0	0
SL1344_0745	dcoB	0.1	0.2
SL1344_0746		1.9	1.8
SL1344_0747		2.9	2.6
SL1344_0748		6.9	6.6
SL1344_0749	gpmA	145.2	253.2
SL1344_0750	galM	40	133.5
SL1344_0751	galK	23.8	80.1
SL1344_0752	galT	8.9	55.6
SL1344_0753	galE	14.5	73.4
SL1344_0754		2.3	2.2
SL1344_0755	modF	23.3	31.4
SL1344_0756	modE	20	22.4
SL1344_0757	ybhT	360	347.3
SL1344_0758	modA	187.6	334.7
SL1344_0759	modB	112.5	128.5
SL1344_0760	modC	64.6	73.7
SL1344_0761	ybhA	17.2	25.6
SL1344_0762	ybhE	32.1	35.7
SL1344_0763	ybhC	14.4	16.8
SL1344_0764	hutI	16.5	56.3
SL1344_0765	hutG	12.1	35.2
SL1344_0766	hutC	16.1	34.7
SL1344_0767	hutU	3.5	6.5
SL1344_0768	hutH	4.4	7.4
SL1344_0769	ybhB	42.1	34.7
SL1344_0770	bioA	1.7	1.4
SL1344_0771	bioB	0.6	1.5
SL1344_0772	bioF	0.9	1
SL1344_0773	bioC	0.2	0.6
SL1344_0774	bioDa	1.1	1.9
STnc3340		33.4	52.1
SL1344_0775	uvrB	30.1	27.2
SL1344_0776	slrP	36.2	15
SL1344_0777	ybhK	26.5	62.3
SL1344_0778	moaA	77.8	207.3
SL1344_0779	moaB	47.1	151.3
SL1344_0780	moaC	56.2	178
SL1344_0781	moaD	47.4	120.6
SL1344_0782	moaE	49.9	147.8
SL1344_0783	ybhL	135.7	214.2
SL1344_0784	ybhM	0.7	2
SL1344_0785		1.1	2.8
SL1344_0786		1.2	1.3
SL1344_0787	ybhN	9.3	4.7
SL1344_0788	ybhO	6.6	2.6
SL1344_0789	ybhP	10.2	5.1
SL1344_0790	ybhQ	125	309.4
SL1344_0791	ybhR	23.9	34
SL1344_0792	ybhS	20.3	32.2
SL1344_0793	ybhF	21	27.5
SL1344_0794		22.7	43.1
SL1344_0795	ybiH	29	62
SL1344_0796	rhlE	2.8	2.7
SL1344_0797	dinG	13.8	17
SL1344_0798	ybiB	29	27.8
STnc980		71.1	28.2
SL1344_0799	ybiJ	8.1	4.4
SL1344_0800	ybiI	34.4	47
SL1344_0801	ybiN	7.2	6.7
SL1344_0802	ybiO	5.4	3.5
SL1344_0803	glnQ	8.5	22.7
SL1344_0804	glnP	7.2	17.9
SL1344_0805	glnH	17.2	86.6
SL1344_0806	dps	1653.6	793.8
SL1344_0807	ybiF	8.1	9.2
SL1344_0808	ompX	620.5	547.7
SL1344_0809	ybiP	5.7	7.7
RybA	RybA	222.1	80.9
SL1344_0810		23.8	28.3
SL1344_0811	ybiR	10.6	12.4
SL1344_0812	ybiS	21.3	14.7
SL1344_0813	ybiT	17.5	15.6
SL1344_0814		2.1	0.8
SL1344_0815	ybiV(2)	2.7	1.9
SL1344_0817	ybiU	1.6	2.4
SL1344_0818	ybiV(1)	26.6	21.1
SL1344_0819	pflF	2.7	19.5
SL1344_0820	pflE	1.6	17
SL1344_0821	moeB	14.7	14.7
SL1344_0822	moeA	13.3	12.9
SL1344_0823	ybiK	28.9	48.5
SL1344_0824	yliA	22.7	31.9
SL1344_0825	yliB	18	23.6
SL1344_0826	yliC	13.7	16.1
SL1344_0827	yliD	17.6	21.8
SL1344_0828	rimO	6	6.6
SL1344_0829	bssR	142	166.1
STnc1200		1400.2	1523.1
SL1344_0830		3.1	3.6
SL1344_0831		2.2	3
SL1344_0832		1.4	1.7
SL1344_0833		7.6	9.3
SL1344_0834		1.9	2.5
SL1344_0835		5.6	5.3
STnc1710		157.7	122.3
SL1344_0836		15.4	14.1
SL1344_0837	yliI	2.9	4.8
SL1344_0838	yliJ	25.4	44.2
SL1344_0839	dacC	32.5	31.2
SL1344_0840	deoR	43.5	33.1
SL1344_0841	ybjG	67.3	29.3
SL1344_0842	mdfA	9.5	8.9
SL1344_0843		19.5	30.6
SL1344_0844		9.4	11.1
SL1344_0845		5.3	6.9
RybB	RybB	1190.8	742.5
SL1344_0846		34.3	21.8
SL1344_0847	ybjM	37.5	47.2
SL1344_0848	grxA	893.3	799
SL1344_0849	ybjC	22.1	19.1
SL1344_0850	mdaA	18.1	12.8
SL1344_0852	rimK	30.1	39.2
SL1344_0853	ybjN	13.8	18.6
SL1344_0854	potF	0.5	1.8
SL1344_0855	potG	2.1	3.6
SL1344_0856	potH	2.2	1.3
SL1344_0857	potI	4.5	7.4
SL1344_0858	ybjO	27.4	28.3
SL1344_0859	rumB	6.9	5
SL1344_0860		0.6	0.8
SL1344_0861		1.6	4.4
SL1344_0862		5.1	7.2
SL1344_0863	artJ	6.6	7
SL1344_0864	artM	35.7	22.4
SL1344_0865	artQ	29.3	20.3
SL1344_0866	artI	44.7	46
SL1344_0867	artP	47.9	56.8
SL1344_0868	ybjP	44.8	45.6
SL1344_0869		65.3	59.5
SL1344_0870	ybjR	54.9	43.5
SL1344_0871		16.8	15.5
SL1344_0872	ybjT	18.7	20.4
SL1344_0873	ltaA	66.4	78.8
SL1344_0874	poxB	11.2	4.5
SL1344_0875	hcr	10.4	11.5
SL1344_0876	hcp	5.6	5.9
SL1344_0877	ybjE	23.4	27.4
SL1344_0878	ybjD	17.2	22.3
SL1344_0879	ybjX	87.9	63.5
SL1344_0880	ybjY	22	17
SL1344_0881	ybjZ	23.1	17.7
SL1344_0882	cspD	197.7	842.8
SL1344_0883	clpS	225.5	364.6
SL1344_0884	clpA	129.3	184
SL1344_0885	tnp	0	0
STnc490		0	0
SL1344_0886		6.1	8.3
SL1344_0887		6.5	10.3
SL1344_0888		7.6	5.9
SL1344_0889		3.7	3.3
SL1344_0890		4.9	8.6
SL1344_0891	infA	74.4	98.4
SL1344_0892		201.9	213.7
SL1344_0893	aat	30.9	20
SL1344_0894	cydC	33.8	27.6
SL1344_0895	cydD	33.1	28.7
SL1344_0896	trxB	78.1	64.8
SL1344_0897	lrp	217.4	237.6
SL1344_0898	ftsK	79.1	60.1
SL1344_0899	lolA	117.3	97.5
SL1344_0900	ycaJ	71.7	52.6
SL1344_0901	serS	103.5	117.4
SL1344_0902	dmsA	182.3	241.1
SL1344_0903	dmsB	75.9	102.5
SL1344_0904	dmsC	138.5	177.2
SL1344_0905	ycaD	25.6	26.1
SL1344_0906	ycaM	5.8	7.9
SL1344_0907	pflA	34.1	33.2
STnc3310		213.4	191.6
SL1344_0908		49.8	84.7
SL1344_0909	sopD2	36.4	61.7
SL1344_0910	pflB	352.4	439.7
SL1344_0911	focA	223.7	278.6
SL1344_0912	ycaO	8.8	11.7
SL1344_0913	ycaP	7.8	4.9
SL1344_0914	serC	72	67.1
SL1344_0915	aroA	33.2	22.8
SL1344_0916	ycaL	15.2	18.7
SL1344_0917	cmk	57.1	57.2
SL1344_0918	rpsA	266.3	237.6
SL1344_0919	himD	265.5	294.5
STnc3330		29.2	181.6
SL1344_0920	rec2	2.8	2.8
SL1344_0921	msbA	20.4	25.5
SL1344_0922	lpxK	16.5	20.3
SL1344_0923	ycaQ	5.9	5.1
SL1344_0924	ycaR	51.7	74.9
SL1344_0925	kdsB	33.9	35
SL1344_0926		44.8	66.6
SL1344_0927	ycbC	9	7.7
SL1344_0928	smtA	18.8	25.6
SL1344_0929	mukF	27.1	29.3
SL1344_0930	mukE	38.6	34.8
SL1344_0931	mukB	39.9	31.9
SL1344_0932	ycbB	70.5	70.3
SL1344_0933	ycbK	73.7	80.1
SL1344_0934	ycbL	60.6	52.9
SL1344_0935	aspC	115.7	92.3
SL1344_0936	ompF	10	26.9
STnc3350		41	87.5
SL1344_0937	asnCa	96.2	87.9
SL1344_0938		10.2	34.6
SL1344_0939	dpaL	0.8	2.2
SL1344_0940		0.9	1.5
SL1344_0941	pncB	23.5	15.7
SL1344_0942		145.8	111.3
STnc4200		128.1	209.3
SL1344_0943		2.6	2.9
SL1344_0944		0	0.6
SL1344_0945		0.6	0.6
SL1344_0946	recEa	0.9	1.2
IsrB-2	IsrB-2	8.4	7.6
IsrB-1		473	434.2
SL1344_0947		10.5	15.2
SL1344_0948		16.5	11.7
SL1344_0949		8.1	4.4
SL1344_0950		144.1	146.9
SL1344_0951	C1	2.1	0.4
STnc1080		1358.4	1024.4
SL1344_0952		2.3	2.5
SL1344_0953		1.2	1
SL1344_0954		0.4	0.8
SL1344_0955		23.6	35.7
SL1344_0956		355.3	477.7
SL1344_0957		68.5	134.8
SL1344_0958		15.7	17.3
SL1344_0959	ninG	0	0.5
SL1344_0960		0.9	0
SL1344_0961		5.4	5.5
SL1344_0962		128.9	127.9
SL1344_0963		8.3	2.3
SL1344_0964		5.8	14
SL1344_0965	gtgA	9.9	13.3
SL1344_0965A		0	0
SL1344_0966	nucD	1.5	2.5
SL1344_0967		2.1	1.4
SL1344_0968		7.1	4
SL1344_0969		3.9	2.2
SL1344_0971		7	3.8
SL1344_0972		5	3.9
SL1344_0973		6.5	2.2
SL1344_0974		9.6	2.4
SL1344_0975		4.4	1.5
SL1344_0976		3.3	0.7
SL1344_0977		5.4	2.1
SL1344_0978		4.3	1.4
SL1344_0979		6	3.8
SL1344_0980		5	3.2
SL1344_0981		6.3	4.7
SL1344_0982		19.3	17.2
SL1344_0983	sodCa	106.5	102.4
SL1344_0984		7.2	7.4
SL1344_0985		1.6	1.9
SL1344_0986		1.7	3
SL1344_0987		4.5	3.1
SL1344_0988		1.2	0.7
SL1344_0989		5.6	0.7
SL1344_0990		7.3	6.6
SL1344_0991	sseI	6	6.8
SL1344_0992		6.3	7.8
SL1344_0993		2.1	0.9
SL1344_0994		20.6	10.9
SL1344_0995	gtgE	100.6	40.7
SL1344_0996	gtgF	13	14.9
SL1344_0997	pepN	62.5	59.2
SL1344_0998	pyrD	8.4	11.3
SL1344_0999	ycbW	58.3	43.6
SL1344_1000		5.3	6.9
SL1344_1001	rlmL	10.8	13.3
SL1344_1002	uup	10.1	13.3
SL1344_1003	pqiA	11.4	12.2
SL1344_1004	pqiB	14.3	13.3
SL1344_1005	ymbA	17.7	20
STnc3390		27.8	36.9
SL1344_1006	rmf	901	728.9
SL1344_1007	fabA	33.9	55.5
SL1344_1008	lonH	11.8	11.4
SL1344_1009	ycbG	55.7	106.2
SL1344_1010	ompA	820.7	579
SL1344_1011	sulA	22.4	24.1
SL1344_1012	sxy	11.1	24
SL1344_1013	yccS	21.5	19.3
SL1344_1014	yccF	10.6	9.9
SL1344_1015	helD	34.9	30.8
SL1344_1016	mgsA	66.1	195.6
SL1344_1017	yccT	8.7	2.8
SL1344_1018		32.5	33.5
SL1344_1019	yccV	57.4	80.8
SL1344_1020	yccW	13.3	12.7
SL1344_1021		9.8	19.8
SL1344_1022		18.7	23.6
SL1344_1023	yccX	11.2	8.6
SL1344_1024	yccK	60.1	58.8
SL1344_1025	yccA	78.3	35
SL1344_1026	pipA	23.7	16.8
SL1344_1027	pipB	3.4	1.8
SL1344_1028		0.4	0.4
SL1344_1029	pipC	588.6	13.8
SL1344_1030	sopB	86.7	2.3
SL1344_1031	orfX	52.2	373.9
SL1344_1032		14.2	6.4
SL1344_1033	pipD	27.6	32.6
SL1344_1034	copS	5.7	5.5
SL1344_1035	copR	17.8	26.9
SL1344_1036		43.5	57.3
SL1344_1037	hpaC	4.1	5
SL1344_1038	hpaB	2.4	5.2
SL1344_1039	hpaR	6	8.1
SL1344_1040	hpaG	0.7	1
SL1344_1041	hpaE	1.6	0.8
SL1344_1042	hpaD	1.4	0.3
SL1344_1043	hpaF	1.7	2.2
SL1344_1044	hpaH	1.3	1.8
SL1344_1045	hpaI	0.7	0.9
SL1344_1046	hpaX	1.7	1.2
SL1344_1047	hpaA	0.9	0.6
SL1344_1048		8.2	9.6
STnc1880		162.5	238.4
SL1344_1049		5.4	5.1
STnc3400		33.9	9.2
SL1344_1050	yccD	170	142.3
SL1344_1051	cbpA	86.9	53.9
SL1344_1052	scsA	49.2	45.6
SL1344_1053	scsB	1.3	1.7
SL1344_1054	scsC	2.3	0.9
SL1344_1055	scsD	3.4	2.3
SL1344_1056	agp	29.7	106.6
SL1344_1057	yccJ	655.2	770
SL1344_1058	wrbA	226	216.8
SL1344_1059	ymdF	262.8	195.4
SL1344_1060	ycdC	13.4	14.7
SL1344_1061		48.4	57.7
SL1344_1062	putA	3.6	3.5
SL1344_1063	putP	6	5.9
SL1344_1064	phoH	152.1	45.4
SL1344_1065		25	27.5
STnc500		4420.2	689
SL1344_1066		5.1	55.1
SL1344_1067		11.4	144
SL1344_1068		10.6	175.2
SL1344_1069		20.3	215.6
SL1344_1070		20.9	45.1
SL1344_1071		56.7	40.4
SL1344_1072	ycdW	8.5	9
SL1344_1073	ycdX	33.1	34
SL1344_1074	ycdY	25.8	20.3
SL1344_1075	ycdZ	52.1	210.5
SL1344_1076	csgG	4	8.2
SL1344_1077	csgF	0.3	0
SL1344_1078	csgE	0.3	0
SL1344_1079	csgD	0.8	1.1
SL1344_1080	csgB	0.9	0
SL1344_1081	csgA	0.9	1.3
SL1344_1082	csgC	29.3	21
SL1344_1083	ymdA	18.8	15.6
SL1344_1084		55	29.6
SL1344_1085	ymdC	43.2	21.8
SL1344_1086	mdoC	11.1	13.6
SL1344_1087	mdoG	54	50.5
SL1344_1088	mdoH	38.9	33.3
SL1344_1089	yceK	3.5	4.4
SL1344_1090	msyB	52.9	30.4
SL1344_1091	yceE	6.6	8.2
STnc3040		20.9	41.3
SL1344_1092	htrB	35.8	44.2
SL1344_1093	yceA	3.9	8.5
SL1344_1094	yceI	5.9	5.5
SL1344_1095	yceJ	1.6	1.5
SL1344_1096	yceO	13.8	33.8
SL1344_1097	solA	28.8	31.4
SL1344_1098	bssS	586.2	1110.3
SL1344_1099	dinI	78	114.3
SL1344_1100	pyrC	32.3	22.5
SL1344_1101	yceB	235.6	292.1
SL1344_1102	grxB	177.8	111.9
SL1344_1103	yceL	38.8	22
SL1344_1104	rimJ	50.5	120
SL1344_1105	yceH	40.1	116.3
SL1344_1106	mviM	27.2	61
SL1344_1107	mviN	14.2	12.4
SL1344_1108	flgN	622.8	564.1
SL1344_1109	flgM	454.1	511.2
SL1344_1110	flgA	85	54.3
SL1344_1111	flgB	144.6	71.9
SL1344_1112	flgC	108	38.8
SL1344_1113	flgD	74.2	27.8
SL1344_1114	flgE	77.8	28.1
SL1344_1115	flgF	131.9	42.9
SL1344_1116	flgG	100.5	28.8
SL1344_1117	flgH	54.5	19
SL1344_1118	flgI	38.5	17.7
SL1344_1119	flgJ	41.7	14.9
SL1344_1120	flgK	238	241
SL1344_1121	flgL	244.3	227.3
STnc840		962.9	954.1
SL1344_1122	rne	58.4	53.1
SL1344_1123	rluC	19	27.5
SL1344_1124		19.2	36.8
SL1344_1125		28.6	43.1
SL1344_1126	maf-a	30.3	28.5
SraB	SraB	851	619.3
SL1344_1127	yceD	350.1	415.9
SL1344_1128	rpl32	512	502
SL1344_1129	plsX	71.3	59.7
SL1344_1130	fabH	52.6	52.2
SL1344_1131	fabD	68.5	52.3
SL1344_1132	fabG	232.6	225.1
SL1344_1133	acpP	3289.7	2789.4
SL1344_1134	fabF	212.3	124.2
SL1344_1135	pabC	18.3	16.6
SL1344_1136	yceG	26.5	21.9
SL1344_1137	tmk	24.4	20.7
SL1344_1138	holB	23.7	19.6
SL1344_1139	ycfH	45.4	25.4
SL1344_1140	ptsG	100.9	87.2
SL1344_1141	fhuE	1.9	1.9
SL1344_1142	ycfF	117.9	76.9
SL1344_1143	ycfL	122.3	57.9
SL1344_1144	ycfM	57	38.4
SL1344_1145	thiK	38.4	31.1
SL1344_1146	nagZ	61.9	74.7
SL1344_1147	ycfP	146.9	153
SL1344_1148	ndh	47.8	25.9
SL1344_1149	ycfJ	18.7	12.2
STnc850		162.5	150.2
STnc1090		70.6	89.5
SL1344_1150	ycfQ	85.7	74.7
SL1344_1151	ycfR	35.6	13.3
SL1344_1152	ycfS	6.1	6.2
SL1344_1153	mfd	26.9	19.2
STnc3410		528.8	410.8
SL1344_1154	ycfU	25.1	21.6
SL1344_1155	lolD	22.5	16.9
SL1344_1156	ycfW	19.5	18.3
SL1344_1157	ycfX	50.9	38.2
SL1344_1158	cobB	76.7	53.8
SL1344_1159	potD	22.3	18.5
SL1344_1160	potC	21.1	24
SL1344_1161	sifA	6.5	7.1
SL1344_1162	potB	5.8	9.1
SL1344_1163	potA	8.3	14.4
SL1344_1164	pepT	84.3	276.4
SL1344_1165		12.8	25.3
SL1344_1166		0	0
SL1344_1167	ycfD	47.8	32.4
SL1344_1168	phoQ	114.6	57
SL1344_1169	phoP	247.8	126.9
SL1344_1170	purB	10.2	7
SL1344_1171	ycfC	26	17.2
SL1344_1172	mnmA	42.3	34.4
SL1344_1173	ymfB	14.2	11.1
SL1344_1174		19.5	16.9
SL1344_1175	rluB	30.6	32.8
SL1344_1176	icdA	125.1	100.9
STnc150		68.6	50
SL1344_1177		21.8	3.7
SL1344_1179	envF	1.2	3.1
IsrC	IsrC	9.1	9.4
SL1344_1180	msgA	86.5	95.1
SL1344_1181	envE	21.4	4.6
SL1344_1182	cspH	12.3	13.4
SL1344_1183	pagD	4	0
SL1344_1184	pagC	62.5	5.5
STnc3420		26.7	37.6
STnc520		3213.6	757.3
SL1344_1185	pliC	304.7	163.8
SL1344_1186		18.8	14.6
SL1344_1187		126.1	175.7
STnc1760		98.9	110.2
STnc1210		311.8	764.4
SL1344_1188		13.8	16.7
SL1344_1189		53.2	8.9
STnc1990		124.5	167.2
SL1344_1190		14.2	27.6
STnc3430		98.5	132.5
SL1344_1191		7.6	169.5
SL1344_1192		2.8	47.6
SL1344_1193		4.5	38.1
SL1344_1194		4.3	33.3
SL1344_1195		4.7	31.9
SL1344_1196		8.6	6.7
SL1344_1197		15.7	21.4
IsrD	IsrD	5.2	0
SL1344_1198		5.5	7.5
STnc3440		64.9	34.5
SL1344_1199	aadA	16	13.4
SL1344_1200		9.1	3.4
SL1344_1201		21	46.7
SL1344_1202		317.1	62.5
SL1344_1203		3.5	4.8
SL1344_1204	aroQ	24.1	3.9
SL1344_1205	yeaS	93.1	64.5
SL1344_1206	yeaR	21.8	43.8
SL1344_1207	yoaG	40.2	63.2
SL1344_1208		5.5	12.4
SL1344_1209		214	79.8
RyhB-2	RyhB-2	23.7	41.3
SL1344_1210	yeaQ	270.2	86
SL1344_1211	yaoF	91.2	68.5
SL1344_1212		123.4	160.1
SL1344_1213	yeaO	32.1	29.9
SL1344_1214	yeaN	0.9	0.8
SL1344_1215	yeaM	5.5	11.5
SL1344_1216	yeaL	36.4	11.8
SL1344_1217	yeaK	20.5	9.6
SL1344_1218	yeaJ	26.4	18.9
STnc1480		77.2	49.1
SL1344_1219	yeaH	67.9	66.6
SL1344_1220	yeaG	41	28.6
SL1344_1221	mipA	379.2	162.6
SL1344_1222		3.6	1.4
SL1344_1223		21.6	16
SL1344_1224	yeaD	18.7	33.2
SL1344_1224A		33.5	61
SL1344_1225	gapA	396.8	1031.7
SL1344_1226	yeaA	76.9	98.7
SL1344_1227	yeaC	98.9	141.2
SL1344_1228	nam	15.2	9.6
SL1344_1229	ansA	16.8	17.4
SL1344_1230	sppA	16.3	14.4
SL1344_1231	ydjA	31.9	38
SL1344_1232	selD	50.1	53
SL1344_1233	topB	46.7	32.9
SL1344_1234	gdhA	26.4	39.4
SL1344_1235		302.8	469
SL1344_1236		4.7	3.8
SL1344_1237	xthA	22.3	26
SL1344_1238	argDa	1.2	1.2
SL1344_1239	astA	0.6	1.4
SL1344_1240	astD	1.6	1.7
SL1344_1241	astB	3.4	2.7
SL1344_1242	astE	1.2	2.1
SL1344_1243		14.6	10.6
STnc1640		739.1	532
SL1344_1244		15.2	10.4
SL1344_1245	nadE	65.5	81.4
SL1344_1246	osmE	619.3	456.1
SL1344_1247	celA	86.8	157.4
SL1344_1248	celB	29.7	53.6
SL1344_1249	celC	19.6	41.8
SL1344_1250	celD	14.3	33.4
SL1344_1251	celF	8	9.5
SL1344_1252	celG	18.5	18.4
STnc2010		96.5	58
SL1344_1253	katE	52.8	20.3
SL1344_1254	cedA	27	20.6
SL1344_1255	ydjN	12.4	14.9
SL1344_1256	ydjM	3.5	2.9
STnc3570		357.2	477.7
SL1344_1257	yniC	19.8	16.2
SL1344_1258	yniB	29.6	28.4
SL1344_1259		51.3	76.1
SL1344_1260	ydiZ	42	30.9
SL1344_1261	pfkB	65.9	43
SL1344_1262	ydiY	10	9.6
STnc3460		85.1	62
SL1344_1263		122.6	3.1
STnc4210		1472.3	78.2
SL1344_1264		50.1	3.6
SL1344_1265		52.1	17.4
SL1344_1330A		14	6.9
SL1344_1266		62.7	58.8
SL1344_1267		284.4	198.1
SL1344_1268		1826.9	1256.7
SL1344_1269		1499.7	825.3
SL1344_1270		1312.4	778.4
SL1344_1271		21.1	24.9
SL1344_1272		107.7	75.1
SL1344_1273		960.2	646.8
STnc540		655.5	488.9
SL1344_1274		11.4	11.3
SL1344_1275		18.1	13.4
SL1344_1276		8.4	6.3
SL1344_1277		14.4	22.7
SL1344_1278		13.6	4.4
SL1344_1279		11	11.8
SL1344_1280	ydiE	6.2	5.2
SL1344_1281	aroH	35.5	21.8
SL1344_1282	ydiA	20.6	15.4
SL1344_1283	pps	159.4	38.8
SL1344_1284	ydiD	3.7	3.9
SL1344_1285	ydiT	1.3	2.9
SL1344_1286	ydiS	1.7	1.7
SL1344_1287	ydiR	2	1.8
SL1344_1288	ydiQ	0.2	0.6
SL1344_1289	ydiP	1.5	2.7
SL1344_1290	ydiO	7.5	13.3
SL1344_1291	ydiF	0.7	1
SL1344_1292	aroD	12.3	13.7
SL1344_1293	aroE	6.5	9.7
SL1344_1294	ydiN	0	0.5
SL1344_1296	ydiM	2	2.4
SL1344_1297	ydiL	2.2	5.9
RprA	RprA	1638.1	1010.9
SL1344_1298	ydiK	16.6	14.3
SL1344_1299	ydiJ	30	19.4
SL1344_1300		38.4	25
SL1344_1301	ydiH	641	200.1
RydB	RydB	763.2	340.1
SL1344_1302		3.1	3.7
SL1344_1303	sufA	5.3	2.7
SL1344_1304	sufB	7.5	5.3
SL1344_1305	sufC	7.4	5.9
SL1344_1306	sufD	11.6	4.7
SL1344_1307	sufS	6.2	5.1
SL1344_1308	ynhA	6.9	6.2
SL1344_1309	ynhG	23.5	18.8
SL1344_1310	lppB	124.8	41.6
SL1344_1311	lpp	28413.4	39450.2
SL1344_1312	pykF	75.7	79.8
SL1344_1313	orf48	2.2	3.6
SL1344_1314	orf32	1	0.8
SL1344_1315	orf245	3	2.5
SL1344_1316	orf408	0.6	3
SL1344_1317	ttrA	2.2	2.2
SL1344_1318	ttrC	2.2	2.2
SL1344_1319	ttrB	1.4	1.9
SL1344_1320	ttrS	34	59.4
SL1344_1321	ttrR	25.1	49.1
SL1344_1322	orf70	51.2	117.9
SL1344_1323	orf319	45.3	28.1
SL1344_1324	orf242	20.7	17.4
SL1344_1325	ssrB	10.3	6.9
SL1344_1326	spiR	6.4	4.1
SL1344_1327	ssaB	1	1.4
SL1344_1328	ssaC	0.9	0.2
SL1344_1329	ssaD	2.1	1.9
SL1344_1330	ssaE	14.6	5.3
SL1344_1331	sseA	11.7	3.7
SL1344_1332	sseBa	6.2	4.6
SL1344_1333	sscA	2.8	3.3
SL1344_1334	sseC	6.1	5.6
SL1344_1335	sseD	2.7	4.6
SL1344_1336	sseE	1.6	1.4
SL1344_1337	sscB	4.5	4.6
SL1344_1338	sseF	2	2.4
SL1344_1339	sseG	9.3	18.8
SL1344_1340	ssaG	11.6	5.9
SL1344_1341	ssaH	5.8	3.1
SL1344_1342	ssaI	3.7	1.7
SL1344_1343	ssaJ	3.2	0.6
SL1344_1344		3.1	3.1
SL1344_1345	ssaK	2.1	1.3
STnc1220		14.4	11.7
SL1344_1346	ssaL	9.9	7.6
SL1344_1347	ssaM	1.1	3.9
SL1344_1348	ssaV	2.1	2.1
SL1344_1349	ssaN	3.5	2.4
SL1344_1350	ssaO	2.8	3.4
SL1344_1351	ssaP	5.3	6.5
SL1344_1352	ssaQ	10.8	10.5
SL1344_1353	ssaR	4.1	2.9
SL1344_1354	ssaS	2	0
SL1344_1355	ssaT	1.2	1.6
SL1344_1356	ssaU	2.5	2.4
SL1344_1357	norM	19.8	12.7
SL1344_1358	ribE	52.6	58.7
SL1344_1359	cfa	153.3	87
SL1344_1360	ydhC	4.5	3.9
SL1344_1361	ydhB	6.3	5.4
SL1344_1362	purR	10.9	7.5
STnc4220		250.3	262.9
SL1344_1362A	ynhF	1845.3	2375.6
SL1344_1363	sodB	853.8	705.3
SL1344_1364	ydhO	39.5	29.9
SL1344_1365	ydhD	212.6	253.9
SL1344_1366	rnt	31.8	27.3
SL1344_1367	gloA	114.3	136.1
SL1344_1368	nemA	27.9	27.7
SL1344_1369	ydhM	36.8	57.1
SL1344_1370	ydhL	46.5	42.2
SL1344_1371	ydhF	24	67.3
SL1344_1372	sodCb	56.1	58
SL1344_1373		4.8	4.3
SL1344_1374	ydhJ	7.5	8
SL1344_1375	ydhI	10.5	19.3
SL1344_1376	slyA	585.4	282.9
SL1344_1377	slyB	264.5	272
SL1344_1378	anmK	14.2	10.9
SL1344_1379	mliC	56.5	67.5
SL1344_1380	pdxH	91.6	65.6
SL1344_1381	tyrS	104.4	76.5
SL1344_1382	pdxY	43.8	26.5
SL1344_1383	gst	88.2	122
SL1344_1384	tppB	20.5	26.6
SL1344_1385	nth	26	18.2
SL1344_1386	rnfE	14.2	15.4
SL1344_1387	rnfG	9.3	10.3
SL1344_1388	rnfD	5.7	3.1
SL1344_1389	rnfC	8.3	7.7
SL1344_1390	rnfB	13.8	14.1
