Locus Tag	Name	Anaerobic growth	Anaerobic shock
tp2	tp2	3.3	6.4
SL1344_0152	aceE	308.8	41.1
SL1344_0153	aceF	394.2	58.4
SL1344_0154	lpdA	364.5	88.5
SL1344_0155		5.1	1.5
SL1344_0156		1.5	1.1
SL1344_0157	yacH	2.9	3.7
SL1344_0159	acnB	82	69.2
SL1344_0160		111.1	104.5
SL1344_0161	yacL	64.4	110.5
SL1344_0162	kdgT	3.9	90.8
SL1344_0163		3.6	107.7
SL1344_0164	pdxAb	29.1	234.5
SL1344_0165		72.4	319.3
SL1344_0166	speD	5.1	7.2
SL1344_0167	speE	9	11.1
SL1344_0168	yacC	68	116.5
SL1344_0169	cueO	10.6	18.3
SL1344_0170	gcd	17.7	7.5
SL1344_0171	hpt	62.9	50
SL1344_0172	yadF	58.1	89.8
SL1344_0173	yadG	14	13.9
SL1344_0174	yadH	10.2	16.1
SL1344_0175	stiH	3.9	5.2
SL1344_0176	stiC	0.7	1.2
SL1344_0177	stiB	0.4	1
SL1344_0178	stiA	3.2	4.5
SL1344_0179	yadI	59	192.2
SL1344_0180	yadE	16.5	26
STnc4190		31.6	61.8
SL1344_0181	panD	86.9	125.9
SL1344_0182	panC	21.1	29.7
SL1344_0183	panB	16.9	26.3
SL1344_0184	folK	10.4	5.9
SL1344_0185	pcnB	34	35.2
SL1344_0186	yadB	16.3	11.5
SL1344_0187	dksA	193.1	225
SL1344_0188	sfsA	66	59.3
SL1344_0189	ligT	48.3	77.4
SL1344_0190	hrpB	19.9	24.6
SL1344_0191	mrcB	40.5	38.5
STnc3250		19.8	31.6
SL1344_0192	fhuA	5.5	7.9
SL1344_0193	fhuC	1.8	3.6
SL1344_0194	fhuD	3.1	4.5
SL1344_0195	fhuB	1.7	4.4
SL1344_0196	stfA	0.5	1.3
SL1344_0197	stfC	2.5	2.4
SL1344_0198	stfD	0.3	0.2
SL1344_0199	stfE	0.8	1.2
SL1344_0200	stfF	2.5	3
SL1344_0201	stfG	0.7	1.1
SL1344_0202		12.7	20
STnc1510		186.9	335.5
SL1344_0203	hemL	43.3	50.2
SL1344_0204	clcA	37.4	40.7
SL1344_0205	yadR	156.9	67
SL1344_0206	yadS	5.9	9.4
SL1344_0207	btuF	13.5	16.9
SL1344_0208	mtn	28.2	31.2
SL1344_0209	dgt	22.3	21.8
SL1344_0210	htrA	43.3	29.9
STnc3100		141.5	164.7
SL1344_0211	cdaR	3.4	32.8
