Locus Tag	gene	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_1161	sifA	45.73	52.4	55.83	51.32
SL1344_1162	potB	12.08	16.27	16.83	15.06
SL1344_1163	potA	46.86	43.02	41.51	43.8
SL1344_1164	pepT	14.67	17.36	11.97	14.66
SL1344_1165		0	3.25	0	1.08
SL1344_1166		62.12	115.94	63.05	80.37
SL1344_1167	ycfD	28.64	28.66	37.35	31.55
SL1344_1168	phoQ	29.46	37.65	31.45	32.85
SL1344_1169	phoP	52.65	52.48	55.96	53.7
SL1344_1170	purB	14.39	15.77	13.08	14.41
SL1344_1171	ycfC	30.91	29.63	30.02	30.19
SL1344_1172	mnmA	72.58	78.12	88.67	79.79
SL1344_1173	ymfB	5.5	7.03	8.59	7.04
SL1344_1174		23.11	17.24	22.36	20.9
SL1344_1175	rluB	14.82	17.87	37.15	23.28
SL1344_1176	icdA	165.84	165.25	135.19	155.43
STnc150	STnc150	65	55.39	48.36	56.25
SL1344_1177		8.27	9.85	7.38	8.5
SL1344_1179	envF	26.81	32.55	38.05	32.47
IsrC	IsrC	278.71	212.63	188.6	226.65
SL1344_1180	msgA	357.08	353.62	364.57	358.42
SL1344_1181	envE	168.13	166.36	122.72	152.4
SL1344_1182	cspH	14.61	33.12	27.58	25.1
SL1344_1183	pagD	16.06	21.56	26.53	21.39
SL1344_1184	pagC	234.91	288.98	287.31	270.4
tRNA_14	tRNA_14	23.15	3.7	15.5	14.12
STnc520	STnc520	301.77	282.87	361.48	315.38
SL1344_1185	pliC	67.96	66.72	90.46	75.05
SL1344_1186		157.4	129.05	141.45	142.63
SL1344_1187		189.38	170.57	212.43	190.79
STnc1210	STnc1210	29.14	32.59	58.53	40.09
SL1344_1188		17.82	18.12	20.25	18.73
SL1344_1189		13.82	20.38	24.2	19.46
SL1344_1190		50.23	64.49	52.86	55.86
SL1344_1191		37.92	39.99	39.71	39.21
SL1344_1192		19.37	21.07	24.01	21.48
SL1344_1193		7.63	10.97	16.49	11.7
SL1344_1194		10.25	6.1	9.7	8.68
SL1344_1195		5.73	5.95	9.27	6.98
SL1344_1196		7.21	9.06	7.49	7.92
SL1344_1197		17.28	12.42	9.83	13.18
tRNA_15	tRNA_15	46.3	25.89	59.42	43.87
IsrD	IsrD	0	0	0	0
SL1344_1198		43.1	42.15	39.94	41.73
SL1344_1199	aadA	7.86	7.54	5.74	7.05
SL1344_1200		5.22	5.46	4.77	5.15
SL1344_1201		8.3	9.23	11.12	9.55
SL1344_1202		59.06	37.02	41.83	45.97
SL1344_1203		22.68	39.87	40.5	34.35
SL1344_1204	aroQ	39.79	44.59	31.84	38.74
SL1344_1205	yeaS	31.79	38.09	45.52	38.47
SL1344_1206	yeaR	9.36	8.23	10.97	9.52
SL1344_1207	yoaG	32.5	29.67	39.38	33.85
SL1344_1208		9.23	13.06	10.89	11.06
RyhB2	RyhB2	989.82	1316.65	1330.97	1212.48
SL1344_1209		4.57	0	16.31	6.96
SL1344_1210	yeaQ	48.84	52.26	55.51	52.2
SL1344_1211	yaoF	33.66	36.58	51.85	40.7
SL1344_1212		70.64	77.27	85.51	77.81
SL1344_1213	yeaO	70.62	56.03	57.61	61.42
SL1344_1214	yeaN	6.19	5.93	10.35	7.49
SL1344_1215	yeaM	73.07	78.56	100.24	83.96
SL1344_1216	yeaL	6.95	9.08	15.65	10.56
SL1344_1217	yeaK	25.01	20.85	21.85	22.57
SL1344_1218	yeaJ	28.67	33.46	33.1	31.74
SL1344_1219	yeaH	37.45	39.68	30.94	36.03
SL1344_1220	yeaG	29.84	32.69	23.36	28.63
SL1344_1221	mipA	208.79	191.11	177.22	192.37
SL1344_1222		4.95	4.97	4.1	4.67
SL1344_1223		8.54	11.34	13.42	11.1
SL1344_1224	yeaD	13.38	12.22	14.08	13.23
SL1344_1224A		19.96	28.7	16.34	21.67
SL1344_1225	gapA	228.44	239.89	217.79	228.71
SL1344_1226	yeaA	64.22	68.27	57.05	63.18
SL1344_1227	yeaC	46.6	32.05	31.89	36.85
SL1344_1228	nam	6.87	6.17	5.46	6.17
SL1344_1229	ansA	5.27	2.66	5.2	4.37
SL1344_1230	sppA	7.74	10.91	11.79	10.15
SL1344_1231	ydjA	21.98	15.19	19.51	18.89
SL1344_1232	selD	20.79	15.53	21.34	19.22
SL1344_1233	topB	22.26	18.01	21.1	20.45
SL1344_1234	gdhA	6.08	5.63	8.99	6.9
SL1344_1235		8.19	8.84	5.49	7.51
SL1344_1236		9.48	4.54	7.71	7.24
SL1344_1237	xthA	16.77	17.76	19.89	18.14
SL1344_1238	argDa	4.14	4.85	5.54	4.84
SL1344_1239	astA	4.36	4.7	5.29	4.78
SL1344_1240	astD	6.86	6.39	6.89	6.72
SL1344_1241	astB	8.81	7.84	8.29	8.31
SL1344_1242	astE	10.18	10.32	8.96	9.82
SL1344_1243		74.91	76.83	85.94	79.23
STnc1640	STnc1640	103.6	99.32	93.22	98.71
SL1344_1244		132.36	135.47	197.59	155.14
SL1344_1245	nadE	12.26	15.35	18.47	15.36
SL1344_1246	osmE	69.38	43.55	47.56	53.5
SL1344_1247	celA	11.44	15.19	20.63	15.75
SL1344_1248	celB	3.53	4.57	3.75	3.95
SL1344_1249	celC	16.23	18.68	21.74	18.88
SL1344_1250	celD	12.53	7.42	8.89	9.61
SL1344_1251	celF	47.39	41.25	42.73	43.79
SL1344_1252	celG	64.28	61.27	55.73	60.43
SL1344_1253	katE	2.38	3.6	3.18	3.05
SL1344_1254	cedA	39.57	33.47	33.51	35.52
SL1344_1255	ydjN	29.77	36.88	34.57	33.74
SL1344_1256	ydjM	7.52	18.03	20.15	15.24
SL1344_1257	yniC	26.99	21.02	19.76	22.59
SL1344_1258	yniB	19.44	19.65	11.96	17.02
SL1344_1259		12.77	12.56	17.11	14.15
SL1344_1260	ydiZ	13.6	21.42	20.16	18.39
SL1344_1261	pfkB	16.32	15.64	20.03	17.33
SL1344_1262	ydiY	55.74	64.12	46.28	55.38
SL1344_1263		5.87	5.91	7.67	6.49
SL1344_1264		46.64	41.28	37.84	41.92
SL1344_1265		36.19	31.11	38.47	35.26
SL1344_1330A		34.18	43.26	32.96	36.8
SL1344_1266	rfc	2.3	5.08	5.09	4.16
SL1344_1267	thrS	194.44	169.46	173.53	179.15
SL1344_1268	infC	1137.54	1149.32	1263.82	1183.56
SL1344_1269	rpl35	453.22	540.03	735.25	576.17
SL1344_1270	rpl20	1846.59	2069.12	1532.1	1815.94
SL1344_1271	pheS	9.17	9.61	10.55	9.78
SL1344_1272	pheT	94.51	83.93	82.49	86.98
SL1344_1273	himA	290.71	363.78	295.94	316.81
STnc540	STnc540	145.37	136.46	454.26	245.36
SL1344_1274	btuC	15.52	16.53	17.32	16.46
SL1344_1275	btuE	15.85	11.76	10.27	12.63
SL1344_1276	btuD	6.39	11.18	8.31	8.63
SL1344_1277	nlpC	23.67	29.68	24.39	25.91
SL1344_1278	ydiV	16.2	21.59	23.01	20.27
SL1344_1279	ydiU	39.85	32.96	35.71	36.17
SL1344_1280	ydiE	151.89	165.4	200.45	172.58
SL1344_1281	aroH	20.73	23.75	22	22.16
SL1344_1282	ydiA	3.04	3.57	2.94	3.18
SL1344_1283	pps	23.98	20.53	23.38	22.63
SL1344_1284	ydiD	5.84	6.26	7.01	6.37
SL1344_1285	ydiT	0.96	3.69	5.15	3.27
SL1344_1286	ydiS	3.72	3.15	3.37	3.42
SL1344_1287	ydiR	6.93	8.09	14.93	9.98
SL1344_1288	ydiQ	3.32	2.83	1.97	2.71
SL1344_1289	ydiP	3.8	2.12	5.51	3.81
SL1344_1290	ydiO	9.3	9.62	12.45	10.46
SL1344_1291	ydiF	4.24	5.25	2.96	4.15
SL1344_1292	aroD	13.38	9.97	8.71	10.69
SL1344_1293	aroE	5.2	6.55	4.14	5.3
SL1344_1294	ydiN	0.92	0.89	1.08	0.96
SL1344_1296	ydiM	3.49	3.57	2.02	3.03
SL1344_1297	ydiL	7.06	9.78	9.46	8.76
RprA	RprA	1494.34	1830.11	1124.61	1483.02
SL1344_1298	ydiK	11.34	12.8	12.15	12.09
SL1344_1299	ydiJ	8.66	8.22	10.18	9.02
SL1344_1300		14.43	26.34	13.8	18.19
SL1344_1301	ydiH	197.76	209.69	195.62	201.02
RydB	RydB	160.51	133.56	216.99	170.35
SL1344_1302		2.72	2.41	2.8	2.64
SL1344_1303	sufA	13.78	14.67	17.42	15.29
SL1344_1304	sufB	17.99	15.07	17.63	16.9
SL1344_1305	sufC	27.56	26.78	29.33	27.89
SL1344_1306	sufD	26.59	25.71	22.85	25.05
SL1344_1307	sufS	15.01	19.26	17	17.09
SL1344_1308	ynhA	12.86	9.74	12.24	11.61
SL1344_1309	ynhG	22.79	18.34	26.57	22.57
SL1344_1310	lppB	61.34	54.36	56.05	57.25
SL1344_1311	lpp	1886.79	1936.9	2918.46	2247.38
SL1344_1312	pykF	57.87	55.67	49.3	54.28
SL1344_1313	orf48	3.77	5.23	6.46	5.15
SL1344_1314	orf32	2.84	3.02	4.01	3.29
SL1344_1315	orf245	3.82	6.96	4.09	4.96
SL1344_1316	orf408	2.07	2.2	1.54	1.94
SL1344_1317	ttrA	3.5	3.35	4.13	3.66
SL1344_1318	ttrC	1.38	2.91	1.85	2.04
SL1344_1319	ttrB	0.37	1.08	1.5	0.99
SL1344_1320	ttrS	10.61	11.85	12.62	11.69
SL1344_1321	ttrR	13.69	19.05	13.3	15.34
SL1344_1322	orf70	45.17	49.67	36.47	43.77
SL1344_1323	orf319	32.89	22.52	27.53	27.65
SL1344_1324	orf242	13.54	11.87	11.66	12.36
SL1344_1325	ssrB	20.75	16.93	19.81	19.16
SL1344_1326	ssrA	12.03	14.47	10.24	12.25
SL1344_1327	ssaB	67.43	71.38	87.48	75.43
SL1344_1328	ssaC	52.45	56.97	55.2	54.87
SL1344_1329	ssaD	62.8	55.3	56.53	58.21
SL1344_1330	ssaE	114.06	162.9	173.79	150.25
SL1344_1331	sseA	639.75	623.35	663.25	642.11
SL1344_1332	sseBa	552.81	560.17	498.03	537
SL1344_1333	sscA	345.97	376.77	358.86	360.53
SL1344_1334	sseC	397.11	394.44	380.44	390.66
SL1344_1335	sseD	187.13	178.94	159.68	175.25
SL1344_1336	sseE	105.62	112.94	153.69	124.08
SL1344_1337	sscB	90.21	103.9	93	95.7
SL1344_1338	sseF	20.89	25.9	25.08	23.96
SL1344_1339	sseG	38.84	43.89	39.69	40.81
SL1344_1340	ssaG	203.05	193.41	177.2	191.22
SL1344_1341	ssaH	208.45	262.88	295.78	255.7
SL1344_1342	ssaI	405.45	463.82	415.22	428.16
SL1344_1343	ssaJ	441.1	417.82	370.15	409.69
SL1344_1344		219.47	262.63	237.81	239.97
SL1344_1345	ssaK	335.15	294.05	229.17	286.12
STnc1220	STnc1220	0	3.75	0	1.25
SL1344_1346	ssaL	194.05	195.87	199.55	196.49
SL1344_1347	ssaM	365.85	393.29	348.5	369.21
SL1344_1348	ssaV	66.8	72.09	72.21	70.37
SL1344_1349	ssaN	82.48	80.32	61.03	74.61
SL1344_1350	ssaO	37.35	47.27	47.02	43.88
SL1344_1351	ssaP	48.2	47.65	39.84	45.23
SL1344_1352	ssaQ	34.04	37.38	30.78	34.07
SL1344_1353	ssaR	578.98	593.87	604.57	592.47
SL1344_1354	ssaS	115.42	141.1	138.97	131.83
SL1344_1355	ssaT	35.43	50.95	62.7	49.7
SL1344_1356	ssaU	26.09	29.86	30.84	28.93
tRNA_16	tRNA_16	12216.24	12838.61	6652.98	10569.28
tRNA_17	tRNA_17	10609.47	10205.28	6724.61	9179.79
SL1344_1357	norM	16	14.55	20.6	17.05
SL1344_1358	ribE	38.67	42.55	31.48	37.57
SL1344_1359	cfa	12.76	16.46	15.44	14.89
STnc730	STnc730	63.29	69.78	118.67	83.91
SL1344_1360	ydhC	4.67	3.59	7.2	5.15
SL1344_1361	ydhB	15.71	14.78	12.34	14.28
SL1344_1362	purR	41.49	36.35	46	41.28
SL1344_1362A	ynhF	335.46	412.61	470.44	406.17
SL1344_1363	sodB	85.81	84.58	87.32	85.9
SL1344_1364	ydhO	8.9	16.44	14.58	13.31
SL1344_1365	ydhD	161.53	183.64	186.42	177.2
SL1344_1366	rnt	107.53	105.17	125.05	112.58
SL1344_1367	gloA	38.06	31.84	41.24	37.05
SL1344_1368	nemA	4.11	3.94	6.88	4.97
SL1344_1369	ydhM	25.39	26.6	28.34	26.77
SL1344_1370	ydhL	7.07	10.17	8.68	8.64
SL1344_1371	ydhF	8.8	6.63	5.68	7.04
SL1344_1372	sodCb	5.41	11.4	12.31	9.71
SL1344_1373		4.42	3.84	5.64	4.63
SL1344_1374	ydhJ	11	17.78	10.1	12.96
SL1344_1375	ydhI	4.77	14.87	9.59	9.75
SL1344_1376	slyA	172.83	173.06	158.17	168.02
SL1344_1377	slyB	169.48	156.69	134.08	153.42
SL1344_1378	anmK	9.3	7.95	8.92	8.72
SL1344_1379	mliC	30.82	31.19	25.22	29.08
SL1344_1380	pdxH	20.18	20.99	18.97	20.05
SL1344_1381	tyrS	76.49	78.84	95.63	83.66
SL1344_1382	pdxY	10.81	8.48	10.53	9.94
SL1344_1383	gst	16.29	15.17	15.59	15.69
SL1344_1384	tppB	46.41	45.21	52.01	47.88
SL1344_1385	nth	22.18	23.39	22.28	22.61
SL1344_1386	rnfE	15.47	21.46	24.53	20.49
SL1344_1387	rnfG	13.63	18.73	13.99	15.45
SL1344_1388	rnfD	14.91	13.53	18.36	15.6
SL1344_1389	rnfC	22.84	23	25.72	23.86
SL1344_1390	rnfB	137.42	129.4	92.02	119.61
SL1344_1391	rnfA	192.46	205.42	235.34	211.07
SL1344_1392	ydgK	39.69	48.48	57.44	48.54
SL1344_1393	ydgT	60	78.66	92.66	77.11
SL1344_1393A	blr	58.58	84.25	60.35	67.73
SL1344_1394	ydgJ	20.31	13.76	16.32	16.8
SL1344_1395	add	63.59	58.27	73.67	65.17
SL1344_1396	ydgA	18.86	15.94	20.14	18.31
SL1344_1397	manA	3.84	13.56	8.35	8.58
SL1344_1398	fumA	27.55	27.23	30.36	28.38
SL1344_1400	fumC	15.66	12.32	13.44	13.81
SL1344_1401	tus	6.97	6.39	9.34	7.57
SL1344_1402	rstB	6.06	5.19	7.1	6.12
SL1344_1403		1.16	0.79	1.22	1.05
SL1344_1404	ompN	4.72	6.2	5.33	5.42
SL1344_1405	rstA	65.5	55.78	60.11	60.46
SL1344_1406	ydgC	10.09	9.67	19.14	12.97
SL1344_1407	ydgI	9.78	10.55	14.06	11.46
SL1344_1408	ydgH	29.24	36.04	43.95	36.41
SL1344_1409	pntA	33.16	30.73	33.06	32.31
SL1344_1410	pntB	20.9	25.1	32.75	26.25
SL1344_1411	tqsA	25.06	23.76	28.27	25.7
SL1344_1412	ydgF	41.24	37.3	48.45	42.33
SL1344_1413	ydgE	23.11	27.08	34.39	28.2
SL1344_1414		3.77	3.95	3.68	3.8
SL1344_1414A	ydgU	20.36	0	2.27	7.54
SL1344_1415	asr	51.57	47.54	48.48	49.2
SL1344_1416	ynfM	7.19	7.76	9.93	8.3
SL1344_1417	ynfL	7.21	10.51	11.96	9.89
SL1344_1418	mlc	14.31	15.49	17	15.6
SL1344_1419	bioDb	33.64	25.64	30.66	29.98
SL1344_1420	clcB	5.46	4.19	8.63	6.09
SL1344_1421		11.78	12.23	12.32	12.11
SL1344_1422		8.27	10.02	7.87	8.72
SL1344_1423		9.68	7.18	4.18	7.02
SL1344_1424		17.06	10.65	17.8	15.17
SL1344_1425	ynfI	31.19	36.5	43	36.9
SL1344_1426		15.45	12.8	21.23	16.49
SL1344_1427		2.49	2.03	2.27	2.26
SL1344_1428	dmsA2	2.43	1.33	1.63	1.8
SL1344_1429	dmsA1	7.15	7.96	7.34	7.49
SL1344_1430	ynfD	41.15	23.67	38.58	34.47
SL1344_1431	ynfC	21.55	18.4	22.03	20.66
SL1344_1432	speG	120.71	135.49	89.92	115.37
SL1344_1433	ynfB	110.68	101.36	85.73	99.25
SL1344_1434	ynfA	4.32	4.14	4.05	4.17
SL1344_1435	rspA	1.39	1.11	1.86	1.46
SL1344_1436	rspB	2.21	1.32	0.93	1.49
SL1344_1437	ydfJ	7.76	7.64	8.21	7.87
SL1344_1438	ydfI	8.65	9.39	11.58	9.87
SL1344_1439	ydfZ	20.81	23.94	20.44	21.73
SL1344_1440	ydfH	11.5	12.2	12.65	12.11
SL1344_1441	ydfG	38.13	34.02	30.08	34.08
SL1344_1442	dcp	5.1	8.2	9.05	7.45
SL1344_1443		15.48	10.39	16.58	14.15
SL1344_1444	ydeJ	3.74	5.64	3.58	4.32
SL1344_1445	ydeI	15.09	8.27	9.14	10.83
STnc560	STnc560	448.35	628.2	783.26	619.94
SL1344_1446	ydeE	4.27	4.32	3.65	4.08
SL1344_1447	ydeD	10.93	6.29	9.41	8.87
SL1344_1448	marB	6.55	11.3	13.16	10.34
SL1344_1449	marA	28.96	29.85	24.24	27.68
SL1344_1450	marR	25.96	23.02	28.25	25.74
SL1344_1451	marC	30.07	15.43	26.94	24.15
SL1344_1452	sotB	8.76	6.81	10.94	8.83
SL1344_1453	yneJ	15.5	15.48	16.22	15.74
SL1344_1454	yneI	3.86	4.28	6.52	4.89
SL1344_1455	yneH	10.34	12.25	13.44	12.01
SL1344_1456	yneG	13.34	6.77	15.76	11.96
SL1344_1457		23.42	16.84	18.78	19.68
SL1344_1458		5.72	7.97	3.83	5.84
SL1344_1459		6.65	3.99	4.83	5.16
SL1344_1460	hypA	1.65	0	1.66	1.1
SL1344_1461		2.86	1.22	3.4	2.49
SL1344_1462	hyaF2	4.51	8.14	5.15	5.94
SL1344_1463	hyaE2	0	3.95	3.68	2.54
SL1344_1464		10.36	3.61	8.83	7.6
SL1344_1465	hyaD2	6.95	7.11	7.75	7.27
SL1344_1466	hyaC2	9.86	8.36	7.87	8.69
SL1344_1467	hyaB2	4.22	6.14	5.65	5.34
SL1344_1468	hyaA2	3.83	5.14	4.79	4.59
SL1344_1469		6.2	6.19	6.91	6.43
SL1344_1470		10.49	15.29	17.71	14.5
SL1344_1471		8.52	9.75	12.51	10.26
SL1344_1472		3.72	5.67	6.45	5.28
SL1344_1473	pqaA	7.6	7.11	7.03	7.25
SL1344_1474		3.86	1.52	3.65	3.01
SL1344_1475		4.86	3.58	4.63	4.35
SL1344_1476		25.4	19.37	26.67	23.81
SL1344_1477		51.95	49.05	40.9	47.3
SL1344_1478		74.58	65.25	61.09	66.97
SL1344_1479		46.61	30.42	39.18	38.74
SL1344_1480		212.38	233	190.12	211.83
SL1344_1481		10.18	8.95	8.52	9.22
SL1344_1482		8.38	9.22	5.82	7.8
SL1344_1483		3.84	2.76	4.18	3.59
IsrF	IsrF	3.9	10.28	5.22	6.47
SL1344_1484		2.69	2.03	3.99	2.9
SL1344_1485		7.55	6.7	4.31	6.19
SL1344_1486		3.49	2.98	4.29	3.59
SL1344_1487		6.56	3.59	5.02	5.06
SL1344_1488		7.6	7.03	8.91	7.85
SL1344_1489		1.56	1.92	2.24	1.91
SL1344_1490		2.53	2.42	2.54	2.49
SL1344_1491		1.79	0.34	2.16	1.43
SL1344_1492	hdeB	10.27	7.39	9.75	9.13
SL1344_1493	osmC	13.07	12.53	21.44	15.68
SL1344_1494	yddX	19.65	18.84	7.89	15.46
SL1344_1495	rpsV	74.85	73.64	64.62	71.04
SL1344_1496	sfcA	11.62	14.16	14	13.26
SL1344_1497	adhP	10.01	14.24	11.98	12.07
SL1344_1498	fdnI	36.91	29.07	35.01	33.66
SL1344_1499	fdnH	18.8	26.88	21.76	22.48
SL1344_1500	fdnG	9.49	11	8.94	9.81
SL1344_1502	yddG	0.68	2.29	1.14	1.37
SL1344_1503	ompD	46.23	49.59	48.03	47.95
SL1344_1504		4.48	1.84	3.43	3.25
SL1344_1505	smvA	12.88	10.9	17.12	13.63
SL1344_1506		13.64	14.01	23.49	17.05
SL1344_1507	narU	1.01	1.56	1.36	1.31
SL1344_1508	narZ	5.57	5.05	5.5	5.37
SL1344_1509	narY	3.28	4.2	3.54	3.67
SL1344_1510	narW	1.62	2.33	3.53	2.49
SL1344_1511	narV	6.21	3.57	4.16	4.65
SL1344_1512	yddE	11.67	8.77	7.39	9.28
SL1344_1513	nhoA	9	6.39	10.94	8.78
SL1344_1514	steA	77.1	95.27	68.93	80.44
SL1344_1515	ansP	21.13	18.63	22.23	20.66
SL1344_1516		26.76	23.21	23.04	24.34
SL1344_1517		81.76	86.78	82.66	83.73
SL1344_1518	yncD	2.39	2.29	2.67	2.45
SL1344_1519	yncC	8.47	9.74	13.61	10.61
SL1344_1520	yncB	21.46	24.74	23.28	23.16
SL1344_1521	yncA	8.2	11.01	13.92	11.04
SL1344_1522	ydcZ	19.45	17.44	20.58	19.16
SL1344_1523	ydcY	24.18	28.97	34	29.05
SL1344_1524	srfA	4.91	3.28	4	4.06
SL1344_1525	srfB	3.02	4.17	3.1	3.43
SL1344_1526	srfC	9.72	6.55	7.83	8.03
SL1344_1527	ydcX	50.33	59.55	67.41	59.1
STnc1110	STnc1110	116.75	116.12	78.18	103.68
SL1344_1528	ydcW	22.61	23.92	18.53	21.69
SL1344_1529	ydcR	11.67	12.51	11.92	12.03
SL1344_1530	pdgL	18.66	27.7	24	23.45
SL1344_1530A		229	237.15	183.68	216.61
SL1344_1531	ugtL	110.4	132.29	133.63	125.44
SL1344_1532	sifB	112.37	123.36	136.59	124.1
SL1344_1533	yncJ	102.87	149.1	186.14	146.03
SL1344_1534	ydcP	23.09	22.82	24.49	23.47
SL1344_1535	ydcN	34.68	26.2	26.39	29.09
SL1344_1536		18.65	22	24.66	21.77
SL1344_1537		27.41	32.34	36.14	31.96
SL1344_1538	tehB	34.97	29.9	32.91	32.59
SL1344_1539	tehA	14.74	9.86	20.48	15.03
SL1344_1540	ydcK	5.75	5.79	3.27	4.94
SL1344_1541	rimL	8.88	8.52	11.2	9.53
SL1344_1542		3.02	2.9	2.36	2.76
SL1344_1543		1	2.88	5.37	3.08
SL1344_1544		2.57	4.11	2.15	2.95
SL1344_1545		4.54	2.68	3.28	3.5
STnc1120	STnc1120	306.15	290.56	336.2	310.97
SL1344_1546		0	1.85	1.29	1.05
SL1344_1547		1.34	1.71	2.69	1.91
SL1344_1548		6.05	5.8	5.48	5.78
SL1344_1549	aac	11.6	11.74	10.79	11.38
SL1344_1550		4.69	6.51	6.12	5.77
SL1344_1551		4.41	2.82	2.95	3.39
SL1344_1552	ydcG	13.61	17.29	14.47	15.13
SL1344_1553		8.4	11.64	8	9.35
SL1344_1554		12.79	9.25	9.13	10.39
SL1344_1555	ydcI	21.36	27.21	25.34	24.63
SL1344_1556	trg	14.91	18.61	14.97	16.16
SL1344_1557	adhC	70.29	57.72	66.3	64.77
SL1344_1558		97.3	92.3	94.64	94.75
SL1344_1559	steB	7.73	12.79	13.17	11.23
SL1344_1560		6.29	7.17	14.49	9.32
SL1344_1561	sseJ	22.05	17.4	22.77	20.74
SL1344_1562		7.37	13.34	5.48	8.73
SL1344_1563		20.36	24.84	27.76	24.32
SL1344_1564		11.32	16.69	13.7	13.9
SL1344_1565		12.71	13.67	11.61	12.66
SL1344_1566		8.28	7.54	7.77	7.86
SL1344_1567		21.99	20.73	23.12	21.95
SL1344_1568		34.89	37.52	41.59	38
RydC	RydC	623.98	544.19	484.55	550.91
SL1344_1569	cybB	14.35	12.23	14.95	13.84
SL1344_1570	ydcF	16.2	15.86	16.03	16.03
SL1344_1571	hrpA	22.23	20.97	23.88	22.36
SL1344_1572	acpD	2.33	4.91	5.92	4.39
SL1344_1573		10.04	9.62	8.4	9.35
SL1344_1574	ydbL	10.46	5.85	7.59	7.97
SL1344_1575	ynbE	29.49	42.41	23.7	31.87
SL1344_1576	ydbH	12.29	13.52	14.38	13.4
SL1344_1577	ldhA	23.35	23.48	30.7	25.84
SL1344_1578	hslJ	26.79	19.76	20.24	22.26
SL1344_1579		10.9	5.23	13.38	9.84
SL1344_1580		5.65	4.52	5.68	5.28
SL1344_1581	nifJ	7.75	8.58	8.72	8.35
MicC	MicC	15.65	20	15.72	17.12
SL1344_1582	ynaF	38.94	36.09	38.68	37.9
SL1344_1583		48.33	60.71	69.19	59.41
SL1344_1584		22.2	27.93	22.3	24.14
SL1344_1585	ydaO	14.76	10.11	15.33	13.4
SL1344_1586	dbpA	10.26	9.24	11.13	10.21
STnc580	STnc580	896.18	1276.44	726.34	966.32
SL1344_1587	zntB	12.89	10.99	12.85	12.25
SL1344_1588		11.47	11.47	14.06	12.33
SL1344_1589	ydaL	29.02	22.54	30.15	27.24
SL1344_1590	ogt	48.67	38.8	41.02	42.83
SL1344_1591	fnr	192.14	207.54	240.01	213.23
SL1344_1592	ydaA	58.59	51.89	65.72	58.74
SL1344_1593	ynaJ	82.06	72.29	86.13	80.16
SL1344_1594	ynaI	23.77	20.95	19.02	21.25
SL1344_1595		24.8	32.74	24.75	27.43
SL1344_1596		43.93	46.45	45.64	45.34
SL1344_1597		8.6	3.88	4.4	5.63
SL1344_1598		3.73	5.86	5.91	5.17
SL1344_1599		5.4	4.09	5.14	4.88
SL1344_1600		6	8.31	6.47	6.93
SL1344_1601		0.66	1.57	1.98	1.4
SL1344_1602		26.34	23.55	26.63	25.51
SL1344_1603		12.2	12.76	17.82	14.26
SL1344_1604		10.03	7.78	11.51	9.77
SL1344_1605		13.43	10.23	11.11	11.59
SL1344_1606		11.99	11.81	13.67	12.49
SL1344_1607		5.29	6.27	6.25	5.94
SL1344_1608		2.43	0.87	1.83	1.71
SL1344_1609	mppA	36.67	32.98	34.49	34.71
SL1344_1610	ycjI	3.1	5.93	4.66	4.56
SL1344_1611	ycjG	46.7	34.7	46.32	42.57
SL1344_1612	tpx	105.2	115.26	115.92	112.13
SL1344_1613	tyrR	61.6	70.26	74.41	68.76
SL1344_1614	ycjF	102.47	111.21	136.87	116.85
SL1344_1615	ycjX	142.13	152.81	193.71	162.88
SL1344_1616	pspE	204.51	221.86	232.44	219.61
SL1344_1617	pspD	253.23	297.27	383.25	311.25
SL1344_1618	pspC	843.4	894.29	817.44	851.71
SL1344_1619	pspB	774.55	778.71	861.32	804.86
SL1344_1620	pspA	1146.02	1203.76	1247.07	1198.95
SL1344_1621	pspF	15.23	13.78	15.01	14.67
SL1344_1622	sapA	13.32	12.94	14.41	13.56
SL1344_1623	sapB	6.74	6.46	9.26	7.49
SL1344_1624	sapC	6.65	4.25	5.93	5.61
SL1344_1625	sapD	6.81	4.63	5.7	5.72
SL1344_1626	sapF	2.8	2.01	4.68	3.16
SL1344_1627		79.68	76.38	82.7	79.59
SL1344_1628	steC	113.44	120.55	105.36	113.12
SL1344_1629		6.29	7.54	11.59	8.48
SL1344_1630	ycjE	53.69	50.57	42.26	48.84
SL1344_1631	fabI	183.36	198.06	147.43	176.28
SL1344_1632	yciW	8.7	9.06	10.99	9.58
SL1344_1633	rnb	44.42	36.44	44.18	41.68
SL1344_1634	yciR	4.26	6.13	4.47	4.96
SL1344_1635		79.71	59.86	102.31	80.63
SL1344_1636	yciT	17.98	23.34	21.32	20.88
SL1344_1637	osmB	157.62	157.3	161.78	158.9
SL1344_1638	yciH	16.42	11.6	10.99	13
SL1344_1639	pyrF	16.43	13.92	14.59	14.98
SL1344_1640	yciM	32.84	36.33	36.37	35.18
SL1344_1641	yciS	245.08	244.59	214.93	234.87
SL1344_1642	pgpB	7	6.36	9.63	7.66
SL1344_1643	ribA	47.74	53.09	45.71	48.85
SL1344_1644	acnA	21.9	19.89	16.57	19.45
SL1344_1644A	ymiA	189.24	149.77	194.49	177.84
SL1344_1645	cysB	30.36	35.48	35.24	33.7
SL1344_1646	topA	87.2	80.99	80.97	83.06
SL1344_1647	yciN	121.19	134.47	105.95	120.54
