Locus Tag	gene	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_0110	leuD	5.12	9.37	8.11	7.53
SL1344_0111	leuC	7.04	7.91	7.68	7.54
SL1344_0112	leuB	10.07	9.9	7.95	9.31
SL1344_0113	leuA	15.06	15.81	13.45	14.77
SL1344_0114	leuL	1136.45	1265.31	940.8	1114.19
SL1344_0115	leuO	5.67	7.15	9.59	7.47
SL1344_0116	ilvI	10.34	8.94	10.11	9.8
SL1344_0117	ilvH	28.68	28.6	39.18	32.15
SL1344_0118	fruR	35.91	24.74	30.99	30.55
SL1344_0119	mraZ	380.67	378.5	257.37	338.84
SL1344_0120	mraW	109.55	99.28	116.25	108.36
SL1344_0121	ftsL	391.23	350.65	298.14	346.67
SL1344_0122	ftsI	328.71	325.06	198.96	284.24
SL1344_0123	murE	23.3	25.6	23.84	24.25
SL1344_0124	murF	15.56	21.08	16.94	17.86
SL1344_0125	mraY	42.69	36.68	37.3	38.89
SL1344_0126	murD	41.52	40.42	35.11	39.02
SL1344_0127	ftsW	16.55	20.77	24.78	20.7
SL1344_0128	murG	47.25	36.19	45.96	43.13
SL1344_0129	murC	43.54	49.98	46.93	46.81
SL1344_0130	ddlB	71.94	61.34	76.26	69.85
SL1344_0131	ftsQ	70.92	67.02	57.26	65.07
SL1344_0132	ftsA	132.79	121.31	110.59	121.57
SL1344_0133	ftsZ	150.49	138.64	161.07	150.07
SL1344_0134	lpxC	1184.68	1276.76	1080.38	1180.61
SL1344_0135	yacA	26.98	31.54	34.37	30.97
SL1344_0136	secA	27.38	27.15	30.05	28.2
SL1344_0137	mutT	2.14	6.15	6.21	4.83
SL1344_0138	yacG	8.85	14.14	19.75	14.24
SL1344_0139	yacF	13.65	15.99	14.72	14.79
SL1344_0140	coaE	19.99	15.24	19.47	18.23
SL1344_0141	guaC	95.06	97.86	91.13	94.68
SL1344_0142	pilC	0.47	1.57	1.57	1.2
SL1344_0143	pilB	1.42	3.7	4.63	3.25
SL1344_0144	pilA	0.64	3.09	4.32	2.68
SL1344_0145	nadC	9.44	14.12	12.89	12.15
SL1344_0146	ampD	22.01	22.06	30.15	24.74
SL1344_0147	ampE	18.47	19.92	22.08	20.16
SL1344_0148		2.08	1.42	3.77	2.42
SL1344_0149		2.6	3.07	3.35	3.01
SL1344_0150	aroP	10.05	9.64	15.52	11.74
SL1344_0151	pdhR	231.15	251.99	317.46	266.87
SL1344_0152	aceE	138.77	136.48	145.33	140.19
SL1344_0153	aceF	73.51	76.33	62.5	70.78
SL1344_0154	lpdA	174.25	163.07	168.34	168.55
SL1344_0155		0.99	5.7	5.98	4.22
SL1344_0156		1.42	0.68	1.19	1.1
SL1344_0157	yacH	1.05	0.84	0.82	0.9
SL1344_0159	acnB	43.49	42.32	51.78	45.86
SL1344_0160		20.07	22.77	16.8	19.88
SL1344_0161	yacL	71.58	81.3	68.77	73.89
SL1344_0162	kdgT	1.48	1.13	5.15	2.59
SL1344_0163		3.77	4.04	5.19	4.33
SL1344_0164	pdxAb	8.31	5.49	5.37	6.39
SL1344_0165		53.98	55.27	52.87	54.04
SL1344_0166	speD	18.8	16.66	22.8	19.42
SL1344_0167	speE	55.35	61.85	60.75	59.32
SL1344_0168	yacC	52.76	59.92	58.7	57.13
SL1344_0169	cueO	9.8	10.73	11.71	10.75
SL1344_0170	gcd	12.49	9.49	11.68	11.22
SL1344_0171	hpt	61.48	64.48	55.95	60.64
SL1344_0172	yadF	54.88	50.99	63.53	56.47
SL1344_0173	yadG	27.37	29.74	25.05	27.39
SL1344_0174	yadH	28.17	28.4	26.21	27.59
SL1344_0175	stiH	5.74	4	3.85	4.53
SL1344_0176	stiC	2.21	1.7	1.33	1.75
SL1344_0177	stiB	2.06	0.79	2.49	1.78
SL1344_0178	stiA	3.66	3.51	3.5	3.55
SL1344_0179	yadI	7.04	7.36	5.57	6.66
SL1344_0180	yadE	12.15	14.28	14.42	13.62
SL1344_0181	panD	17.79	31.98	30.77	26.85
SL1344_0182	panC	18.8	16.13	11.26	15.4
SL1344_0183	panB	5.7	3.75	9.06	6.17
SL1344_0184	folK	7.64	10.71	9.84	9.4
SL1344_0185	pcnB	39.53	43.99	40.57	41.36
SL1344_0186	yadB	23.95	21.52	26.46	23.97
SL1344_0187	dksA	166.52	164.98	192.33	174.61
SL1344_0188	sfsA	14	20.71	16.88	17.2
SL1344_0189	ligT	5.85	12.23	16.01	11.36
SL1344_0190	hrpB	24.25	20.74	27.44	24.14
SL1344_0191	mrcB	93.03	77.09	84.73	84.95
SL1344_0192	fhuA	48.12	53.53	58.16	53.27
SL1344_0193	fhuC	12.02	6.44	14.2	10.88
SL1344_0194	fhuD	16.77	12.44	15.47	14.89
SL1344_0195	fhuB	9.31	10.37	13.75	11.14
SL1344_0196	stfA	6.54	7.71	6.4	6.88
SL1344_0197	stfC	5.3	6.3	5.75	5.78
SL1344_0198	stfD	2.25	1.44	2.51	2.06
SL1344_0199	stfE	3.62	2.31	1.21	2.38
SL1344_0200	stfF	0.59	2.84	4.36	2.6
SL1344_0201	stfG	0.53	4.59	2.85	2.65
SL1344_0202		11.41	7.4	9.89	9.57
SL1344_0203	hemL	39.83	38.18	42.14	40.05
SL1344_0204	clcA	13.87	13.87	18.05	15.27
SL1344_0205	yadR	1012.82	1098.91	718.21	943.31
SL1344_0206	yadS	14.92	19.07	10.6	14.86
SL1344_0207	btuF	12.67	11.48	13.67	12.61
SL1344_0208	mtn	37.12	44.49	40.53	40.71
SL1344_0209	dgt	22.84	22.93	19.19	21.66
SL1344_0210	htrA	463.04	465.1	453.72	460.62
SL1344_0211	cdaR	71.33	59.74	73.52	68.2
