Locus Tag	Name	MEP	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	LowFe2+ shock	Anaerobic shock
SL1344_0597	ahpF	52.1	55.1	17.8	53.1	24.2	58.4	44.6	27.1
SL1344_0598		0.5	1.1	0	0	0	0.6	0.4	0.3
SL1344_0599		2.3	2.5	1.7	1.4	1.3	3	2.1	4.3
SL1344_0600		3.6	2.2	1.5	2.4	1.8	5	2.4	3.1
SL1344_0601		14.7	9.2	18.5	9.3	20	17.4	21.5	24.5
SL1344_0602	ybdQ	257.8	247.5	335.4	166.2	593.8	416.5	312.7	1185.7
SL1344_0603	ybdR	3.1	2	1.3	1.3	9.8	4.8	3	4.8
SL1344_0604	rnk	46	64.6	34.3	37.2	19.1	79.4	30.2	37.5
sRNA10		149.2	168.5	85.3	233.9	166.9	142	184.3	234.9
SL1344_0605	rna	69.6	70.4	39.1	87.3	59.1	98.4	77.2	62.4
SL1344_0606	citT	6.1	5	2.7	3.8	5	3.9	6.2	5.4
SL1344_0607	citG	0.1	0.2	0	0.2	0	0	0.1	0.8
SL1344_0608	citX	0.1	0	0	0.2	0	0	0.2	1.3
SL1344_0609	citF	0.3	0.5	0.2	0.2	0.3	0.4	0.2	1.8
SL1344_0610	citE	0	0.5	0	0	0	0	0	1.1
SL1344_0611	citD	0.7	0	0	0.5	0	0	0.4	1.4
SL1344_0612	citC	0.2	0.2	0	0.4	0.3	0	0.4	1.9
SL1344_0613	citA	3.3	3.6	2.1	3.3	7.5	6.4	3.5	7.7
SL1344_0614	citB	7	7.3	4.8	11.1	10.8	7.2	9.7	12.2
SL1344_0615	dcuC	2.2	3.6	1.3	2.4	1.9	5.1	1.9	21.7
STnc3550		17.3	16.9	23.4	20.2	18.5	12.7	18	101
SL1344_0616	pagP	163.1	121.6	138.5	347.6	593.3	226.5	100.6	74.7
SL1344_0617	cspE	10127	9279.6	21580	7143.2	2444.1	22561.3	9133	5682.8
SL1344_0618	ccrB	92.6	77.8	83.5	74.3	98.1	78.6	94	114.1
SL1344_0619		8	8.1	3.5	10.5	7.8	10.5	10.1	11.9
SL1344_0620	tatE	79.3	68.1	81	134.6	76	138.2	96.1	154.6
SL1344_0621	lipA	233.5	294.9	76.6	168.9	64.9	225.1	158.2	52.9
SL1344_0622	ybeF	11.4	16.7	7.7	8.5	49.3	16.5	14.5	10.2
SL1344_0623	lipB	65.2	76.5	21.2	40.7	40.9	85.1	53.8	20.5
SL1344_0624	ybeD	592.9	374.3	290.4	525.9	1214.7	387.1	875	232.7
SL1344_0625	dacA	151.9	204.1	59.8	142.9	87.3	177	129	39.7
SL1344_0626	rlpA	79.8	140.2	58.7	58.7	19.9	91.9	57.6	29.7
SL1344_0627	mrdB	51	87.2	39.9	44.1	22.8	50.9	45.7	19.5
SL1344_0628	mrdA	63.3	74.8	42.9	52.9	19	61.8	48.6	22.1
SL1344_0629	ybeA	103.5	74.9	20.6	83	18.6	95.8	77.9	29
SL1344_0630	ybeB	83.4	86.1	48.9	77.9	24.1	116.5	64.7	27.8
SL1344_0631	cobC	16.8	8.9	6.5	10.7	8.7	18.4	10.9	15.7
SL1344_0632	cobD	5.4	7.6	4.3	2.2	2.3	18.2	4.5	20.3
SL1344_0633	nadD	35	44.2	25.8	18.8	11.7	31.8	24.7	11.3
SL1344_0634	holA	91.2	69.1	23.3	49.2	19.3	94.8	74.6	34.7
SL1344_0635	rlpB	183.5	168.4	148.5	152.5	73.2	239.7	150.9	106.5
SL1344_0636	leuS	96	136.4	28.1	68.8	43.3	116.6	81.5	44.3
SL1344_0637		0.7	0	0.6	0.5	1.8	1.2	1.2	244.7
SL1344_0638		1.6	3.4	1.4	1.8	3.2	1.1	1.6	62.3
SL1344_0639		13.8	37.3	19.1	15.7	26.2	8.2	18.2	64.5
SL1344_0640		26.2	15.2	12.5	12.9	32.8	35.2	30.1	54.9
SL1344_0641	ybeL	36.1	42.9	330.8	14	155.7	130.2	43.7	246.9
SL1344_0642	ybeQ	5.4	7.9	5.6	5.2	9.4	6.9	8.8	9.5
SL1344_0643	ybeR	1.8	0.3	0.5	1	4.3	2	2.7	2
SL1344_0644	ybeS	1.5	1.6	0.2	1	2.1	1.4	1.6	2.6
SL1344_0645	ybeU	1.2	1.8	0.5	1.2	1.5	2.5	3.3	2
SL1344_0647	ybeV	4	4.1	2.6	4.1	3.7	4	4.6	3
SL1344_0648	hscC	5.7	8.6	5.6	2.3	2.9	6.3	4.6	80.8
SL1344_0649		16.1	25.4	22.6	1.4	3.9	61.3	8.8	78.1
SL1344_0650	rihA	14.1	30.1	17.3	1.3	3.5	61.4	8.1	83.1
SL1344_0651	gltL	18.5	54.8	23.9	4.7	23.9	26.3	18.6	6.1
SL1344_0652	gltK	18.9	59.6	25	9	28.8	27.1	21.2	7
SL1344_0653	gltJ	10.3	40.3	26.5	4.9	22.3	29.1	9.1	3.9
SL1344_0654	gltI	28.2	95.7	46.1	12.3	59.4	160.1	40.4	12.5
SroC		1173.6	884.9	1526.7	568.6	703.9	1649.8	1216.6	828.4
SL1344_0655	lnt	74	131.6	31	32.6	58.1	50.4	77.6	18.9
