Locus Tag	Name	MEP	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	LowFe2+ shock	Anaerobic shock
SL1344_0906	ycaM	8	18.7	10.4	9.5	9.8	19.5	5	7.9
SL1344_0907	pflA	63.5	54.5	29.4	43.1	28.3	56.8	29	33.2
STnc3310		170.4	189	151	183.9	180.8	187.3	150.9	191.6
SL1344_0908		62.9	104.6	95.6	38.5	61	48.4	62.6	84.7
SL1344_0909	sopD2	16.8	22.7	33.2	14.5	107.2	53.3	37.1	61.7
SL1344_0910	pflB	137	96.2	23.1	75.1	47.5	255.3	100.5	439.7
SL1344_0911	focA	108.6	57.3	54.4	55.2	97.7	147.7	63.9	278.6
SL1344_0912	ycaO	29.5	41.3	15	41.6	9.8	27.3	17.3	11.7
SL1344_0913	ycaP	4.3	3	2.8	2.7	37.9	9.2	9.9	4.9
SL1344_0914	serC	61.7	87.2	17	32.1	47.6	111	107.6	67.1
SL1344_0915	aroA	39.1	39.1	12.2	20.7	25.7	61.1	55.9	22.8
SL1344_0916	ycaL	18.9	27.5	7.9	14	25	17.4	20.2	18.7
SL1344_0917	cmk	242.9	208.9	99.3	230.4	234.4	218.7	177.3	57.2
SL1344_0918	rpsA	1880.2	1359.2	289.1	1456	698.5	1712.1	907.6	237.6
SL1344_0919	himD	373	284.5	161.4	474.2	364.7	428.7	418	294.5
STnc3330		2.1	4.2	14.9	4.1	0	14.1	3.6	181.6
SL1344_0920	rec2	2.7	2.8	1.4	2.4	2.3	3.6	2.4	2.8
SL1344_0921	msbA	89.4	99.8	47.9	95.4	59.6	88.7	73	25.5
SL1344_0922	lpxK	67.8	89.5	85.2	80.2	34.5	59.8	54.7	20.3
SL1344_0923	ycaQ	16.4	20.5	7.3	8.2	5.3	16.7	12.2	5.1
SL1344_0924	ycaR	126.2	117.8	80.5	79.8	110.8	212	117.7	74.9
SL1344_0925	kdsB	66.9	59.4	14.9	44.7	28.5	93.6	58.5	35
SL1344_0926		9	10.2	8.2	12.1	15.6	7.8	11	66.6
SL1344_0927	ycbC	5.5	10.1	4.4	5.4	8.8	9.9	9	7.7
SL1344_0928	smtA	58	41.3	19.7	45.6	41.3	65.2	52.5	25.6
SL1344_0929	mukF	68	67.2	27.7	46.5	43.4	100.1	62.7	29.3
SL1344_0930	mukE	84.8	103.2	27.6	67.2	56.6	100.5	81.1	34.8
SL1344_0931	mukB	82.6	84.7	34.3	59.2	45.8	91.2	79.6	31.9
SL1344_0932	ycbB	39.1	34.4	21.1	22.9	51	57.5	52.4	70.3
SL1344_0933	ycbK	101.1	120.5	90.3	53.2	69.2	242.3	101.9	80.1
SL1344_0934	ycbL	97.9	120	38.6	62.4	37.9	173.8	95.3	52.9
SL1344_0935	aspC	123.5	171.1	53.9	65.2	43.2	211	154.4	92.3
SL1344_0936	ompF	113	134	42.1	11.9	22.2	101.7	49.4	26.9
STnc3350		71.5	58	156.6	49.5	29.3	67.6	60.8	87.5
SL1344_0937	asnCa	194.5	221.2	48.7	120	80.5	290.8	166.5	87.9
SL1344_0938		12	18.4	8.5	7	19.9	31.5	11.5	34.6
SL1344_0939	dpaL	1.1	1.2	1.5	1	6.9	1.7	0.4	2.2
SL1344_0940		0.5	1.9	1	0.8	4.3	1	0.8	1.5
SL1344_0941	pncB	67.3	59.1	22.6	47.9	24.2	59.2	65.6	15.7
SL1344_0942		69.7	74.6	62.8	63.5	30.8	57.8	76.3	111.3
STnc4200		123.9	552.9	148.7	129.7	194.5	103.9	145.4	209.3
SL1344_0943		1.9	1.7	0.7	2.2	2.7	8	3.4	2.9
SL1344_0944		0.6	0	0.7	0.6	0	1	0	0.6
SL1344_0945		0.4	0.6	0.1	0.1	0	0.5	0.3	0.6
SL1344_0946	recEa	0.5	0.6	0.2	0.3	1.2	1.3	0.9	1.2
IsrB-2	IsrB-2	2.9	0	1.7	1.4	5.4	8.7	7.7	7.6
IsrB-1		435.7	292.5	449.7	400.2	826.9	51.5	454.7	434.2
SL1344_0947		4.6	0.7	6.5	7.7	14.8	19.4	11.2	15.2
SL1344_0948		6	2.6	4.1	6	12.9	13.2	12.9	11.7
SL1344_0949		1.6	1.6	5	3.1	12.4	5.8	5.1	4.4
SL1344_0950		164.3	237	81.4	165.4	265.6	131.1	170.3	146.9
SL1344_0951	C1	0.2	0	0	0	1.4	1.2	1.3	0.4
STnc1080		1089.9	662.1	641.6	914.3	1767.3	114.6	1280.9	1024.4
SL1344_0952		2.9	1.7	1.2	1.8	5.4	3.9	4.6	2.5
SL1344_0953		1.4	2.5	0	0.5	1.1	2	0.8	1
SL1344_0954		1.2	0.6	1.9	1.2	3.9	3	3.8	0.8
SL1344_0955		14.9	11.3	12.6	11.7	27.9	25.4	32.4	35.7
SL1344_0956		365.5	334.2	348.8	373.3	616	838.2	552.4	477.7
SL1344_0957		114.5	123.2	284.7	96	1013	193.6	169.2	134.8
SL1344_0958		10.5	11.3	4.1	13	35	11.2	12.8	17.3
SL1344_0959	ninG	0.3	0.7	0	0	0.3	0.2	0.4	0.5
SL1344_0960		0.5	0	0	0	2.3	1.6	2.5	0
SL1344_0961		2.7	2.1	2.1	2.9	6.8	3.8	3.3	5.5
SL1344_0962		115.1	253.6	88.5	202.1	99.7	76.9	102.9	127.9
SL1344_0963		0.5	0	0	2.1	2.7	1.8	0	2.3
SL1344_0964		15.7	30.9	17.8	49	22.7	20.2	11	14
SL1344_0965	gtgA	8.4	12.4	12.9	7.5	16.4	18.8	16.1	13.3
SL1344_0965A		0	0	0	0	0	0	0	0
SL1344_0966	nucD	0.9	2.3	0.7	0.9	0.8	0.5	1.6	2.5
SL1344_0967		0.7	1.7	0.3	0.5	0.7	0.9	0.7	1.4
SL1344_0968		2.8	2.7	3.4	1.3	2.9	5.2	5.6	4
SL1344_0969		2.2	1.6	0.6	1.4	1.2	3.3	2.4	2.2
SL1344_0971		3.7	1.7	2.2	3.4	2.2	5	5.6	3.8
SL1344_0972		2.3	1.7	0.9	2.2	1.7	3.4	3.2	3.9
SL1344_0973		2.1	0	0.5	0.8	1.1	2.5	0.4	2.2
SL1344_0974		2.5	4.1	0.5	2.3	1.1	0.8	4.4	2.4
SL1344_0975		2.9	1.5	0	0.7	1.2	2.3	2.1	1.5
SL1344_0976		1.4	1.5	0.8	1	1.7	2.6	1.8	0.7
SL1344_0977		3.6	0.9	1.7	2	2.2	2.9	3.2	2.1
SL1344_0978		1.9	1	0	1.7	0.4	5.3	2.7	1.4
SL1344_0979		4.9	2.4	1.9	5.6	1.9	4.9	3.2	3.8
SL1344_0980		2.3	2.4	1.5	1.6	1.2	3.2	3.1	3.2
SL1344_0981		1.9	1.9	2	2	2	3.5	2.2	4.7
SL1344_0982		10	13.3	11.5	14.7	16.4	19.2	16.9	17.2
SL1344_0983	sodCa	42	31.5	30.3	65.6	67.3	62.6	58.6	102.4
SL1344_0984		2.7	4.2	2.8	2.5	2.7	10.4	4.1	7.4
SL1344_0985		1.8	2.2	0.2	0.9	1.4	3.3	1.6	1.9
SL1344_0986		2.2	1.2	1.4	1.3	0.7	4.3	1.4	3
SL1344_0987		2	2	0.9	1.1	1.1	1.9	2.4	3.1
SL1344_0988		0.7	0.3	0.4	0.4	0.3	0.7	1.5	0.7
SL1344_0989		1.5	0.7	1.7	2.3	2.9	3.6	1.9	0.7
SL1344_0990		3.5	4.8	2.3	3.1	11.8	2.7	4.5	6.6
SL1344_0991	sseI	5	6.2	7.4	6	16.2	7	7.7	6.8
SL1344_0992		5.6	6.9	4.7	3.6	13	6.4	9.5	7.8
SL1344_0993		1	1	0.3	0.4	4.1	0.9	0.6	0.9
SL1344_0994		13.7	15.2	8.7	10.8	49.4	12.8	16.8	10.9
SL1344_0995	gtgE	38.3	32.9	51.2	24.6	237.9	61	68.1	40.7
SL1344_0996	gtgF	20.7	37.8	35.8	21.8	97.6	18.8	26.9	14.9
SL1344_0997	pepN	33.1	42.5	19	19.2	28.6	54.6	56.9	59.2
SL1344_0998	pyrD	42.9	51.5	12.3	21.6	9.7	53.8	21.2	11.3
SL1344_0999	ycbW	44.3	43.5	23.2	35.6	73.1	70.8	50.5	43.6
SL1344_1000		13.8	25	6.8	11.5	11.1	19.8	15.5	6.9
SL1344_1001	rlmL	60.6	54.7	25.9	53.5	25.8	70.9	49.7	13.3
SL1344_1002	uup	62.2	57.9	18.7	56.9	22.9	68.3	46.7	13.3
SL1344_1003	pqiA	43.9	50.1	21.9	32.9	27	54.1	36.1	12.2
SL1344_1004	pqiB	40.6	45	16.1	26.1	17.4	48.7	35.5	13.3
SL1344_1005	ymbA	53.6	50.7	21.8	43.9	36.3	49.2	45	20
STnc3390		0.8	19.5	11.6	8	12	6.9	7.1	36.9
SL1344_1006	rmf	34.7	34.6	21.4	27.4	92.3	90.1	69.5	728.9
SL1344_1007	fabA	469.3	371.5	373.4	223.7	87.7	294	264.3	55.5
SL1344_1008	lonH	75.2	69	27	44.6	18.8	74.2	51.6	11.4
SL1344_1009	ycbG	51.7	74.6	97.2	39.7	85.4	95.9	68.8	106.2
SL1344_1010	ompA	941.8	692.1	102.9	740.7	762.4	1325.2	986.7	579
SL1344_1011	sulA	42.3	224	179.7	27.6	108.9	41.8	30.9	24.1
SL1344_1012	sxy	7.6	7.5	5.9	4.7	10.4	18.3	8.1	24
SL1344_1013	yccS	16.7	31.3	13.9	14.7	26.3	20.1	21.6	19.3
SL1344_1014	yccF	12.3	19.9	6.2	13	10.7	13.6	10.5	9.9
SL1344_1015	helD	24.2	20	15.2	18.8	27.2	32.1	28.5	30.8
SL1344_1016	mgsA	47.6	54.7	30	19.2	28.6	129.2	52.2	195.6
SL1344_1017	yccT	1.8	3.1	1.5	2.4	5.1	3.7	5.4	2.8
SL1344_1018		22.2	12.4	14.9	14.9	16.3	44.1	24.8	33.5
SL1344_1019	yccV	147.2	133.7	44.8	96.6	596.4	144.3	205.1	80.8
SL1344_1020	yccW	27.4	40.7	15.5	23.8	16.5	30	18.8	12.7
SL1344_1021		3.2	5.3	3	3.5	5.3	7	4.4	19.8
SL1344_1022		9.2	7.2	6.5	8	15.1	13.9	12.5	23.6
SL1344_1023	yccX	3.9	2.9	0.6	1.4	10.3	9.1	6.4	8.6
SL1344_1024	yccK	161	158.3	122	134.9	161.1	158.8	130.9	58.8
SL1344_1025	yccA	98	99.6	25.7	37.4	84.5	121.9	79.4	35
SL1344_1026	pipA	17.2	45.4	21.4	17.3	16.5	11.1	19.8	16.8
SL1344_1027	pipB	1.2	3.6	2.2	1.5	6.4	2.9	1.4	1.8
SL1344_1028		0	0	0.5	0.4	0.5	0	0	0.4
SL1344_1029	pipC	20.6	18.8	16.8	16.2	25.4	24.9	25.3	13.8
SL1344_1030	sopB	6.4	6.5	4.2	3.4	2.4	4.8	4.4	2.3
SL1344_1031	orfX	4.8	0	20.1	3.2	4	27.9	3.5	373.9
SL1344_1032		2.5	14.9	2.9	1.2	3.1	5.2	1.1	6.4
SL1344_1033	pipD	5.1	10.7	13.1	4.9	4.4	21	4.3	32.6
SL1344_1034	copS	9.8	12.5	6	4.9	5.6	10.9	10.2	5.5
SL1344_1035	copR	18.3	33.6	16.4	13.8	16.9	26	22.2	26.9
SL1344_1036		24.7	42.4	18.7	32.9	51.4	19.8	35.4	57.3
SL1344_1037	hpaC	4.5	7.3	4.5	4.5	4	2	5.4	5
SL1344_1038	hpaB	1.4	2.8	2.1	1.5	2.9	1.8	2.2	5.2
SL1344_1039	hpaR	14.5	23	5.9	5.8	4.6	19	11.7	8.1
SL1344_1040	hpaG	1.1	1.8	0.3	0.6	1.1	2.2	1.1	1
SL1344_1041	hpaE	0.7	1.3	0.4	0.5	0.7	0.9	0.7	0.8
SL1344_1042	hpaD	1.9	1.5	0.4	0.6	0.6	1.8	2.5	0.3
SL1344_1043	hpaF	2.7	1.1	0.4	0.7	1.3	2.8	3.2	2.2
SL1344_1044	hpaH	0.4	1.8	0.6	1.7	0.4	2	0.6	1.8
SL1344_1045	hpaI	0.7	1	0	1.5	0.6	1.2	1.2	0.9
SL1344_1046	hpaX	1.4	1.4	0.8	1.4	2.6	1.9	2.3	1.2
SL1344_1047	hpaA	1.3	2.1	0.7	1.1	0.8	1.6	0.7	0.6
SL1344_1048		7	9	4.8	7.5	6.7	6.2	8.4	9.6
STnc1880		143.4	669	222.8	163.2	235.4	121.3	151.3	238.4
SL1344_1049		2.6	4.6	2.3	3.4	31.9	9	5.3	5.1
STnc3400		16.6	43.5	47.5	24	60.5	16.9	21.3	9.2
SL1344_1050	yccD	32.7	27.8	15.5	19	56.8	47.6	48.4	142.3
SL1344_1051	cbpA	21.3	20.3	9.1	12.6	30.9	39	31.5	53.9
SL1344_1052	scsA	96.1	142.2	109.1	75.7	142.7	120.3	112.4	45.6
SL1344_1053	scsB	3.8	8.2	3.4	2.7	2	3	2.4	1.7
SL1344_1054	scsC	3.6	4.3	2.6	2.2	1.9	3.7	2.9	0.9
SL1344_1055	scsD	2.7	4.1	3.9	4.3	1.7	2.1	2.1	2.3
SL1344_1056	agp	10.9	15.9	7.1	4.9	9.5	30.9	15.7	106.6
SL1344_1057	yccJ	29.8	19.1	11.5	11.9	153.2	97.6	71.8	770
SL1344_1058	wrbA	10.7	7.3	7.7	4.3	101.3	32.4	22	216.8
SL1344_1059	ymdF	27.7	24.7	25.3	40.3	1772	86	60.9	195.4
SL1344_1060	ycdC	26.2	24	32	31.3	49.3	27.9	21.5	14.7
SL1344_1061		77.7	93.7	68.2	54.7	64.5	121.8	100.9	57.7
SL1344_1062	putA	18.1	30.2	11.6	2.9	9.9	51.1	22	3.5
SL1344_1063	putP	20.4	51.3	17.5	21.4	13.7	53.5	26.3	5.9
SL1344_1064	phoH	9.5	21.3	6.7	7.3	62.6	21.1	20.7	45.4
SL1344_1065		53.5	44.2	26.9	29.6	19.9	62.7	48.2	27.5
STnc500		162.5	179.2	442.6	152	225.1	168.3	178.3	689
SL1344_1066		1.1	2.6	1.6	1.1	3.8	3.4	1.2	55.1
SL1344_1067		0.9	2.7	4.1	0.4	0.5	11.3	1.1	144
SL1344_1068		0.5	2.1	2.3	0.6	3.7	2.4	0.4	175.2
SL1344_1069		0.9	4.5	3.8	0.6	5.9	1.2	0.2	215.6
SL1344_1070		3.7	2.6	6	3.3	11.3	4.6	5.2	45.1
SL1344_1071		14.3	22.5	12.1	9	16.8	17.2	18	40.4
SL1344_1072	ycdW	33.7	28	7	20.5	30.1	56.7	33.7	9
SL1344_1073	ycdX	58.1	65.7	29.7	40.9	61	94.4	50.2	34
SL1344_1074	ycdY	40.9	47.8	23.3	26.1	34.1	57.7	31.2	20.3
SL1344_1075	ycdZ	169	165.3	158.5	89.9	73.7	116.2	125.7	210.5
SL1344_1076	csgG	3.6	4.7	3.9	2	7.5	4.7	4.8	8.2
SL1344_1077	csgF	0.3	0	0.4	1	0.4	0	0.9	0
SL1344_1078	csgE	1.6	0.5	0.8	1	2.2	0.3	1.2	0
SL1344_1079	csgD	1.5	0.6	1.5	1.2	2.4	2	3.1	1.1
SL1344_1080	csgB	0.6	0	0	0.6	6	0.3	0.8	0
SL1344_1081	csgA	0.6	0.9	0	0	3.4	0.5	0.5	1.3
SL1344_1082	csgC	58.5	53.9	62.1	33.5	43.3	79.4	78	21
SL1344_1083	ymdA	61.7	42	22.4	27.8	26	63.5	67.8	15.6
SL1344_1084		45.9	41.5	20.9	30.8	28.7	58	52.4	29.6
SL1344_1085	ymdC	30.6	34.3	17.4	15.5	23.6	33.6	33.9	21.8
SL1344_1086	mdoC	18.9	41.3	21.4	14.1	26.6	23.5	20.7	13.6
SL1344_1087	mdoG	127.6	120.5	32.6	93.8	85.5	163.1	112.9	50.5
SL1344_1088	mdoH	97.9	109.5	33.4	74.5	53.7	120.3	81.8	33.3
SL1344_1089	yceK	27.4	40	11.5	14.8	11.2	14.8	15.3	4.4
SL1344_1090	msyB	14.3	16.6	9.2	8.3	33.6	44.4	20.5	30.4
SL1344_1091	yceE	7.2	10.1	7.9	6.2	10.9	8.5	8.9	8.2
STnc3040		11.5	17.4	12.2	13.9	103.5	12	19.1	41.3
SL1344_1092	htrB	53.1	66.2	28.3	63.5	68.5	60.7	52.1	44.2
SL1344_1093	yceA	113.8	102	40.3	125	26.5	102.1	97.1	8.5
SL1344_1094	yceI	13.4	8.3	7.4	7.5	11.5	24.1	20.1	5.5
SL1344_1095	yceJ	11.8	14.1	6.9	5.7	7.7	15.9	13.9	1.5
SL1344_1096	yceO	7.8	20	2.9	4.7	16.4	10.2	10.6	33.8
SL1344_1097	solA	20.3	31.1	9.7	11.7	53	34.8	26.7	31.4
SL1344_1098	bssS	231.1	445.2	159.2	234.9	3221.9	184.7	330.7	1110.3
SL1344_1099	dinI	347.4	770.4	338	205.7	338	313.9	274.4	114.3
SL1344_1100	pyrC	73.5	85.5	30.3	30	27.7	93.7	64.7	22.5
SL1344_1101	yceB	191.3	295.3	257.9	160.1	287	183.1	216.4	292.1
SL1344_1102	grxB	49.8	50.9	19.7	21.5	202	130.9	84.5	111.9
SL1344_1103	yceL	8	9.6	8.5	4.7	7.5	10.5	10.1	22
SL1344_1104	rimJ	42.1	46.8	52.6	18.7	33.5	149.7	38.1	120
SL1344_1105	yceH	40.3	46.4	33.8	17.7	31	104.6	32.9	116.3
SL1344_1106	mviM	26.2	42.4	15.2	9.4	14.4	57.7	27.5	61
SL1344_1107	mviN	19.9	44.5	15	19.8	12.9	21.3	19.5	12.4
SL1344_1108	flgN	513.8	431.3	188.8	374.2	1021.2	518.8	512.9	564.1
SL1344_1109	flgM	403.5	280.7	148.1	288.5	857.2	486.1	402.3	511.2
SL1344_1110	flgA	315.2	165.6	245.8	131.8	68.2	251.5	302.1	54.3
SL1344_1111	flgB	464.6	257.1	258.7	230.7	138.5	736.9	417.8	71.9
SL1344_1112	flgC	276.3	173	185.5	166.7	79.9	367.9	276.6	38.8
SL1344_1113	flgD	218	111.8	43.6	94.1	52.4	320.5	206.6	27.8
SL1344_1114	flgE	215.6	177.4	36.7	100	72.7	325.6	193.2	28.1
SL1344_1115	flgF	334.2	177.2	83.6	187.7	56.4	489.7	325.3	42.9
SL1344_1116	flgG	286.4	183.5	53.7	147.4	53.3	417.4	253.6	28.8
SL1344_1117	flgH	213	143.6	83.4	101.6	48.8	304.1	182.8	19
SL1344_1118	flgI	128.1	97.1	56.9	81.9	36.5	154.3	113.3	17.7
SL1344_1119	flgJ	106.9	82.8	52.3	66.3	23.7	115.3	91.5	14.9
SL1344_1120	flgK	250	267.5	70.1	226.7	329.6	349.2	249.5	241
SL1344_1121	flgL	244.3	316.2	72.8	223.6	272.4	259.5	240.3	227.3
STnc840		572.7	607.8	222	331.7	1886.1	156.4	314.8	954.1
SL1344_1122	rne	101.1	139.1	37.7	88.6	22.1	118.7	108.3	53.1
SL1344_1123	rluC	133.8	125.7	64.6	119.2	24.3	113.2	108.2	27.5
SL1344_1124		19	45.1	25.5	15.3	9.8	25.5	11	36.8
SL1344_1125		28.3	40.5	13.1	11.4	8.3	29	16	43.1
SL1344_1126	maf-a	17.1	21.3	17.3	11.8	30.6	29.3	24.9	28.5
SraB	SraB	733.8	584	531.6	588.3	333	348.4	526.6	619.3
SL1344_1127	yceD	3273.9	2313.3	2288.5	3083.2	1611.7	1801.9	1962.6	415.9
SL1344_1128	rpl32	3970.7	3621.2	2295.4	3732.2	2204.5	3380	2599.5	502
SL1344_1129	plsX	390.6	313.7	222.9	429.8	137.3	218.3	245.3	59.7
SL1344_1130	fabH	220.5	244.7	137.8	204.2	95.2	272.2	168.3	52.2
SL1344_1131	fabD	276.9	311.2	138.2	262	109.8	310.4	192.3	52.3
SL1344_1132	fabG	1043.3	691.4	379.9	783.2	358.4	879.3	693.1	225.1
SL1344_1133	acpP	7637.1	4464.3	6707.1	6787.4	4437.8	7821.6	7730.4	2789.4
SL1344_1134	fabF	698.4	572.8	115.7	447.5	233.4	689.5	461.9	124.2
SL1344_1135	pabC	48.7	65.8	31.9	39.6	49.6	48.5	36.8	16.6
SL1344_1136	yceG	38.9	46.4	27.9	42.8	40.2	43.5	31.9	21.9
SL1344_1137	tmk	49.4	48.8	16.8	40.9	38.2	63.7	39.4	20.7
SL1344_1138	holB	46	37.8	23.8	38.8	19.8	43.3	35.4	19.6
SL1344_1139	ycfH	43.1	60	15.8	43.6	68.8	46.3	29.6	25.4
SL1344_1140	ptsG	88.7	158.8	40.8	76.8	22.3	155.7	47.5	87.2
SL1344_1141	fhuE	3.8	5.9	1.6	2.4	2.4	44.9	111.6	1.9
SL1344_1142	ycfF	102.4	89.8	46.4	71.8	139.6	201.6	116	76.9
SL1344_1143	ycfL	113.3	59.2	42.8	70.4	86.3	190.7	110.4	57.9
SL1344_1144	ycfM	54.4	30.8	14.9	33.2	50.1	98.3	50.5	38.4
SL1344_1145	thiK	40.2	35.7	22.2	18.9	37	54.2	33.1	31.1
SL1344_1146	nagZ	39.7	49.7	21.1	23.2	49.8	64	47.1	74.7
SL1344_1147	ycfP	71.1	47.3	22.6	37.6	86.3	95.9	80.9	153
SL1344_1148	ndh	181.6	153	87	94.5	180.6	72.8	115.8	25.9
SL1344_1149	ycfJ	14.1	23.8	7	17.3	124.6	42.5	22.1	12.2
STnc850		97.4	73.7	148.6	178	1143.5	150.2	147.2	150.2
STnc1090		50.1	61.9	36.6	34.3	71.2	55.6	62.9	89.5
SL1344_1150	ycfQ	88.6	34.9	36	67.9	75.6	100.5	96.5	74.7
SL1344_1151	ycfR	47	26.5	17.1	311.5	638	34.3	177.2	13.3
SL1344_1152	ycfS	7.2	14.6	4.7	3.6	10.4	9.5	5.9	6.2
SL1344_1153	mfd	29.5	27.7	12.4	21.6	20.1	36.4	26.3	19.2
STnc3410		303.4	220	313.4	382.8	187	88.1	325.8	410.8
SL1344_1154	ycfU	62.5	80.2	31.4	50.4	48.4	67.4	61.1	21.6
SL1344_1155	lolD	55.5	84.5	28.9	48.8	32.3	58.1	58.6	16.9
SL1344_1156	ycfW	56.2	59.8	21.3	37.1	22.7	68.8	52.6	18.3
SL1344_1157	ycfX	77.5	81.8	59.4	55	44.8	92.9	73	38.2
SL1344_1158	cobB	111.1	104.9	87.4	80.3	45.4	114.2	107.7	53.8
SL1344_1159	potD	81.9	96.4	27.8	73.5	27.3	119.3	69.5	18.5
SL1344_1160	potC	72.5	103.1	51.4	80	43	63.6	53.1	24
SL1344_1161	sifA	11.3	16.4	8.4	9.2	54.8	9.8	19.9	7.1
SL1344_1162	potB	47.9	38.4	34.5	53.4	9.1	36.8	35.5	9.1
SL1344_1163	potA	54.2	44.7	22.2	57.5	17.7	45.5	36.4	14.4
SL1344_1164	pepT	8.9	8.6	5.1	3.8	6.5	23.3	12	276.4
SL1344_1165		10.1	9.1	7.7	9.5	11.4	7.4	11.5	25.3
SL1344_1166		0	0	0	0	0	0	0	0
SL1344_1167	ycfD	66.7	90.9	38.4	54.7	37.8	67.2	63.8	32.4
SL1344_1168	phoQ	133.1	123.2	86.3	221.9	143.1	167.1	125.4	57
SL1344_1169	phoP	205.2	164.9	94.8	283.2	332.7	350.1	185.9	126.9
SL1344_1170	purB	70.5	72.9	19.5	35	17.2	81.1	42.1	7
SL1344_1171	ycfC	96	96	43.7	78.7	28.9	74.8	73.9	17.2
SL1344_1172	mnmA	148.3	199.7	103.5	132.2	98.2	130.8	120.3	34.4
SL1344_1173	ymfB	16.8	17.1	6	9.7	16.2	18.7	14.6	11.1
SL1344_1174		21.6	20.7	11.4	14.8	21.7	27.5	20.8	16.9
SL1344_1175	rluB	40.4	33.3	17.9	32.9	103.9	33.1	39.6	32.8
SL1344_1176	icdA	289.9	333	92	148.9	430.6	384.1	348.7	100.9
STnc150		29.2	50.2	60.5	30.2	82.5	54.9	51.3	50
SL1344_1177		14	40	27.4	14.7	75.6	19.6	20	3.7
SL1344_1179	envF	1.7	11.3	7.9	2.9	44.1	0.7	2.4	3.1
IsrC	IsrC	2.1	3.6	2.8	7.5	23.7	5.3	2.1	9.4
SL1344_1180	msgA	215.9	156.4	152.8	185.5	209.5	231.5	247.2	95.1
SL1344_1181	envE	23	85.4	42.3	30.8	46.4	14.1	18.9	4.6
SL1344_1182	cspH	58.6	451.7	42.3	39.4	8	17.5	31.1	13.4
SL1344_1183	pagD	1	1.6	1.2	0.5	6.5	0.9	0.9	0
SL1344_1184	pagC	15.6	17.6	21.5	16.1	116.1	9.9	12.5	5.5
STnc3420		6.2	29.6	14.8	16.3	32	20.1	10	37.6
STnc520		537	129.3	581.6	867.5	920.2	435.8	794.2	757.3
SL1344_1185	pliC	76.1	101.6	124.8	96.5	723.6	96.6	120	163.8
SL1344_1186		4.8	27.3	6.6	5	25	2.1	3.5	14.6
SL1344_1187		108.4	193.6	47.9	74.6	854.9	119.7	214.4	175.7
STnc1760		48.2	69.8	124.8	58.9	35.4	21.9	72.7	110.2
STnc1210		400.8	249.5	369	364.6	924.2	17.8	744.4	764.4
SL1344_1188		10.4	15.9	8.5	12.4	13.2	7	13.6	16.7
SL1344_1189		19.2	20.3	15.7	32.1	36.3	50.2	21.8	8.9
STnc1990		109.5	151.6	128.3	157.5	391.7	240.8	172.4	167.2
SL1344_1190		40.5	50.7	59.8	45.5	93	59.2	60	27.6
STnc3430		97.9	122.2	111.1	122	162.8	121.7	113.9	132.5
SL1344_1191		6.6	13.2	5.6	3.6	4.8	13.3	6	169.5
SL1344_1192		4.6	8.5	3.5	2.8	1.2	7	3.5	47.6
SL1344_1193		7.7	7.4	8.3	4	2.3	5.6	5.6	38.1
SL1344_1194		5	5.5	3.3	2.5	1.3	6.1	3.6	33.3
SL1344_1195		2.3	4.2	5	0.9	0.9	3.4	5.3	31.9
SL1344_1196		6.3	6	4.5	8.2	52	10.5	10.3	6.7
SL1344_1197		14.3	12	11.5	18.2	225.6	41.3	38.3	21.4
IsrD	IsrD	0	0	0	0	0	0	0	0
SL1344_1198		28.3	33.3	17.2	18.4	37.9	29.7	28	7.5
STnc3440		20.5	19.1	5.6	15.6	54.8	60.3	30.4	34.5
SL1344_1199	aadA	13	25.2	6.2	9.9	8.6	13.6	17.7	13.4
SL1344_1200		2	4.9	3.3	2	30.1	8.8	3.8	3.4
SL1344_1201		41.2	431.8	59.4	30	46.8	52.7	44.9	46.7
SL1344_1202		112.3	40.8	34.2	22.3	1183.3	529.6	357.1	62.5
SL1344_1203		6.9	18	7.6	0.9	19.3	4.7	4	4.8
SL1344_1204	aroQ	48.7	36.1	47.1	28.5	25	39.5	15.2	3.9
SL1344_1205	yeaS	110.4	125.9	86.8	70.1	117.1	154.8	99.6	64.5
SL1344_1206	yeaR	18.7	39.5	24.4	19.4	33	31.2	46.9	43.8
SL1344_1207	yoaG	25.1	41.9	17.9	24.4	44.7	40.1	49.3	63.2
SL1344_1208		5.4	5.5	5.4	6.1	12.7	7.8	7.7	12.4
SL1344_1209		21	21.2	31.7	32	277.6	92.1	65.3	79.8
RyhB-2	RyhB-2	108.5	229.9	247.5	102.6	114.7	773.4	3326.4	41.3
SL1344_1210	yeaQ	30.6	27.5	24.3	45.1	475.6	138.5	104.9	86
SL1344_1211	yaoF	15	23	12.3	20.9	75.1	44.4	21.5	68.5
SL1344_1212		78.6	106.3	111.2	53.8	71.5	83.6	94.5	160.1
SL1344_1213	yeaO	45.9	32.8	24.5	32.3	39.2	45.5	48.8	29.9
SL1344_1214	yeaN	5.4	5.4	4	8.4	8.5	9.7	9.1	0.8
SL1344_1215	yeaM	11.4	11.2	6.4	11.6	74.6	16	20.4	11.5
SL1344_1216	yeaL	11.3	15.8	12.8	9.1	9.1	16.7	9.2	11.8
SL1344_1217	yeaK	8.5	10.8	2.5	8.9	14.1	11.4	7.7	9.6
SL1344_1218	yeaJ	12	11.5	5.3	10.2	16.1	10.4	11.6	18.9
