Locus Tag	Name	FDR	logFC	Fitness
SL1344_0170	gcd	0.667154995	1.119506795	0
SL1344_0173	yadG	0.936572206	0.404105993	0
SL1344_0175	stiH	0.788072361	0.868497213	0
SL1344_0176	stiC	0.774222208	-0.70106118	0
SL1344_0178	stiA	0.892829569	1.019044428	0
SL1344_0180	yadE	0.591058936	-1.03987022	0
SL1344_0182	panC	0.860314059	0.662702415	0
SL1344_0183	panB	0.876113557	0.61814078	0
SL1344_0184	folK	1.04e-09	-9.019090582	2
SL1344_0185	pcnB	0.231078674	-1.776692151	0
SL1344_0186	yadB	0.99713509	0.152474912	0
SL1344_0187	dksA	1.62e-10	-15	2
SL1344_0188	sfsA	0.84085579	1.041412408	0
SL1344_0189	ligT	0.797084569	1.054979275	0
SL1344_0190	hrpB	0.817423956	0.78940965	0
SL1344_0191	mrcB	0.0292265	-2.462205604	2
SL1344_0192	fhuA	0.001098656	-3.621655795	2
SL1344_0193	fhuC	0.685367505	-0.890446684	0
SL1344_0194	fhuD	0.007646837	-2.867091471	2
SL1344_0196	stfA	0.983383916	-0.084437172	0
SL1344_0197	stfC	0.094883105	-2.005604104	0
SL1344_0198	stfD	0.945136713	0.358827002	0
SL1344_0202	SL1344_0202	0.891583098	-0.430861803	0
SL1344_0204	clcA	0.751504387	0.947234194	0
SL1344_0206	yadS	0.124981051	-15	0
SL1344_0208	mtn	7.11e-06	-15	2
SL1344_0209	dgt	0.000249898	-3.852972002	2
SL1344_0210	htrA	2.99e-09	-7.701093062	2
SL1344_0211	cdaR	0.90249816	-0.419350614	0
SL1344_0212	yaeH	0.973053855	-0.129661916	0
SL1344_0213	SL1344_0213	0.82962219	0.748256827	0
SL1344_0224	yaeL	7.39e-10	-15	2
SL1344_0226	hlpA	5.04e-11	-15	2
SL1344_0234	SL1344_0234	0.849514042	0.701678428	0
SL1344_0235	ldcC	0.777835187	0.879524594	0
SL1344_0236	yaeR	0.93181157	0.432314424	0
SL1344_0240	yaeQ	0.258370276	1.894681365	0
SL1344_0241	yaeJ	0.663361727	1.112019027	0
SL1344_0242	cutF	0.222700215	2.013087634	0
SL1344_0246	metQ	0.294742561	-1.492340194	0
SL1344_0249	yaeD	1.7e-07	-15	2
SL1344_0250	dkgB	0.704710515	1.255686375	0
SL1344_0251	yafC	0.616403254	1.20871512	0
SL1344_0252	SL1344_0252	0.777426802	0.895327779	0
SL1344_0253	yafD	0.968960871	-0.111441633	0
SL1344_0260	sciA	0.781047969	0.866129042	0
SL1344_0261	sciB	0.716006429	1.028033918	0
SL1344_0262	sciC	1	0.109182927	0
SL1344_0264	sciE	0.365040973	1.669032129	0
SL1344_0265	sciF	2.77e-07	-6.246673077	2
SL1344_0266	sciG	0.549267128	-15	0
SL1344_0268	sciI	0.279605847	-1.506675664	0
SL1344_0270	sciJ	2.07e-10	-15	2
SL1344_0275	sciN	0.821415069	0.776765923	0
SL1344_0276	sciO	0.947995498	0.358199066	0
SL1344_0278	sciQ	3.43e-09	-7.446718067	2
SL1344_0280	sciS	0.008496382	-2.866616011	2
SL1344_0281	sciT	0.988748643	0.183308045	0
SL1344_0283	sciV	0.98426881	-0.069129272	0
SL1344_0284	vgrS	0.060592728	-3.187275372	0
SL1344_0286	SL1344_0286	0.646905909	1.155152164	0
SL1344_0286A	SL1344_0286A	7.56e-05	-4.545657164	2
SL1344_0286B	SL1344_0286B	0.567767992	1.306044977	0
SL1344_0288	sciX	0.897249961	-0.694006207	0
SL1344_0294	SL1344_0294	4.4e-08	-6.472542834	2
SL1344_0295	safA	1.39e-08	-7.405886555	2
SL1344_0296	safB	3.46e-10	-15	2
SL1344_0297	safC	0.976402248	-0.089104963	0
SL1344_0298	safD	0.909533142	0.517336505	0
SL1344_0299	ybeJ	0.229928588	-1.636485504	0
SL1344_0300	sinR	2.33e-09	-8.929454764	2
SL1344_0301	SL1344_0301	5e-11	-15	2
SL1344_0302	pagN	1.62e-09	-15	2
SL1344_0303	sciZ	2.08e-06	-15	2
SL1344_0305	fadE	0.324574676	1.749668891	0
SL1344_0307	yafJ	0.640790372	1.150585145	0
SL1344_0308	yafK	0.758023903	0.917879946	0
SL1344_0309	dbh	8.26e-05	-4.116811188	2
SL1344_0310	SL1344_0310	0.701397377	1.055820391	0
SL1344_0312	pepD	0.632205658	-0.963818971	0
SL1344_0314	frsA	0.000349886	-3.868519766	2
SL1344_0315	crl	0.931788458	0.449272216	0
SL1344_0317	proB	1.12e-07	-6.059740959	2
SL1344_0318	proA	1.53e-07	-6.326414264	2
SL1344_0320	dhaF	0.963423814	0.290208143	0
SL1344_0329	SL1344_0329	0.812780533	-0.619011997	0
SL1344_0331	stbE	0.710327972	-1.146744301	0
SL1344_0332	stbD	0.062566378	-2.219275499	0
SL1344_0333	stbC	0.419394013	-1.257900788	0
SL1344_0335	stbA	3.43e-09	-15	2
SL1344_0336	SL1344_0336	1.19e-09	-15	2
SL1344_0337	SL1344_0337	9.86e-10	-9.121366579	2
SL1344_0338	SL1344_0338	2.7e-10	-15	2
SL1344_0339	SL1344_0339	0.080369728	-2.07829684	0
SL1344_0340	SL1344_0340	0.059881397	-2.265432292	0
SL1344_0343	SL1344_0343	0.810977453	0.809706798	0
SL1344_0344	SL1344_0344	0.488587086	-1.186896554	0
SL1344_0346	SL1344_0346	0.669893288	1.121473224	0
SL1344_0348	SL1344_0348	0.276158464	1.86206254	0
SL1344_0351	SL1344_0351	4.29e-08	-15	2
SL1344_0352	mod	0.00018761	-3.929853403	2
SL1344_0353	res	0.183269943	-1.784624491	0
SL1344_0355	SL1344_0355	0.855465341	0.701376113	0
SL1344_0356	SL1344_0356	1	0.027433047	0
SL1344_0359	foxA	0.85637464	-0.515058398	0
SL1344_0360	yahN	0.055743297	-2.22464372	0
SL1344_0361	yahO	0.97383131	-0.127946636	0
SL1344_0362	prpR	2.85e-06	-5.436604864	2
SL1344_0363	prpB	0.94928444	0.348302025	0
SL1344_0368	yaiU	0.00216027	-3.156395565	2
SL1344_0369	yaiV	1.61e-05	-4.70386433	2
SL1344_0370	ampH	0.788193199	-0.703218412	0
SL1344_0371	sbmA	1	0.121551526	0
SL1344_0375	ddlA	0.828388482	0.763350234	0
SL1344_0377	SL1344_0377	0.968553803	0.261290352	0
SL1344_0379	psiF	0.82453028	-0.584849247	0
SL1344_0380	adrA	0.394539814	1.613510976	0
SL1344_0383	aroL	0.562800274	1.317170651	0
SL1344_0385	aroM	0.773651494	-0.720661914	0
SL1344_0387	rdgC	0.179158603	-1.719709945	0
SL1344_0390	sbcC	0.698384898	1.048632779	0
