Locus Tag	Name	EEP	MEP	LEP	ESP	LSP
SL1344_1111	flgB	474	464.6	365.4	265.3	0.7
SL1344_1112	flgC	263.7	276.3	219.4	228.4	0.8
SL1344_1113	flgD	198	218	181.1	120.8	0.4
SL1344_1114	flgE	170.9	215.6	164.3	134.1	1
SL1344_1115	flgF	238.8	334.2	250.6	184.2	0.4
SL1344_1116	flgG	222.4	286.4	230	159.2	1
SL1344_1117	flgH	199.1	213	149.3	111.6	0.6
SL1344_1118	flgI	143.7	128.1	95.1	72.6	0.4
SL1344_1119	flgJ	105.4	106.9	71.5	65.5	0.3
SL1344_1120	flgK	225.3	250	240.7	311.6	3.7
SL1344_1121	flgL	199.2	244.3	229	291.9	3.1
STnc840		468.8	572.7	839.1	1471.8	451.3
SL1344_1122	rne	125.6	101.1	89.3	50	0.9
SL1344_1123	rluC	170.9	133.8	84	20.9	3.3
SL1344_1124		33.9	19	19.4	14.3	1.1
SL1344_1125		39.4	28.3	19.9	14.9	3.1
SL1344_1126	maf-a	14.9	17.1	19.3	17.9	1.9
SraB	SraB	805.9	733.8	656.8	336.1	36.1
SL1344_1127	yceD	4963.4	3273.9	1758.7	523.6	7.8
SL1344_1128	rpl32	6256.3	3970.7	2167.7	724.8	10.6
SL1344_1129	plsX	539.9	390.6	260	95.4	2.5
SL1344_1130	fabH	413.1	220.5	149.1	57.5	2.4
SL1344_1131	fabD	406.1	276.9	185.5	64.8	2.4
SL1344_1132	fabG	1346.2	1043.3	614.4	267.7	37.4
SL1344_1133	acpP	8193.8	7637.1	5208.6	3391	470.8
SL1344_1134	fabF	658.3	698.4	392.4	139.9	4.2
SL1344_1135	pabC	86.6	48.7	37.7	21.6	2.2
SL1344_1136	yceG	53.8	38.9	31.8	21.6	2.5
SL1344_1137	tmk	62.6	49.4	35.2	26.4	1.1
SL1344_1138	holB	66.6	46	34.7	22	0.5
SL1344_1139	ycfH	64.7	43.1	41.2	48.2	73.5
SL1344_1140	ptsG	288.6	88.7	211.1	170.8	11.9
SL1344_1141	fhuE	5	3.8	1.3	1.4	2.5
SL1344_1142	ycfF	82.7	102.4	120.8	87.6	18.2
SL1344_1143	ycfL	84.3	113.3	102	81.3	8.5
SL1344_1144	ycfM	41.6	54.4	49.6	41.8	4.8
SL1344_1145	thiK	30.6	40.2	32.9	23.9	9.8
SL1344_1146	nagZ	24.9	39.7	42.8	48.7	6.4
SL1344_1147	ycfP	49.5	71.1	71.1	101.8	9.9
SL1344_1148	ndh	116.7	181.6	14.2	18	9.3
SL1344_1149	ycfJ	16.1	14.1	29.3	19.7	26.7
STnc850		90.5	97.4	198.9	477.3	3638.6
STnc1090		38.8	50.1	42.2	32.8	13.9
SL1344_1150	ycfQ	58.6	88.6	77.1	52.3	23.9
SL1344_1151	ycfR	98.3	47	13.2	7.9	18.1
SL1344_1152	ycfS	9.6	7.2	18.2	16.7	19.3
SL1344_1153	mfd	26.9	29.5	25	19.3	6.2
STnc3410		106.2	303.4	272.4	286.1	107.6
SL1344_1154	ycfU	67.7	62.5	49.6	27.6	1.7
SL1344_1155	lolD	69.2	55.5	44	22.4	0.9
SL1344_1156	ycfW	65	56.2	41.4	23.2	0.8
SL1344_1157	ycfX	82.4	77.5	66.1	37	1.9
SL1344_1158	cobB	80.8	111.1	88.2	78	4.8
SL1344_1159	potD	104.2	81.9	64.7	31	1.8
SL1344_1160	potC	105	72.5	57.3	25.8	3.3
SL1344_1161	sifA	13.6	11.3	7.2	14.9	130.5
SL1344_1162	potB	93.7	47.9	29.5	10.4	0.8
SL1344_1163	potA	105.6	54.2	39.1	15.7	1.9
SL1344_1164	pepT	6.8	8.9	15.5	47.2	3.5
SL1344_1165		11.9	10.1	9	10.3	4.2
SL1344_1166		0	0	0	0	0
SL1344_1167	ycfD	63.7	66.7	50	42.6	8.7
SL1344_1168	phoQ	112.2	133.1	132.4	167.7	9.1
SL1344_1169	phoP	191.9	205.2	262.4	275	25.4
SL1344_1170	purB	55.9	70.5	35.6	21.2	0.8
SL1344_1171	ycfC	87.5	96	67	34.2	0.9
SL1344_1172	mnmA	189.9	148.3	112.6	61	3.7
SL1344_1173	ymfB	18.2	16.8	14.8	11.1	1.9
SL1344_1174		27.3	21.6	16	15.7	2.6
SL1344_1175	rluB	40.1	40.4	33.2	21.6	30.9
SL1344_1176	icdA	123.1	289.9	548.5	324.9	44.9
STnc150		35	29.2	42.2	42.5	67.7
SL1344_1177		16	14	90.8	195.5	35.7
SL1344_1179	envF	7	1.7	6.3	5.3	2.3
IsrC	IsrC	3.7	2.1	7.1	8.4	4.8
SL1344_1180	msgA	194.8	215.9	160.5	112	17.3
SL1344_1181	envE	54.4	23	50.6	58.3	1.8
SL1344_1182	cspH	104	58.6	47.6	9.2	1.6
SL1344_1183	pagD	0	1	7.8	21.1	3.1
SL1344_1184	pagC	12	15.6	142.5	956.2	45.5
STnc3420		6.9	6.2	25.7	18.7	30.5
STnc520		273.2	537	1700.6	4921.7	81.5
SL1344_1185	pliC	92.1	76.1	223.1	444.2	11.5
SL1344_1186		10.1	4.8	12.9	15.8	5.4
SL1344_1187		54.8	108.4	56.1	123.3	39.8
STnc1760		59	48.2	55	66.8	157
STnc1210		227.9	400.8	216.6	702	668.9
SL1344_1188		8.3	10.4	13.6	13.9	12.8
SL1344_1189		10.4	19.2	33.4	20	3.8
STnc1990		104.9	109.5	175.4	91.9	78.2
SL1344_1190		64.5	40.5	18.9	10.1	2.6
STnc3430		111.8	97.9	80.1	83	44.5
SL1344_1191		6	6.6	12.1	21.8	1.1
SL1344_1192		4.1	4.6	6.4	8.9	0.4
SL1344_1193		6.8	7.7	7.9	11.6	0.8
SL1344_1194		5	5	6.1	6	0.4
SL1344_1195		3.1	2.3	5.3	6	0.3
SL1344_1196		6.7	6.3	15.1	13.6	14.8
SL1344_1197		22.9	14.3	53.7	49.1	45.1
IsrD	IsrD	0	0	0	0.5	0
SL1344_1198		35.4	28.3	20.3	16.8	16.7
STnc3440		19.3	20.5	103.1	89.3	158.5
SL1344_1199	aadA	12.6	13	17.3	16.7	4.7
SL1344_1200		2.8	2	12.6	11.4	11.5
SL1344_1201		47.3	41.2	41.1	15.8	4.8
SL1344_1202		60.7	112.3	691	419.6	56.9
SL1344_1203		6.1	6.9	11.7	25.9	64.6
SL1344_1204	aroQ	22.1	48.7	76.1	60.1	1.5
SL1344_1205	yeaS	118.8	110.4	79.4	46.3	7.7
SL1344_1206	yeaR	17.3	18.7	20.5	19.3	1.7
SL1344_1207	yoaG	26.7	25.1	29.8	29.7	7.6
SL1344_1208		7.9	5.4	7.1	4.9	7.3
SL1344_1209		14.8	21	121.7	259.3	40.4
RyhB-2	RyhB-2	160.7	108.5	22.2	32.1	9143.6
SL1344_1210	yeaQ	31.3	30.6	176.7	326.4	50.5
SL1344_1211	yaoF	15.2	15	24.8	57.9	4.3
SL1344_1212		97.9	78.6	67.8	73.7	29
SL1344_1213	yeaO	46.1	45.9	32.2	26.7	6.9
SL1344_1214	yeaN	7.1	5.4	4.4	1.9	0.5
SL1344_1215	yeaM	12.7	11.4	12.5	8	7.9
SL1344_1216	yeaL	8.2	11.3	14.6	10.4	0.6
SL1344_1217	yeaK	9.4	8.5	20.3	18.6	1.3
SL1344_1218	yeaJ	10.2	12	33.7	26.7	2.6
STnc1480		11.2	12.7	67.2	237.9	30.1
SL1344_1219	yeaH	10.4	16.2	35.3	85.8	37.4
SL1344_1220	yeaG	5.4	8.8	32.9	85.8	66.5
SL1344_1221	mipA	169.9	238.4	333.1	319.3	13.9
SL1344_1222		5.9	2.5	4.6	3.1	1.3
SL1344_1223		9.3	12.5	16.3	14.8	2.1
SL1344_1224	yeaD	27.3	28.6	12.3	9.6	3.7
SL1344_1224A		39.5	61.3	21	19.9	0.8
SL1344_1225	gapA	1047.3	1049.1	307.2	348.2	37.8
SL1344_1226	yeaA	157.6	177	350.8	292.6	22.9
SL1344_1227	yeaC	168.6	229.4	325.1	239.5	19.1
SL1344_1228	nam	44.6	40.2	26	13.9	1.5
SL1344_1229	ansA	32.6	32.9	24.3	16.1	5.5
SL1344_1230	sppA	34.6	35	27.4	17.1	1.4
SL1344_1231	ydjA	43.2	40.1	32.5	31.4	18.3
SL1344_1232	selD	64.1	74.7	55.2	34.7	2.5
SL1344_1233	topB	56.1	66.1	42.5	31.2	1.3
SL1344_1234	gdhA	18.2	17.4	15	16.3	1.9
SL1344_1235		130.1	168.4	182.7	313.3	49.2
SL1344_1236		10.3	9.9	8.4	4.5	0.3
SL1344_1237	xthA	32.7	39.4	28.9	24.1	10.6
SL1344_1238	argDa	1.5	1.6	38.7	15.8	44.8
SL1344_1239	astA	1.2	1.3	50.1	13.8	40.5
SL1344_1240	astD	0.9	1.8	40.7	12.8	45.9
SL1344_1241	astB	1.6	2.8	37.7	17	32
SL1344_1242	astE	2	2.3	25.7	9.6	11.8
SL1344_1243		7.9	9.9	40.7	44.5	22.4
STnc1640		29.5	113.7	399	932.5	939.1
SL1344_1244		15.8	17.5	19.4	13.1	4.4
SL1344_1245	nadE	37.1	50.5	38.3	42	13.5
SL1344_1246	osmE	75	122.4	385.3	1085.6	186.5
SL1344_1247	celA	39	25.8	76	63.8	5.9
SL1344_1248	celB	9.3	7.1	36	27.7	3
SL1344_1249	celC	15.4	11.6	25.8	30.3	3.4
SL1344_1250	celD	8.6	7.3	19.3	22.3	3.6
SL1344_1251	celF	4.5	4.3	12.2	11.8	46.4
SL1344_1252	celG	8.7	13.5	25.7	19.8	3.6
STnc2010		16.7	28.9	62.5	98.7	54.3
SL1344_1253	katE	1.8	4.9	32.2	53.1	23.9
SL1344_1254	cedA	57.2	53	42.1	25.7	18.6
SL1344_1255	ydjN	32.9	21.5	10.7	12.6	2.7
SL1344_1256	ydjM	7.9	6.6	3.7	1.4	1.1
STnc3570		271.7	248.7	207.3	162.7	17.9
SL1344_1257	yniC	24.7	32.7	28.3	22.1	4.2
SL1344_1258	yniB	31.6	36.9	45.2	43.6	19.1
SL1344_1259		7.1	10.2	23.9	42.9	11.8
SL1344_1260	ydiZ	7.9	10.8	16.1	28.5	6.4
SL1344_1261	pfkB	12	23.1	32.3	37.3	10.6
SL1344_1262	ydiY	101	65.8	34.8	6.2	1.8
STnc3460		135.2	115.2	83.1	57.3	65
SL1344_1263		4.6	9.6	180.1	313.1	1.4
STnc4210		14.6	30	744.2	3000.5	1924.7
SL1344_1264		7.8	6.5	40.6	107.6	9.5
SL1344_1265		14.5	15.6	29	47.3	24
SL1344_1330A		11.1	8.3	10.8	8	0.9
SL1344_1266		72.1	77.1	70	38.3	4.1
SL1344_1267		422.3	373	254.4	159.7	11.3
SL1344_1268		9494.7	6585.8	3875.1	1680.2	116.7
SL1344_1269		10181.2	5923.4	3621.7	1113.6	12.9
SL1344_1270		7654.9	5106.7	3046.1	1074.6	21.2
SL1344_1271		124.8	96.4	75.2	37	1.2
SL1344_1272		210.3	162.5	151.7	118.5	15.8
SL1344_1273		977.3	919.5	962.2	1069.6	348.5
STnc540		286	350	405.7	894.6	358
SL1344_1274		32.1	32.1	22	12.3	0.9
SL1344_1275		24.6	26.9	25.8	21.1	17
SL1344_1276		14.7	14.6	14.8	11.3	2.1
SL1344_1277		34.8	31.7	31.9	29.6	6.4
SL1344_1278		15.8	13.7	21.4	24.7	60.3
SL1344_1279		30.6	33.5	19.9	14	9.3
SL1344_1280	ydiE	378.7	218.1	9.7	3.3	212.6
SL1344_1281	aroH	26	38.4	25.9	18.7	2.5
SL1344_1282	ydiA	12.5	26.3	24.9	21.4	8.5
SL1344_1283	pps	11.7	213.5	285.6	143	8.8
SL1344_1284	ydiD	2.8	2.5	3	2.9	1.5
SL1344_1285	ydiT	2.1	1.2	4.3	1.2	0.3
SL1344_1286	ydiS	1.5	0.7	1.3	0.9	0.5
SL1344_1287	ydiR	7	5.8	8.3	5.1	0.9
SL1344_1288	ydiQ	0	0.1	0.6	0.3	0
SL1344_1289	ydiP	3.1	1.6	2	1.2	0.6
SL1344_1290	ydiO	14.5	8.2	15.7	12.2	4.8
SL1344_1291	ydiF	1.4	1	0.9	1	1.7
SL1344_1292	aroD	13.5	14.9	10.5	11.7	2.4
SL1344_1293	aroE	3.3	6.3	5.6	6.7	2.7
SL1344_1294	ydiN	0.3	0.1	0.5	0.1	0.4
SL1344_1296	ydiM	0.6	0.7	1.2	1.5	1.2
SL1344_1297	ydiL	0.8	1.5	2.2	3.6	0.9
RprA	RprA	264.9	724.3	1340.5	3547.2	25379.1
SL1344_1298	ydiK	23.5	17.9	17.9	16.1	5.4
SL1344_1299	ydiJ	12.4	20.8	20.2	21.8	0.8
SL1344_1300		14.9	23.5	19.9	23.8	0.8
SL1344_1301	ydiH	115.6	108.1	138.8	213.1	19.4
RydB	RydB	126.8	177.9	262.5	519.8	147
SL1344_1302		4.6	5.5	11.9	8.4	1.9
SL1344_1303	sufA	37.7	31.4	6.3	8.3	58.3
SL1344_1304	sufB	23.5	27.6	5.9	8	9.1
SL1344_1305	sufC	20.9	20.4	5.1	11	11.2
SL1344_1306	sufD	23.9	26.7	6.4	10.6	9.1
SL1344_1307	sufS	16.1	15.9	7.3	6.6	5.9
SL1344_1308	ynhA	24.9	16.1	5.4	6.9	6.7
SL1344_1309	ynhG	17.1	16.1	15	24.4	34.5
SL1344_1310	lppB	38.8	33.4	28.4	23.8	16
SL1344_1311	lpp	27953.9	34683.7	36051	24552.6	1647.6
SL1344_1312	pykF	187.7	86.4	33	41	6.2
SL1344_1313	orf48	3.2	2.3	4.1	3.7	0.8
SL1344_1314	orf32	1.7	1.1	3.8	3	0.5
SL1344_1315	orf245	0.8	0.6	6.7	10.5	1.4
SL1344_1316	orf408	0.2	0.2	3.7	6.3	3.6
SL1344_1317	ttrA	1	1.8	1.5	1.4	0.6
SL1344_1318	ttrC	0.4	0.4	1	0.9	0.2
SL1344_1319	ttrB	0	0.4	0.8	1	0.3
SL1344_1320	ttrS	8.5	15.5	28.3	29.9	1.3
SL1344_1321	ttrR	6	15.4	16.8	19.3	2.2
SL1344_1322	orf70	104.7	79.5	85.6	62.8	6.2
SL1344_1323	orf319	13.8	20.1	40.4	51.9	30.9
SL1344_1324	orf242	15.1	17.6	16.2	19.4	3
SL1344_1325	ssrB	6	5.3	21.2	97	6
SL1344_1326	spiR	3.8	3.1	10.5	38.3	4.1
SL1344_1327	ssaB	0.8	1.2	0.7	10.2	2.1
SL1344_1328	ssaC	1.6	0.6	1.7	8.7	4.2
SL1344_1329	ssaD	2.8	1.3	3.5	10.2	3.9
SL1344_1330	ssaE	7.5	4.2	5.6	108.4	23.3
SL1344_1331	sseA	7.4	4.1	9.4	79.7	40.5
SL1344_1332	sseBa	7.2	6.7	8.1	59.4	58.6
SL1344_1333	sscA	6.1	5.8	4.7	36.1	14.2
SL1344_1334	sseC	7.2	7.2	8.1	35.7	4.9
SL1344_1335	sseD	4.9	5.6	6.1	21.1	2.5
SL1344_1336	sseE	3.3	2.6	6.1	15.9	3
SL1344_1337	sscB	6.7	6	8.5	17.7	12.9
SL1344_1338	sseF	3.5	2.7	3.1	6.1	1.7
SL1344_1339	sseG	7.7	5.6	6.1	7.9	1.7
SL1344_1340	ssaG	6.4	4.1	9.5	88.7	11.6
SL1344_1341	ssaH	4.7	1.8	2.6	60	6.6
SL1344_1342	ssaI	4.3	0.3	1.6	37.2	2.2
SL1344_1343	ssaJ	3.3	1.4	1.8	40.1	2.4
SL1344_1344		5.6	3.2	4.3	26.6	3.6
SL1344_1345	ssaK	1.6	1.6	1.9	25.3	1.8
STnc1220		2.1	1.9	12	31.1	253.4
SL1344_1346	ssaL	11	6.5	7.5	20	5.5
SL1344_1347	ssaM	7.9	1.9	3.7	19.2	4
SL1344_1348	ssaV	2.8	2.1	3.2	9.8	0.9
SL1344_1349	ssaN	7.6	6.5	6	13.1	0.7
SL1344_1350	ssaO	6.1	9.6	6.5	13.7	2.2
SL1344_1351	ssaP	10.6	8.8	8.6	13.2	4.1
SL1344_1352	ssaQ	7.4	11.2	11.6	14.5	11.9
SL1344_1353	ssaR	8	4.8	6.3	21.9	3.3
SL1344_1354	ssaS	2.3	1.8	3.3	7	0.2
SL1344_1355	ssaT	3.9	4	3.3	9.3	2.5
SL1344_1356	ssaU	4.5	3.2	2.6	7.7	8.6
SL1344_1357	norM	34.5	17.4	40.1	31.7	19.4
SL1344_1358	ribE	78.8	93.4	63	48.5	5
SL1344_1359	cfa	53.2	60.1	62.8	97.7	58.1
SL1344_1360	ydhC	40.7	6.6	6.7	3.6	2.3
SL1344_1361	ydhB	10.2	8.4	7.3	7.7	1.9
SL1344_1362	purR	69.2	54.7	42.4	29.5	1
STnc4220		540.3	712	592.4	578.2	92.2
SL1344_1362A	ynhF	1242.5	1046.3	1626.7	2206.3	214.6
SL1344_1363	sodB	260.1	237.5	347.4	715.3	7.9
SL1344_1364	ydhO	47.2	54.3	46.3	23.7	6.6
SL1344_1365	ydhD	974.1	809.6	637.4	344.8	90.5
SL1344_1366	rnt	136.7	85.1	64	32.7	2.9
SL1344_1367	gloA	95.9	118.4	95.4	102.1	39.3
SL1344_1368	nemA	19.1	18.1	15	11	0.4
SL1344_1369	ydhM	26.5	23.3	20.3	17.2	9.3
SL1344_1370	ydhL	17.2	15.7	28.9	39	125.5
SL1344_1371	ydhF	38.3	47.4	32.4	23.4	10.9
SL1344_1372	sodCb	21.4	30.7	38.9	63.2	54.5
SL1344_1373		13.3	12.3	6	4.4	0.6
SL1344_1374	ydhJ	23	17.1	9.9	6.6	1
SL1344_1375	ydhI	36.7	24.9	15.2	9.2	7
SL1344_1376	slyA	145.5	240.6	330.9	661.4	73.8
SL1344_1377	slyB	493.2	510.2	444.5	397.6	480.8
SL1344_1378	anmK	12	10.6	10.2	9.2	1.1
SL1344_1379	mliC	35.2	45.9	45.8	42.4	5
SL1344_1380	pdxH	62.3	69.6	59.1	33.4	2.3
SL1344_1381	tyrS	175.4	147.8	111.5	72.9	3.5
SL1344_1382	pdxY	40.5	61.4	32.5	17.4	0.4
SL1344_1383	gst	16.9	32.1	41.7	72.6	22.4
SL1344_1384	tppB	108.1	104	122.1	54.2	2.2
SL1344_1385	nth	82.4	48.1	42.8	24.7	16.7
SL1344_1386	rnfE	104.5	47.3	45.3	10.9	2.3
SL1344_1387	rnfG	77.5	37.9	32.8	8.2	1.8
SL1344_1388	rnfD	81.5	27.8	29.1	4.3	0.4
SL1344_1389	rnfC	120	47.6	39.7	12.1	0.2
SL1344_1390	rnfB	166	75.2	65.4	31.6	1.2
SL1344_1391	rnfA	200.3	75.1	82.5	22	2
SL1344_1392	ydgK	205.1	116.2	82.1	39.2	6.7
SL1344_1393	ydgT	237.4	149.2	108.1	67	16
SL1344_1393A	blr	269.2	259.5	239.2	57.9	2.4
SL1344_1394	ydgJ	32.9	35.2	31.2	31.1	2.8
SL1344_1395	add	39.5	68	39	25.1	4.2
STnc3500		8	9.5	16.1	22.9	49.5
SL1344_1396	ydgA	48.9	51.8	49.4	37.5	18.8
SL1344_1397	manA	32.1	39.5	24.9	24.5	2.9
SL1344_1398	fumA	26.1	74	170.1	87.8	4.9
SL1344_1400	fumC	15.5	24.5	70.7	56.4	6.3
SL1344_1401	tus	10	9.7	10.1	7.5	11.3
SL1344_1402	rstB	6.7	6.4	4.9	4.2	0.8
SL1344_1403		1	0.6	1	0.8	1.9
SL1344_1404	ompN	3	1.7	3.4	3.1	2.1
STnc3510		30.6	45.9	113.7	73.6	49.1
SL1344_1405	rstA	169.3	166.6	178.3	115.5	27.6
SL1344_1406	ydgC	24.1	19.6	23.5	15.5	3.6
SL1344_1407	ydgI	99.5	17.2	18.6	5.6	5.4
SL1344_1408	ydgH	107.8	132.6	113.3	95.9	14.5
SL1344_1409	pntA	85.7	61.9	42.6	48.2	2.5
SL1344_1410	pntB	98.1	71.5	44.9	48.4	3.6
SL1344_1411	tqsA	13.3	6.4	9.9	8.8	3.4
SL1344_1412	ydgF	42.9	33.4	47.8	27	2.4
SL1344_1413	ydgE	22.7	16.4	21.9	17.6	0.4
SL1344_1414		6.9	8.9	17	33.5	19
SL1344_1414A	ydgU	0	0	0	1.1	1.2
SL1344_1415	asr	7	8.2	4.8	6.7	4.9
STnc3480		65	79.3	66.1	34.5	5.4
SL1344_1416	ynfM	7.2	5.9	7.2	8	3.4
SL1344_1417	ynfL	6.8	5	7.2	7.2	0.7
SL1344_1418	mlc	46.8	21.3	40.8	44.1	3.6
SL1344_1419	bioDb	23	10.8	16.4	68.5	3.7
SL1344_1420	clcB	9	6.6	6.4	4.8	1.3
SL1344_1421		2.4	4.3	8.7	9.3	2.9
SL1344_1422		1.2	2.6	4.2	4	2.2
SL1344_1423		0.8	1.4	4.4	2.9	1
SL1344_1424		0.9	1.1	4.8	5.4	15.9
SL1344_1425	ynfI	28.1	24.3	20	20.3	2.9
SL1344_1426		23.3	14	12.5	14.3	1.6
SL1344_1427		0.7	0.6	0.3	1.9	0.1
SL1344_1428	dmsA2	1.1	1	1.2	4.3	0.3
SL1344_1429	dmsA1	2.6	1.6	2.2	8.1	0.8
SL1344_1430	ynfD	33.6	31.3	36.3	40.4	56.7
SL1344_1431	ynfC	19.1	22.9	29.7	29.5	54.6
SL1344_1432	speG	117.6	183.4	140.8	84.4	4.3
SL1344_1433	ynfB	109.4	144.1	116.1	72.4	10.9
SL1344_1434	ynfA	6.1	6.3	11.9	6.9	0.7
SL1344_1435	rspA	2.3	2.8	7.1	5.1	0.3
SL1344_1436	rspB	1.3	4.7	7.8	6	1.3
SL1344_1437	ydfJ	1.8	3.5	10	8.7	3.1
SL1344_1438	ydfI	4.5	7.5	7	7.4	1.8
SL1344_1439	ydfZ	33.7	17.5	20.6	151.9	1.8
SL1344_1440	ydfH	30.9	32.3	25	17.9	3.2
SL1344_1441	ydfG	42.1	62.4	67.8	65.2	59.3
SL1344_1442	dcp	11.7	12.5	10.6	10.5	1.9
SL1344_1443		10.9	6.4	72	182.3	1998
SL1344_1444	ydeJ	2.6	2.3	7.8	21.9	27.1
SL1344_1445	ydeI	3.1	4.2	20.1	59.1	32.6
MgrR	MgrR	6431.5	5168.5	7276.9	7871.3	5785.2
SL1344_1446	ydeE	4.9	5.3	6.6	5.4	2.5
SL1344_1447	ydeD	8.1	10.5	12.5	7.6	0.9
SL1344_1448	marB	23.3	18.1	3.6	2.5	0.7
STnc2170		93	77.5	41	37.1	27
SL1344_1449	marA	32.1	19.9	9.3	4.9	0.3
SL1344_1450	marR	40.7	21.4	9.4	4.9	2.9
SL1344_1451	marC	31.2	27.6	33.7	37.5	17.8
SL1344_1452	sotB	18.2	12.3	6.5	3.3	0.9
SL1344_1453	yneJ	6.8	6	4.2	4.1	1.8
SL1344_1454	yneI	2.7	5.2	4.8	4.1	0.7
SL1344_1455	yneH	37.2	26.8	17.5	7.7	0.8
SL1344_1456	yneG	12.7	13.7	10	8.5	3.4
SL1344_1457		105.3	74.9	16.3	8.2	2.3
SL1344_1458		3.1	3.5	3.1	4.3	2.6
SL1344_1459		9.2	6.3	6.7	3.8	2.3
STnc3530		59.5	62.6	75.4	39.2	7.3
SL1344_1460	hypA	3.6	4.4	5.4	6.2	0.5
SL1344_1461		2.2	3.6	7.1	10.6	1.5
SL1344_1462	hyaF2	4.5	6.5	12.1	24.6	3.3
SL1344_1463	hyaE2	6.7	4.7	12.8	24.4	0.8
SL1344_1464		4.6	5.7	7.5	24.1	0.5
SL1344_1465	hyaD2	8.8	8.8	20.3	34.6	1
SL1344_1466	hyaC2	5.7	4.5	16.5	33.1	1.9
SL1344_1467	hyaB2	2.5	2.7	9.3	11.1	1.2
SL1344_1468	hyaA2	3.6	3.2	10.7	12.3	1.1
SL1344_1469		5.7	6.5	8.1	7.3	5.5
SL1344_1470		50	66.1	35.1	46.2	4.3
SL1344_1471		2.7	7.3	10.8	10.1	2.4
SL1344_1472		1.7	3.9	5.7	5.5	2.5
SL1344_1473	pqaA	1	1.3	3.6	7.7	6.1
SL1344_1474		2.8	3	2.7	1.8	2.1
SL1344_1475		2.1	1.8	2	0.9	0.4
SL1344_1476		31.9	35.5	24.5	28.4	56.1
SL1344_1477		13	11.7	19	36.6	3.9
SL1344_1478		17.6	17.9	13.8	11.9	2.8
SL1344_1479		57.9	37.8	37	36.2	41.2
SL1344_1480		76.1	67.7	72.9	63.7	56.5
SL1344_1481		6	4.5	5	6.7	6.1
SL1344_1482		7.7	8.5	9.2	9.2	3.5
SL1344_1483		1.6	0.7	1.3	0.5	0.3
IsrF	IsrF	12.6	25.5	23.2	18.8	2.1
SL1344_1484		18.5	44.1	36.7	24.2	0.9
SL1344_1485		6.7	6.4	6.8	7.6	1.5
SL1344_1486		4.6	3	3.6	3	0.8
SL1344_1487		5.1	4.7	4	4.2	1.6
SL1344_1488		3.1	4.4	12	15.1	5.5
SL1344_1489		1.1	1.7	7.1	8.7	3.6
SL1344_1490		1.4	2	6.8	9.9	2.2
SL1344_1491		1	1.2	6.7	7.7	6
SL1344_1492	hdeB	14.4	14.7	47.6	63.5	9.4
SL1344_1493	osmC	5.3	5.4	38.2	104.8	79.7
SL1344_1494	yddX	11.3	15.5	20.8	36.6	98
SL1344_1495	rpsV	35	92.8	392.2	913.9	424.1
SL1344_1496	sfcA	25.5	38.5	46.8	26.5	2.9
SL1344_1497	adhP	10.5	13.6	25.2	28.7	6.3
SL1344_1498	fdnI	15	7.5	12	23.5	0.3
STnc3540		87.1	95.8	166.2	203	14.1
SL1344_1499	fdnH	9.5	8.5	12	21.6	0.5
SL1344_1500	fdnG	13.6	9.8	17.2	46.8	0.7
SL1344_1502	yddG	5.6	3.6	5	5.2	0.6
SL1344_1503	ompD	2053.4	3259.2	803	1666.9	28.5
SL1344_1504		50.2	39.8	23.2	19.3	2
SL1344_1505	smvA	14.6	8.6	8.7	7.1	2.9
SL1344_1506		109.2	90	79.5	57.3	26.4
SL1344_1507	narU	1.3	1	4.4	3.7	1
SL1344_1508	narZ	1.8	1.4	4.8	3.7	0.8
SL1344_1509	narY	1.6	1.7	4.2	4.3	0.4
SL1344_1510	narW	0.9	0.8	4.1	4.7	0.8
SL1344_1511	narV	2.2	2.6	7	7.5	2.7
SL1344_1512	yddE	7	5.1	6.7	6.8	1.1
SL1344_1513	nhoA	10.1	11.2	12.3	11.8	0.5
SL1344_1514	steA	84.9	108.6	152.4	209.6	33.3
SL1344_1515	ansP	83.1	24.7	19.7	5	0.6
SL1344_1516		19.3	10.8	5.7	5.4	1.7
SL1344_1517		68.6	52.5	10.2	7.2	14.5
SL1344_1518	yncD	3.2	3.7	10.2	8.1	2.4
SL1344_1519	yncC	16.5	5.1	12.3	17.3	19.1
SL1344_1520	yncB	18.2	18.8	42	45.9	47.8
SL1344_1521	yncA	11	12.5	15.1	17.4	1.5
SL1344_1522	ydcZ	12.9	18.7	15.8	18.9	1.1
SL1344_1523	ydcY	52.9	54.8	37.9	33.3	13.8
SL1344_1524	srfA	116.1	104.8	68.9	52.9	0.4
SL1344_1525	srfB	64.6	62.9	37.7	23.2	1.2
SL1344_1526	srfC	50.1	52.8	34.4	23.6	1.2
SL1344_1527	ydcX	69.4	30.1	31.8	12.2	6.9
STnc1110		199.2	216.6	371	647.3	909.3
SL1344_1528	ydcW	11.1	14.6	18.8	28.7	23.5
SL1344_1529	ydcR	13	18.3	17.5	19.2	1.1
SL1344_1530	pdgL	10.9	9.6	14.8	21.5	4
SL1344_1530A		6.6	4.2	22	148.1	69.5
SL1344_1531	ugtL	12.3	7.6	63.1	282.2	93.8
SL1344_1532	sifB	7.9	1.9	2.5	17	6.3
SL1344_1533	yncJ	6.6	4.2	8	17.4	17.2
SL1344_1534	ydcP	47.7	42	35.9	14.3	1.2
SL1344_1535	ydcN	42.4	35.2	21.6	11.6	1.3
