Locus Tag	Name	FDR	logFC	Fitness
SL1344_0178	stiA	1.6e-14	-4.150879941	2
SL1344_0180	yadE	9.28e-06	-2.460905727	2
SL1344_0182	panC	0.130311586	1.205598048	0
SL1344_0183	panB	0.094021633	1.251075564	0
SL1344_0184	folK	3.42e-14	-4.817020545	2
SL1344_0185	pcnB	0.044651746	-1.047072956	2
SL1344_0186	yadB	0.32262377	0.766340407	0
SL1344_0187	dksA	9.67e-07	-15	2
SL1344_0188	sfsA	9.78e-23	-6.048538686	2
SL1344_0190	hrpB	1.28e-10	-4.264814994	2
SL1344_0191	mrcB	8.44e-18	-5.089576192	2
SL1344_0192	fhuA	0.402475993	0.744598952	0
SL1344_0193	fhuC	0.022456603	1.669182951	1
SL1344_0197	stfC	9.16e-22	-4.12186076	2
SL1344_0198	stfD	0.162915659	-1.044113175	0
SL1344_0202	SL1344_0202	0.768296734	-0.205681711	0
SL1344_0204	clcA	4.48e-06	-2.286473875	2
SL1344_0206	yadS	0.002460939	2.518422656	1
SL1344_0208	mtn	1.26e-26	-15	2
SL1344_0209	dgt	2.22e-34	-15	2
SL1344_0210	htrA	8.86e-34	-15	2
SL1344_0211	cdaR	0.911339382	-0.095248458	0
SL1344_0212	yaeH	0.762845093	0.256112444	0
SL1344_0213	SL1344_0213	0.010086418	2.065378157	1
SL1344_0224	yaeL	9.27e-29	-15	2
SL1344_0226	hlpA	4.85e-31	-15	2
SL1344_0234	SL1344_0234	0.000402186	2.724258675	1
SL1344_0235	ldcC	0.01143468	1.79959585	1
SL1344_0236	yaeR	0.376443992	0.742506805	0
SL1344_0240	yaeQ	0.077101493	1.353850133	0
SL1344_0241	yaeJ	0.069780701	1.132669176	0
SL1344_0242	cutF	0.185119381	0.995389697	0
SL1344_0246	metQ	0.19605184	-0.755737719	0
SL1344_0249	yaeD	5.45e-23	-15	2
SL1344_0250	dkgB	0.023587747	1.693068871	1
SL1344_0251	yafC	0.007266943	2.006463237	1
SL1344_0252	SL1344_0252	0.312007364	0.717022492	0
SL1344_0253	yafD	0.768430587	-0.203547056	0
SL1344_0260	sciA	0.037248888	1.72208061	1
SL1344_0261	sciB	0.000461597	2.521757893	1
SL1344_0262	sciC	0.168461466	-0.818361963	0
SL1344_0264	sciE	0.527453799	-0.494343596	0
SL1344_0265	sciF	2.22e-34	-15	2
SL1344_0266	sciG	0.082255926	-1.152725181	0
SL1344_0268	sciI	0.111709962	1.082088989	0
SL1344_0270	sciJ	1.54e-70	-15	2
SL1344_0276	sciO	0.013452531	1.849296417	1
SL1344_0278	sciQ	8.84e-72	-15	2
SL1344_0280	sciS	2.74e-16	-4.522576867	2
SL1344_0281	sciT	0.221459646	0.664491146	0
SL1344_0283	sciV	0.004987946	-1.668339241	2
SL1344_0284	vgrS	0.013810999	-15	2
SL1344_0286	SL1344_0286	2.81e-22	-6.26224105	2
SL1344_0286A	SL1344_0286A	1.12e-71	-15	2
SL1344_0286B	SL1344_0286B	0.64531529	0.39269731	0
SL1344_0288	sciX	6.56e-14	-4.196792033	2
SL1344_0294	SL1344_0294	3.58e-34	-15	2
SL1344_0295	safA	8.79e-30	-15	2
SL1344_0296	safB	4.97e-48	-15	2
SL1344_0297	safC	0.305357541	0.748347111	0
SL1344_0298	safD	0.759387769	0.231610832	0
SL1344_0299	ybeJ	0.158755008	-0.835424407	0
SL1344_0300	sinR	8.84e-72	-15	2
SL1344_0301	SL1344_0301	2.22e-34	-15	2
SL1344_0302	pagN	3.2e-36	-15	2
SL1344_0303	sciZ	9.38e-34	-15	2
SL1344_0305	fadE	0.001180968	-1.735484386	2
SL1344_0307	yafJ	0.040478409	1.61915184	1
SL1344_0308	yafK	9.67e-16	-4.40084043	2
SL1344_0309	dbh	8.94e-35	-4.916946409	2
SL1344_0310	SL1344_0310	0.024404257	1.463986558	1
SL1344_0312	pepD	0.005937703	-1.797168485	2
SL1344_0314	frsA	0.255843337	0.774182358	0
SL1344_0315	crl	0.272555743	0.849332355	0
SL1344_0317	proB	5.71e-12	-3.584332383	2
SL1344_0318	proA	1.81e-06	-2.384434614	2
SL1344_0320	dhaF	0.198661705	0.955155885	0
SL1344_0329	SL1344_0329	0.592796516	0.336301813	0
SL1344_0331	stbE	2.69e-17	-4.679852493	2
SL1344_0332	stbD	6.08e-08	-3.942271808	2
SL1344_0333	stbC	4.27e-08	-2.769838504	2
SL1344_0335	stbA	6.87e-34	-15	2
SL1344_0336	SL1344_0336	8.84e-72	-15	2
SL1344_0337	SL1344_0337	2.35e-34	-15	2
SL1344_0338	SL1344_0338	4.98e-34	-15	2
SL1344_0339	SL1344_0339	4.36e-09	-3.018962181	2
SL1344_0340	SL1344_0340	2.11e-59	-8.030146903	2
SL1344_0343	SL1344_0343	0.671015295	-0.33261331	0
SL1344_0344	SL1344_0344	9.63e-10	-3.183732946	2
SL1344_0346	SL1344_0346	0.75509066	-0.188289999	0
SL1344_0348	SL1344_0348	0.012162785	1.945232636	1
SL1344_0351	SL1344_0351	1.03e-16	-15	2
SL1344_0352	mod	3.97e-20	-5.249218139	2
SL1344_0353	res	2.48e-07	-2.589004367	2
SL1344_0355	SL1344_0355	0.001592707	2.069815848	1
SL1344_0356	SL1344_0356	0.576435462	0.277527355	0
SL1344_0359	foxA	5.69e-06	-2.961623462	2
SL1344_0360	yahN	1.79e-25	-6.540307516	2
SL1344_0361	yahO	0.040139795	-1.086573704	2
SL1344_0362	prpR	3.54e-20	-5.33696478	2
SL1344_0368	yaiU	1.06e-18	-5.335140175	2
SL1344_0369	yaiV	2.65e-34	-15	2
SL1344_0370	ampH	0.389127635	-0.617441024	0
SL1344_0371	sbmA	0.459286229	-0.425785009	0
SL1344_0375	ddlA	0.0507004	1.130096276	0
SL1344_0377	SL1344_0377	0.767312305	0.199235327	0
SL1344_0379	psiF	0.146094771	1.109713116	0
SL1344_0383	aroL	0.219274319	0.912496535	0
SL1344_0385	aroM	0.468432234	-0.43975532	0
SL1344_0387	rdgC	0.050437374	1.258202364	0
SL1344_0390	sbcC	0.067860751	-1.010271769	0
SL1344_0391	sbcD	0.410739794	0.454635683	0
SL1344_0392	phoB	0.96187147	0.035641571	0
SL1344_0393	phoR	0.088669803	-1.020662978	0
SL1344_0394	brnQ	3.91e-18	-5.273276573	2
SL1344_0396	malZ	0.001486301	2.441215282	1
