Locus Tag	Name	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_0106	thiQ	24	28.9	4.4	7.9
SL1344_0107	thiP	40.8	39.5	6.9	11.2
SL1344_0108	tbpA	55.8	54.9	7.9	14.4
SroA	SroA	4627.9	1753.8	3561.7	3516.8
SL1344_0109	yabN	3.9	5	3.1	4.5
SgrS	SgrS	359.2	400.3	499.8	756.2
SL1344_0109A	sgrT	0	0	0	0
SL1344_0110	leuD	167.9	24.2	78.8	533.3
SL1344_0111	leuC	89.5	14.7	71.7	358
SL1344_0112	leuB	140.2	24.1	94.2	357.6
SL1344_0113	leuA	53.9	12.3	33.7	105
SL1344_0114	leuL	10411.1	3377.7	7169.6	11625.5
SL1344_0115	leuO	2.4	7	3.3	7.9
SL1344_0116	ilvI	96.4	34.8	32.8	43.9
SL1344_0117	ilvH	132.5	49.9	24	50.2
STnc1500		177.9	105	79.4	82.6
SL1344_0118	fruR	39.3	28.5	10.8	23.2
SL1344_0119	mraZ	209.4	170.2	61.1	165.5
SL1344_0120	mraW	165	133.8	32.4	129.2
SL1344_0121	ftsL	164.1	90.1	42.9	93.7
SL1344_0122	ftsI	225	246.6	91.1	236.6
SL1344_0123	murE	80.9	57.9	10.3	63.3
SL1344_0124	murF	63	49.1	7.8	52.3
SL1344_0125	mraY	78.1	61	11.1	61.4
SL1344_0126	murD	84.1	67.7	19.3	62.3
SL1344_0127	ftsW	63.8	50	10.4	32.7
SL1344_0128	murG	82.5	71.6	15	38.2
SL1344_0129	murC	80.3	56.6	9.7	23.8
SL1344_0130	ddl	135.7	138.8	37.7	67.3
SL1344_0131	ftsQ	115.1	98.3	20.5	56.5
SL1344_0132	ftsA	141.1	114.1	39.2	58.5
SL1344_0133	ftsZ	180.2	117.5	36.8	56.2
SL1344_0134	lpxC	453.6	324.4	163.4	243.8
SL1344_0135	yacA	44.6	40.5	10.6	33.7
SL1344_0136	secA	53.6	27.3	8.4	27.3
SL1344_0137	mutT	28.4	29.8	2.1	8.8
SL1344_0138	yacG	62.5	61.4	9	31.3
SL1344_0139	yacF	34.6	30.3	3.8	20.6
SL1344_0140	coaE	37.9	38.7	9.8	30.1
SL1344_0141	guaC	170.5	88.3	21.7	71.4
SL1344_0142	pilC	0.6	0.5	0.2	0.3
SL1344_0143	pilB	0.4	0.8	0.5	0.5
SL1344_0144	pilA	0	0.3	0	0.3
SL1344_0145	nadC	21.8	10.6	3.2	8.4
SL1344_0146	ampD	32.7	33.3	27.7	25.3
SL1344_0147	ampE	31.4	35.5	24.2	44.4
SL1344_0148		9.5	8.2	3.1	8.5
SL1344_0149		3.8	5.9	1.6	4.9
SL1344_0150	aroP	102.1	49.2	97.8	89.8
SL1344_0151	pdhR	112	133.2	23	108
tp2	tp2	4.4	4.8	2.3	6.4
SL1344_0152	aceE	208.6	115.2	34.7	57.2
SL1344_0153	aceF	240.9	129.6	55.2	63.2
SL1344_0154	lpdA	326.8	175.9	82.3	173.2
SL1344_0155		1.7	0.7	0.6	0.9
SL1344_0156		2.1	1.6	0.3	1.3
SL1344_0157	yacH	3.8	8.6	2.4	4.6
SL1344_0159	acnB	109.1	44.4	53.6	122.7
SL1344_0160		131.2	183.7	48.8	260.5
SL1344_0161	yacL	30.7	46.3	66.8	59.5
SL1344_0162	kdgT	1.3	1.9	2.2	2.8
SL1344_0163		2	2.6	1.9	2.7
SL1344_0164	pdxAb	16.7	15.5	31	27.6
SL1344_0165		41.2	34.5	54.4	58.7
SL1344_0166	speD	105.9	13.5	19.2	5
SL1344_0167	speE	69	14.6	32.1	8.6
SL1344_0168	yacC	104.7	86.1	44.4	111.1
SL1344_0169	cueO	54.9	39.8	42.4	86.7
SL1344_0170	gcd	70.7	81.4	11.6	45.8
SL1344_0171	hpt	103.2	143.2	26.2	65.1
SL1344_0172	yadF	449.6	291.8	65.5	254.8
SL1344_0173	yadG	16.1	15.5	8.1	14.9
SL1344_0174	yadH	16.3	16.4	5.5	12.5
SL1344_0175	stiH	2.9	4.6	2.1	4.1
SL1344_0176	stiC	0.8	1.3	0.2	0.8
SL1344_0177	stiB	1.1	1.2	0	0.5
SL1344_0178	stiA	1.8	2.3	1.8	4.2
SL1344_0179	yadI	5.3	7.5	2.7	5.1
SL1344_0180	yadE	16.7	21.4	2.2	12.1
STnc4190		48.8	51.4	18.3	68
SL1344_0181	panD	294.8	141.2	22.9	84.1
SL1344_0182	panC	36.5	19.9	5.6	7.8
SL1344_0183	panB	30.9	20.9	3.8	5.3
SL1344_0184	folK	32.7	15.4	2.1	6.8
SL1344_0185	pcnB	97.1	41.5	7.3	22.8
SL1344_0186	yadB	20.4	11.1	1.8	7.5
SL1344_0187	dksA	407.1	201.7	47	131.2
SL1344_0188	sfsA	41.5	75.3	19.3	67.7
SL1344_0189	ligT	41.4	43	44.5	56.7
SL1344_0190	hrpB	20.1	22.3	5	13.3
SL1344_0191	mrcB	49.5	43.6	13.7	32.9
STnc3250		8.1	8.5	357.2	32.9
SL1344_0192	fhuA	7.7	9	8.1	10.4
SL1344_0193	fhuC	2.1	2.3	0.7	2.5
SL1344_0194	fhuD	17.7	23.4	5.7	4.6
SL1344_0195	fhuB	5.6	6.2	1.4	3.6
SL1344_0196	stfA	3.4	1.8	0.8	1.7
SL1344_0197	stfC	4.6	5.6	1.4	4
SL1344_0198	stfD	1.7	0.6	0.2	0.3
SL1344_0199	stfE	2.1	0.7	0.2	0.5
SL1344_0200	stfF	1.8	2.2	1.3	2.4
SL1344_0201	stfG	1.5	1.7	1	0.8
SL1344_0202		10.7	20.7	8.5	12.8
STnc1510		87.7	200.1	294.9	344.4
SL1344_0203	hemL	58.8	59	31.7	44.1
SL1344_0204	clcA	36.1	47	12.7	38
SL1344_0205	yadR	361.7	374.8	254.8	410.2
SL1344_0206	yadS	8.8	8.5	2	3.4
SL1344_0207	btuF	15.2	15.4	3.7	8.6
SL1344_0208	mtn	45.6	31.3	13.9	20.1
SL1344_0209	dgt	24.8	26.2	8.8	23.2
SL1344_0210	htrA	43.9	58.7	11.5	23.3
STnc3100		158.6	204	69.1	155.6
SL1344_0211	cdaR	3.4	2.4	1.6	1.7
SL1344_0212	yaeH	238.7	265	135.2	208.7
SL1344_0213		56.7	89.9	20.4	21.4
STnc3110		165.9	323.9	113.9	164.6
SL1344_0214	dapD	667.5	191.5	166.2	234.5
SL1344_0215	glnD	12.3	13.3	5.7	14.9
SL1344_0216	map	82.3	70.5	42.3	63.5
t44	t44	1232.6	473.8	170.5	218.3
SL1344_0217	rpsB	923.9	313.9	215.4	142.8
SL1344_0218	tsf	637.6	190.5	173.8	90.1
SL1344_0219	pyrH	118	61.3	10	22.3
SL1344_0220	frr	424.7	326	151.5	260.5
sRNA1		688.4	330.5	566.9	467.3
SL1344_0221	dxr	32.4	20.4	7.2	17.5
STnc920		449.6	330.4	226.1	203
SL1344_0222	uppS	79.3	55.9	4.9	25.8
SL1344_0223	cdsA	63.4	45.1	16	27.6
SL1344_0224	yaeL	152.5	130	14.4	74.2
SL1344_0225	yaeT	214.3	164.1	66.1	85.8
