Locus Tag	Name	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
STnc3130		188.3	77.6	163.2	266.6
SL1344_0481	adk	127.5	49.6	12	27.2
SL1344_0482	hemH	20.5	32.6	494.5	31.6
SL1344_0483	aes	1.7	2.4	0.2	0.9
SL1344_0484	gsk	25	18.3	5.4	10.3
SL1344_0485	ybaL	33.9	56.5	36.8	48.6
SL1344_0486	fsr	7.1	10.2	4.4	26.2
SL1344_0487	ushA	27.9	35.7	8.8	26
SL1344_0488	ybaK	51.7	36.4	10.2	29.7
ChiX	ChiX	70503.3	120399.4	148408	181474.6
SL1344_0489	ybaP	21.1	17.4	4.5	14.6
SL1344_0490		12	11.5	11.2	32.7
SL1344_0491	copA	145.3	70.7	109.8	313.2
SL1344_0492	cueR	50.5	49.3	34.4	49.7
SL1344_0493	ybbJ	12.3	15.4	17	19.6
SL1344_0494	ybbK	17.3	34.9	43	35.3
SL1344_0495	ybbL	11.5	11.5	8.2	14.1
SL1344_0496	ybbM	13.6	21.2	15.4	23.5
SL1344_0497	ybbN	105.8	50	19	62.1
SL1344_0498	ybbO	27.9	17.8	5.2	24.9
SL1344_0499	tesA	37.8	17.6	3.7	24.6
SL1344_0500	ybbA	9.9	11.7	2.5	7.4
SL1344_0501	ybbP	16	24.5	5.9	18.3
STnc950		60.9	89.7	24.4	108.3
SL1344_0502		9.2	12.5	4.6	10.9
SL1344_0503	sfbA	257.7	69.3	111.9	261.9
SL1344_0504	sfbB	132.5	39.3	37.4	149.6
SL1344_0505	sfbC	186.2	53.6	56	235.8
SL1344_0506	ybbB	13.8	21.9	11.2	15.3
SL1344_0507	ybbS	3.5	2.6	1	1.3
SL1344_0508	allA	20.9	26.3	14.3	8.8
SL1344_0509	allR	53.4	30.2	23.5	34.5
SL1344_0510	gcl	1.7	1.8	0.6	0.7
SL1344_0511	gip	2.9	4.1	2.3	5.4
SL1344_0512	garRa	0.7	1.2	0.3	0.7
SL1344_0513		1.7	2.6	1.5	2.2
SL1344_0515	allP	0.5	0.4	0.6	0.5
SL1344_0516	allB	1.3	1.2	0.6	1.7
SL1344_0517	ybbY	1.3	2.7	0.6	1.5
SL1344_0518	glxK	1.3	1.4	0.9	1.1
STnc480		317.6	700.5	438.9	646.5
SL1344_0519	ylbA	15.4	13.7	3.8	10.2
SL1344_0520	allC	1.1	0.8	0.3	0.5
SL1344_0521	allD	1.2	0.9	0.6	1.5
SL1344_0522	fdrA	0.5	1.2	0.4	0.5
SL1344_0523	ylbE	0.6	0.5	0.2	0.4
SL1344_0524	ylbF	0.6	0.4	0.1	0.5
SL1344_0525	arcC	3.2	2	1.7	3.5
SL1344_0526	purK	98.1	40.7	19.6	10.2
SL1344_0527	purE	137.1	46.4	3.9	4.7
SL1344_0528	lpxH	61.8	38	11.6	26.2
SL1344_0529	ppiB	365	212.6	43.7	141.6
SL1344_0530	cysS	56.8	53.5	23.5	59.7
SL1344_0531		7.5	6.9	2.2	6.2
SL1344_0532		4	4.4	3.1	5.3
SL1344_0533	ybcI	1.9	1.3	0.5	2.1
SL1344_0534	ybcJ	125.2	118.2	70.8	65.5
SL1344_0535	folD	82.5	64	39.8	39.6
SL1344_0536	fimA	11.2	13	17.1	15.6
SL1344_0537	fimI	0.7	0.3	0.2	0.9
SL1344_0538	fimC	0.3	0.5	0.4	1.2
SL1344_0539	fimD	1.3	1.4	0.5	1.5
SL1344_0540	fimH	3.4	5.7	3.3	5.2
SL1344_0541	fimF	4.9	12.3	2.4	11.3
SL1344_0542	fimZ	3.6	5.2	2	6
SL1344_0543	fimY	0.6	0.9	0.5	0.8
SL1344_0544		0.6	2	1.5	3.2
SL1344_0545	fimW	8.2	7.9	9.4	19.1
SL1344_0546		4.4	3.5	6.2	6.9
SL1344_0547		56.4	5.1	2.7	5
SL1344_0548	gtrBa	51.4	4.3	0.4	2.7
SL1344_0549	gtrAa	74.1	4.7	2.3	4.1
STnc1870		13.7	6.2	7819.4	10.2
SL1344_0550		2.4	1.2	2.2	4.9
SL1344_0550A	cusA	14.9	17.4	8.8	27.2
SL1344_0551	ykgD	4.9	3.3	6.1	3.7
SL1344_0552	ykgC	4.6	5.7	6.4	6.7
SL1344_0553		1.7	2	4.2	3.4
SL1344_0554	ykgB	1.4	2.4	1.6	1.6
SL1344_0555		15.9	21.1	10.9	51.2
SL1344_0556	pheP	44.7	32.1	22.3	30.5
SL1344_0557	ybdG	12.1	10.8	8	31.1
SL1344_0558	apeE	12	52.4	6.9	24.7
SL1344_0559		9.1	13.9	5.2	12.7
SL1344_0560		1.1	1.3	0.4	1.1
SL1344_0561		0.5	0.9	1	0.8
SL1344_0562	manZ	1.1	1.3	0.2	0.4
SL1344_0563	manY	0.4	0.3	0.4	0.5
SL1344_0564	manX	0.5	0.6	0	0
SL1344_0565		0.2	0.2	0	0.4
SL1344_0566	nfnB	54.9	29.9	13.9	17.8
SL1344_0567	ybdF	15.9	11.9	2.2	9.2
SL1344_0568	ramR	34.7	23.9	12.3	24.5
SL1344_0569	ramA	6.8	15.4	9.3	7.5
SL1344_0570	ybdJ	21.7	31.1	8.4	19.8
SL1344_0571	ybdK	10.8	32.9	2.7	12.9
SL1344_0572	entD	1.6	1.7	1	2
SL1344_0573	fepA	2.8	4.6	3.4	4.6
SL1344_0574	fes	0.7	0.5	49.8	2.5
SL1344_0575	ybdZ	0.6	0.9	4.6	5.1
SL1344_0576	entF	2	1.6	1.1	4.3
SL1344_0577	fepE	40.3	33.5	14.2	51.1
SL1344_0578	fepC	2.5	1.8	1.4	5
SL1344_0579	fepG	1.3	0.6	3	3.3
SL1344_0580	fepD	0.7	1.4	88.4	4.4
SL1344_0581	ybdA	1.6	1.7	1.6	2.4
SL1344_0582	fepB	2	2.1	76.8	5.3
SL1344_0583	entC	1	1.2	2.7	1.3
SL1344_0584	entE	1.1	0.7	0.8	1
SL1344_0585	entB	1.5	0.7	0.3	1
SL1344_0586	entA	1.7	1.9	0.5	1.7
SL1344_0587	ybdB	2.2	3.1	0.9	2.1
SL1344_0588	cstAa	31.1	122.4	35.2	33.8
SL1344_0589	ybdD	38.2	135.5	31.6	41.4
SL1344_0590	ybdH	117.7	26.3	338.8	24.1
SL1344_0591	ybdL	139.2	27.6	258.5	16
SL1344_0592	ybdM	17.1	19	4.8	7.1
SL1344_0593	ybdN	16.3	19.3	10	21
SL1344_0594	ybdO	19.8	22.6	11.9	39.2
STnc3180		219.9	238.5	56.7	34.4
SL1344_0595	dsbG	23.9	27.1	12	15.7
STnc070		3520.7	1661.6	8015.6	3381.4
SL1344_0596	ahpC	726.5	314.3	4955.3	276.7
SL1344_0597	ahpF	51.4	32.3	476.8	39.8
SL1344_0598		0.4	0.1	0.2	0.1
SL1344_0599		2	1.4	1	1.3
SL1344_0600		3.6	3	0.5	3
SL1344_0601		23.4	17.1	13.1	35.7
SL1344_0602	ybdQ	248.6	602.2	976.2	326.2
SL1344_0603	ybdR	11.6	19	3.1	4.5
SL1344_0604	rnk	52.6	25	2.9	10
sRNA10		546.6	1024.6	292.3	428.8
SL1344_0605	rna	306.9	381.4	123.1	75
SL1344_0606	citT	5.8	5	2	3.5
SL1344_0607	citG	0.3	0.4	0	0.4
SL1344_0608	citX	0.2	0.1	0	0.1
SL1344_0609	citF	0.1	0.3	0.3	0.2
SL1344_0610	citE	0.1	0.1	0.1	0.1
SL1344_0611	citD	0	0	0	0.2
SL1344_0612	citC	0.3	0.4	0.1	0.5
SL1344_0613	citA	5.8	12.9	1.4	6.2
SL1344_0614	citB	8.2	12.3	4.7	12.3
SL1344_0615	dcuC	2.6	1.1	0.7	1.5
STnc3550		67	91.9	33.4	26.4
SL1344_0616	pagP	522.4	499.9	264.5	210
SL1344_0617	cspE	3571.9	2163.8	2256.1	3375
SL1344_0618	ccrB	74.7	94	179.3	92.2
SL1344_0619		8.9	21.5	6	19
SL1344_0620	tatE	232.1	192.3	45.4	81
SL1344_0621	lipA	71.7	74.1	34.4	70.9
SL1344_0622	ybeF	33.5	36	8.5	69.5
SL1344_0623	lipB	64.4	46.1	10.6	23.5
SL1344_0624	ybeD	409.7	231.8	342.7	300.3
SL1344_0625	dacA	75	36.2	16.8	36.3
SL1344_0626	rlpA	50.3	40.2	8.8	26.2
SL1344_0627	mrdB	30	28.6	4.9	18.9
SL1344_0628	mrdA	26	19.2	3.7	17.5
SL1344_0629	ybeA	34	21.7	2.3	12
SL1344_0630	ybeB	46.3	23.1	8.6	15.3
SL1344_0631	cobC	15.2	21.5	5.5	13.4
SL1344_0632	cobD	2.7	1.6	0.9	1.2
SL1344_0633	nadD	19.9	21.9	2.1	11.9
SL1344_0634	holA	45.8	35.1	4.2	21.9
SL1344_0635	rlpB	127	133	37.2	82.7
SL1344_0636	leuS	67.7	56	14.2	29
SL1344_0637		3.2	3.1	0	0.6
SL1344_0638		2.4	2.6	0.8	2.8
SL1344_0639		16.2	22.2	30.3	43.7
SL1344_0640		14.8	22.9	18.3	33
SL1344_0641	ybeL	51.8	132.6	46.4	79.9
SL1344_0642	ybeQ	5.3	7.4	5.5	9.1
SL1344_0643	ybeR	2.1	2.3	0.5	2.6
SL1344_0644	ybeS	1.7	2.3	0.7	2.3
SL1344_0645	ybeU	2.2	4.1	1.2	2.1
SL1344_0647	ybeV	3.7	6.5	2	5.4
SL1344_0648	hscC	3.7	5.8	1.3	3.8
SL1344_0649		4.1	3.5	2.4	3.1
SL1344_0650	rihA	5.1	3.2	5	1.8
SL1344_0651	gltL	68.8	12.3	8.6	36.2
SL1344_0652	gltK	62.9	11.6	10	40.4
SL1344_0653	gltJ	46.2	10	15.8	24.9
SL1344_0654	gltI	149.3	39.6	179	97.9
SroC		946.2	218.3	1692.7	1110.2
SL1344_0655	lnt	54.7	25.3	5	51
SL1344_0656	ybeX	135.3	54.5	14.9	84.5
SL1344_0657	ybeY	130.3	136.9	46.6	163
SL1344_0658	phoL	97.5	87.3	55	111
SL1344_0659	miaB	89.8	67.9	14.4	17.1
SL1344_0660	ubiF	18.2	36.6	15.1	18.1
SL1344_0661		23.1	68.2	57.4	40.5
STnc3290		141.7	213.7	119.7	123.1
SL1344_0662	asnB	40.8	26.2	21.9	77.3
SL1344_0663	nagD	58	36.8	8.1	39.1
SL1344_0664	nagC	24.9	19.4	17.8	18.4
SL1344_0665	nagA	31.7	39.6	45.3	33.4
SL1344_0666	nagB	28.4	42.5	147.2	22.5
SL1344_0667	nagE	8.7	5	44.4	8.2
SL1344_0668	glnS	82	45.1	12.3	34.8
STnc3300		42.2	96.7	144.5	134.8
SL1344_0669	ybfM	4.8	3.2	7.9	3.6
SL1344_0670	ybfN	11	15	8.5	17.5
SL1344_0671		10.2	13.9	6.9	37.3
SL1344_0672		2.6	2.6	1.9	5
SL1344_0673		4.6	4.3	3	10.5
SL1344_0674		18.4	13.1	6.9	22.9
SL1344_0675	fur	311.9	240	449.4	340.9
sRNA9		372.9	360.1	634.1	525.5
SL1344_0676	fldA	177.1	191.8	56.4	134.8
SL1344_0677	ybfE	43.4	13.9	0.6	14.6
SL1344_0678	ybfF	29.2	28.1	11.2	20.9
SL1344_0679	seqA	104.7	122.7	20.7	80.4
SL1344_0680	pgm	89.1	86.3	26.2	57.6
SL1344_0681		3.7	3.5	2.1	3.2
SL1344_0682	potE	2	1.6	0.8	1.2
SL1344_0683	speF	0.9	0.9	0.8	0.9
SL1344_0684	kdpE	42.8	57.5	16.1	23.2
SL1344_0685	kdpD	28.6	42.7	8.7	10.3
SL1344_0686	kdpC	24	45.7	11	7.9
SL1344_0687	kdpB	29.9	48.4	9.7	4
SL1344_0688	kdpA	42.7	58.6	9.7	4.7
SL1344_0688A	kdpF	173.9	370.4	9.1	17.4
SL1344_0689	ybfA	145.8	187.9	291.7	103.7
SL1344_0690	phrB	15.5	32.7	2.2	12.3
SL1344_0691	ybgH	59.1	39.5	9.7	16.9
SL1344_0692	ybgI	108.3	95	29.7	60.7
SL1344_0693	ybgJ	50.4	36.9	11.9	20
SL1344_0694	ybgK	42.2	27.7	11.7	18.9
SL1344_0695	ybgL	39.8	28.3	8.3	22.2
SL1344_0696		25.2	28.6	6.2	18
SL1344_0697	fimB	20.6	14.3	3	12.9
SL1344_0698		3.6	1.6	1.1	4.1
SL1344_0699		1.8	1.4	0.4	1.7
SL1344_0700		1.8	1.3	0.2	2.1
SL1344_0702		1.5	0.7	0.2	1.7
SL1344_0703		1.2	1.3	0.6	2.6
SL1344_0704		2	2.8	0.9	3.4
SL1344_0705		1.5	1.4	0.3	2.6
SL1344_0706		2.3	2.4	0.3	3.7
SL1344_0707		1.2	0.3	0.3	1.3
SL1344_0708		2.1	2.1	1.4	2.6
SL1344_0709		31.7	38.3	34.9	37.6
SL1344_0710	nei	19.9	15.8	11.7	15.3
SL1344_0711	abrB	5.2	9	2.8	22.3
SL1344_0712	gltA	118.3	80.1	244.6	274.5
SL1344_0713		2.7	3.9	4.9	9.4
SL1344_0714	sdhC	93.2	42.2	248.4	127.2
SL1344_0715	sdhD	80.8	42	46.2	92.9
SL1344_0716	sdhA	49.7	31.3	30.9	61.6
SL1344_0717	sdhB	101.1	56.9	58.5	106.7
SL1344_0718	sucA	68.2	40.4	28.3	43.5
SL1344_0719	sucB	104	55.5	57.8	36.8
SL1344_0720	sucC	89.5	45.1	44.1	25.1
SL1344_0721	sucD	133.8	83.5	92	56.1
RybD	RybD	649.4	733.3	1282.1	1616.3
SL1344_0722	cydA	42.3	20.4	6.9	15.5
SL1344_0723	cydB	38.4	21.3	12.3	23.8
SL1344_0724	ybgT	85.9	57.2	50.2	79
SL1344_0725	ybgE	68.6	51.6	23.2	58.6
SL1344_0726	ybgC	145	105	28.7	66.4
SL1344_0727	tolQ	81.4	45.5	6.8	25.9
SL1344_0728	tolR	66.7	39	4.2	24.4
SL1344_0729	tolA	59	40.7	6.3	20.6
SL1344_0730	tolB	303.6	123.8	69.3	105.2
SL1344_0731	pal	1063.5	262.6	144.4	195
SL1344_0732	ybgF	284.4	102.3	61.2	109.8
SL1344_0733	nadA	40	17.9	5.5	42.5
SL1344_0734	pnuC	59.6	39.8	15.3	75.4
SL1344_0735	ybgR	12.1	22.2	10	24.3
SL1344_0736	ybgS	19.9	130.3	13.1	27.2
SL1344_0737	aroG	240.3	104	29.9	140.6
SL1344_0738		21.5	31	9.6	23.8
SL1344_0739		13.1	18.2	9.2	25
SL1344_0740		7	7.5	10.9	19.8
SL1344_0741		2.7	5.2	2.6	7.8
SL1344_0742		1.1	2	0.8	2
SL1344_0743	dcoC	1.1	1.7	0.7	0.3
SL1344_0744	dcoA	0.1	0	0	0
SL1344_0745	dcoB	0.2	0.2	0	0.1
SL1344_0746		6.2	5.1	1.3	2.3
SL1344_0747		3.3	3	0.8	2
SL1344_0748		5	7.1	3.5	3.8
SL1344_0749	gpmA	387.9	387.2	1310.9	223.7
SL1344_0750	galM	35.6	27.5	7.8	12.8
SL1344_0751	galK	23.3	21.7	9.5	9.7
SL1344_0752	galT	9.6	10.1	4.9	5.3
SL1344_0753	galE	21.4	22.7	21.3	13.7
SL1344_0754		3.3	5.5	2.4	9.4
SL1344_0755	modF	39.8	21.7	28.3	120.3
SL1344_0756	modE	19.2	16.1	3.9	10.3
SL1344_0757	ybhT	356.8	418.9	415.3	341.6
SL1344_0758	modA	21.2	47.6	44.2	265.7
SL1344_0759	modB	15	32.4	14.9	145
SL1344_0760	modC	10.7	16.8	3.7	71.7
SL1344_0761	ybhA	17.5	25.5	5.3	13.4
SL1344_0762	ybhE	54.3	65.5	19.5	17.1
SL1344_0763	ybhC	45.3	11	9.4	11.7
SL1344_0764	hutI	18	17.4	19.3	23.7
SL1344_0765	hutG	10.7	12.1	5.3	12.8
SL1344_0766	hutC	10.4	14.3	3.3	20.6
SL1344_0767	hutU	3.2	3.7	4	5
SL1344_0768	hutH	3.3	4.1	1.8	5.4
SL1344_0769	ybhB	161.9	254.5	28	107.9
SL1344_0770	bioA	90.5	108.2	43.2	53.2
SL1344_0771	bioB	213.5	120.1	22.2	103.6
SL1344_0772	bioF	123.7	51.9	10.2	48.1
SL1344_0773	bioC	117.7	47.4	7.8	36.2
SL1344_0774	bioDa	147.7	50.4	10.3	32.1
STnc3340		42.3	52.3	92.2	123.1
SL1344_0775	uvrB	29.1	44.6	30.5	42.5
SL1344_0776	slrP	28.2	33.2	11.2	20.2
SL1344_0777	ybhK	19.3	13.7	4.5	12.3
SL1344_0778	moaA	42.5	62.6	9.5	51.4
SL1344_0779	moaB	60.9	73.8	11.9	60
SL1344_0780	moaC	53.2	52.6	6.7	63.2
SL1344_0781	moaD	47.8	48.5	3.6	41.2
SL1344_0782	moaE	54.8	65.7	6.6	68.1
SL1344_0783	ybhL	162.6	263.2	130.5	187.6
SL1344_0784	ybhM	3	4.5	0.9	2.6
SL1344_0785		4.1	6.1	0.7	4.6
SL1344_0786		2.6	3.7	2.1	3.7
SL1344_0787	ybhN	13.6	36.2	2.5	9.1
SL1344_0788	ybhO	11.1	28.7	1.2	7.8
SL1344_0789	ybhP	13.7	41.8	2.9	14.2
SL1344_0790	ybhQ	40.3	53.9	22.8	21.3
SL1344_0791	ybhR	25	51.2	5	74.7
SL1344_0792	ybhS	22	58	2.5	69.4
SL1344_0793	ybhF	18.8	37.5	1.8	43.2
SL1344_0794		23.6	45	5	73.7
SL1344_0795	ybiH	29.5	70.5	14.4	134.8
SL1344_0796	rhlE	9.8	3.2	0.7	2.6
SL1344_0797	dinG	11.4	12.7	10.6	15.8
SL1344_0798	ybiB	26.2	44.9	9.4	36.1
STnc980		31.7	123.2	98.3	132.3
SL1344_0799	ybiJ	8	38.6	34.4	15.8
SL1344_0800	ybiI	33.1	103.8	52	54.1
SL1344_0801	ybiN	10.2	10.4	3.2	5.4
SL1344_0802	ybiO	9.6	17.5	1.1	8.2
SL1344_0803	glnQ	142.9	18.3	27.5	40.1
SL1344_0804	glnP	95.6	15.2	40.9	24.4
SL1344_0805	glnH	406.7	34.4	374.4	144.2
SL1344_0806	dps	296.4	1294.5	7414.2	528
SL1344_0807	ybiF	6.1	8.9	2.5	9.5
SL1344_0808	ompX	2313.1	2378.4	1115.9	454.8
SL1344_0809	ybiP	7.7	5.7	2.9	5.9
RybA	RybA	1317.3	2646.9	7692.5	2342
SL1344_0810		44	42.5	14.4	39.9
SL1344_0811	ybiR	16.6	16	4.1	16.2
SL1344_0812	ybiS	54.8	41.9	5.5	18.6
SL1344_0813	ybiT	36.4	20.9	8.6	16.1
SL1344_0814		4.1	4.5	2.3	8.1
SL1344_0815	ybiV(2)	0.6	1.8	2.2	6.4
SL1344_0817	ybiU	2.2	2.8	1.4	3.3
SL1344_0818	ybiV(1)	58.2	60.5	27.8	79.2
SL1344_0819	pflF	0.8	1	0.2	0.8
SL1344_0820	pflE	0.5	0.5	0.2	0.2
SL1344_0821	moeB	17.8	18.6	3.3	10.5
SL1344_0822	moeA	19.9	17.5	3.3	10.5
SL1344_0823	ybiK	64.2	63.6	63	72.2
SL1344_0824	yliA	40.1	42.2	12	43
SL1344_0825	yliB	37.2	37.7	6.7	27.6
SL1344_0826	yliC	26.4	26.3	4.9	18.4
SL1344_0827	yliD	24.7	27.5	5.4	30.7
SL1344_0828	rimO	32.4	16.7	2.5	5.6
SL1344_0829	bssR	142.6	594.1	78.3	162.6
STnc1200		1214.1	580.1	1528.2	1621.3
SL1344_0830		2.7	2.7	1.6	3.8
SL1344_0831		3	3.4	1.8	3.7
SL1344_0832		1.9	2.2	3.7	3.4
SL1344_0833		15.8	17	11.9	25.2
SL1344_0834		3.5	4.3	2.9	6.3
SL1344_0835		49.1	56.2	5.7	16.7
STnc1710		96.8	243.5	350.3	232.8
SL1344_0836		43	55.1	39	25.8
SL1344_0837	yliI	3.7	3.4	1.2	4.6
SL1344_0838	yliJ	40.4	46.2	21.1	33.8
SL1344_0839	dacC	57.2	120	31.9	46
SL1344_0840	deoR	132.9	87.7	9.2	84.4
SL1344_0841	ybjG	288.8	186.1	40	168.7
SL1344_0842	mdfA	11.9	12.5	4.1	11.8
SL1344_0843		24.6	20.1	6.2	18.9
SL1344_0844		11.2	10.4	2.7	8.7
SL1344_0845		5.7	5.4	2.9	4.3
RybB	RybB	693.9	11655.1	813.8	1171.3
SL1344_0846		17.6	20.2	8.6	25.4
SL1344_0847	ybjM	9.7	10.5	2.2	17.4
SL1344_0848	grxA	553.5	370.3	1580.9	730.6
SL1344_0849	ybjC	52.9	81.3	3.4	27.9
SL1344_0850	mdaA	37.1	46.7	4.3	15.2
SL1344_0852	rimK	65.1	79.5	46.9	45
SL1344_0853	ybjN	38.9	30.1	5.7	14.3
SL1344_0854	potF	117.2	52.9	15.8	29.3
SL1344_0855	potG	82.5	30.7	10.4	15.9
SL1344_0856	potH	64.6	26.5	5.5	13.5
SL1344_0857	potI	66.7	32	14.5	20
SL1344_0858	ybjO	60.2	92.2	14	48.7
SL1344_0859	rumB	11.8	9.4	1.3	7.1
SL1344_0860		1.9	2.1	0.7	2.5
SL1344_0861		4.6	4.1	2	3.7
SL1344_0862		5.5	7.3	2.3	6.6
SL1344_0863	artJ	121.3	38.7	10.3	22.3
SL1344_0864	artM	102.3	71.3	10.3	30.5
SL1344_0865	artQ	77.5	61.4	7.6	23.4
SL1344_0866	artI	119.2	112.1	16.3	37.6
SL1344_0867	artP	151.8	135.7	14.9	66.5
SL1344_0868	ybjP	46.3	61.9	28.5	31.2
SL1344_0869		123.6	211.7	56.9	68.6
SL1344_0870	ybjR	63	105	17.5	30.5
SL1344_0871		11.7	15.1	1.4	9.5
SL1344_0872	ybjT	16.2	17.4	2.8	13.1
SL1344_0873	ltaA	65.6	114	37.3	90.8
SL1344_0874	poxB	13	51.7	4.4	15
SL1344_0875	hcr	25.4	61.6	6.6	69.8
SL1344_0876	hcp	4.7	3	0.7	12
SL1344_0877	ybjE	34.2	32.6	5.8	39.4
SL1344_0878	ybjD	10.5	15.1	4.1	11.8
SL1344_0879	ybjX	425.7	139.6	20.5	128.9
SL1344_0880	ybjY	38.2	75.3	21.6	30.7
SL1344_0881	ybjZ	36.1	52.2	9.5	28.5
SL1344_0882	cspD	277.1	178	152.2	146.5
SL1344_0883	clpS	230.7	252.8	1769.8	405.6
SL1344_0884	clpA	149.9	164	365.7	252.2
SL1344_0885	tnp	0	0	0	0
STnc490		0	0	0	0
SL1344_0886		3.4	15.5	2.5	6
SL1344_0887		6.2	21	1.4	5.3
SL1344_0888		10.8	18.9	4	6.4
SL1344_0889		4.7	10.1	2.3	2.5
SL1344_0890		5.7	6.9	5.7	4.6
SL1344_0891	infA	609.6	197	33.6	108.6
SL1344_0892		456.3	293.7	91.9	259
SL1344_0893	aat	28.1	41.8	12.2	20.3
SL1344_0894	cydC	30.2	27.6	9	20.2
SL1344_0895	cydD	30.4	26.2	7.9	17
SL1344_0896	trxB	297.1	235.2	145.3	97.2
SL1344_0897	lrp	705.1	231.7	162.4	262.5
SL1344_0898	ftsK	98.6	80.4	40.5	77.5
SL1344_0899	lolA	108.2	84.9	78	81.7
SL1344_0900	ycaJ	55.3	52.2	17.8	46.9
SL1344_0901	serS	110.2	45.2	23.7	46.4
SL1344_0902	dmsA	2.4	3.1	1.3	2.1
SL1344_0903	dmsB	1.1	1.2	0.4	0.3
SL1344_0904	dmsC	5.7	6.3	1.7	3.3
SL1344_0905	ycaD	74.2	106.6	4.4	18.9
SL1344_0906	ycaM	14.6	16.6	2.9	9.2
SL1344_0907	pflA	42.7	40.5	34	33.6
STnc3310		205.5	304.7	145	296.9
SL1344_0908		54.8	68	89.1	74.6
SL1344_0909	sopD2	946	1261.5	211.7	375.8
SL1344_0910	pflB	145.9	196.8	17.8	35.7
SL1344_0911	focA	91.6	177.8	7.1	74.8
SL1344_0912	ycaO	22.3	18.1	5.9	6
SL1344_0913	ycaP	19	32.5	1.8	14
SL1344_0914	serC	259.2	152.4	50.8	125.6
SL1344_0915	aroA	98.1	44.2	10.6	42.4
SL1344_0916	ycaL	30.9	25.5	10.8	29.6
SL1344_0917	cmk	154	104.8	18.9	59.2
SL1344_0918	rpsA	982.7	194.5	294	124.1
SL1344_0919	himD	412.6	388.2	101.6	265.8
STnc3330		1.8	5.5	10.1	2.5
SL1344_0920	rec2	2.9	3.8	1.2	2.8
SL1344_0921	msbA	52.3	28.1	11	20.4
SL1344_0922	lpxK	32.7	21.6	5.4	14.8
SL1344_0923	ycaQ	9.9	5.7	0.7	4.1
SL1344_0924	ycaR	87.2	70.5	56.6	49.9
SL1344_0925	kdsB	39.3	33.6	6.2	20.9
SL1344_0926		10.4	16.7	7.8	15.2
SL1344_0927	ycbC	9.8	8.7	4.7	8.9
SL1344_0928	smtA	27.4	13.3	3	11.8
SL1344_0929	mukF	33.8	20.7	4.9	17.4
SL1344_0930	mukE	42.7	25.2	5.8	21.4
SL1344_0931	mukB	43.5	36.5	12.5	23.2
SL1344_0932	ycbB	40.2	62.6	36.2	73
SL1344_0933	ycbK	162.4	130.6	37.4	62.7
SL1344_0934	ycbL	132.5	88.4	18.6	42.1
SL1344_0935	aspC	249	167.4	57.8	127.2
SL1344_0936	ompF	475.4	76.9	103.5	105.8
STnc3350		87.3	83.3	83	175.6
SL1344_0937	asnCa	208.3	99.9	58.9	87.3
SL1344_0938		14.4	9.4	6.7	14.5
SL1344_0939	dpaL	1.9	1.2	0.3	1.5
SL1344_0940		1.1	1	1.2	2.2
SL1344_0941	pncB	79.7	32.3	12.2	31.1
SL1344_0942		70	56.7	46.4	75.8
STnc4200		149.9	180.1	127.1	290.9
SL1344_0943		1	2.5	0	1.8
SL1344_0944		0	0.6	0	0.3
SL1344_0945		0.4	0.6	0	0.3
SL1344_0946	recEa	0.2	0.3	0.2	0.5
IsrB-2	IsrB-2	0.5	0	0	0
IsrB-1		540.4	376.9	808.7	675.7
SL1344_0947		0.4	0	0.9	2.9
SL1344_0948		0.4	0	0.6	2.4
SL1344_0949		0.2	1.1	3.1	1.4
SL1344_0950		84.6	94.1	186.1	145.3
SL1344_0951	C1	0.6	0.2	0	0.2
STnc1080		1957.8	1294.5	2175	2127.2
SL1344_0952		2	1.6	0.8	2.4
SL1344_0953		1.1	0.8	0.4	0.8
SL1344_0954		1.7	2.2	0.3	1.3
SL1344_0955		17.1	24.6	11.1	48.7
SL1344_0956		233.1	451.9	118.9	638.5
SL1344_0957		34.3	37.5	1679.2	324.3
SL1344_0958		12.3	18.2	28.3	31.9
SL1344_0959	ninG	0	0.2	0.4	0.2
SL1344_0960		0.3	0.9	0	0.9
SL1344_0961		4.7	6.4	2.4	9.5
SL1344_0962		124.6	99.2	112.2	244.2
SL1344_0963		0.5	3.8	0.7	3.5
SL1344_0964		10.4	4	3.6	4.7
SL1344_0965	gtgA	10.6	8.6	5.4	31.5
SL1344_0965A		0	0	0	0
SL1344_0966	nucD	1.9	1.1	1.4	1
SL1344_0967		1.1	0.4	0.2	0.5
SL1344_0968		4.1	3.9	2.7	3.2
SL1344_0969		2.7	3.1	0.7	1.7
SL1344_0971		5.4	7.2	1.3	3.6
SL1344_0972		4.2	3.5	1	2
SL1344_0973		3.7	2.5	1.1	1.2
SL1344_0974		3.2	13	7.3	6.5
SL1344_0975		2.4	1.7	0.8	1
SL1344_0976		2.8	1.9	1.6	1.7
SL1344_0977		3.1	3.2	1.3	1.5
SL1344_0978		2.6	2.4	0.7	0.8
SL1344_0979		3.1	3.9	1	5
SL1344_0980		2.9	2.9	1.8	3.1
SL1344_0981		3.7	5.6	2.5	4.7
SL1344_0982		20.8	20.9	14.2	25.9
SL1344_0983	sodCa	538.2	593	132.5	58.7
SL1344_0984		5.1	5.6	1.2	4.8
SL1344_0985		2.1	1.8	0.5	0.8
SL1344_0986		3	2.9	0.5	1.8
